Origin,QA_ID,data_source,K_trainee_High,qwen72b_topK_sentence_ids,trainee_High_sentence_ids,n_sentences_in_excerpt,n_attribution_sources,n_matched_sources
ID0137,Merge Q1671,medxpert,5,"1,2,3,5,8","1,2,3,4,8",8,10,10
ID0140,Merge Q2397,medxpert,4,"1,2,4,6","1,2,3,5",6,6,6
ID0141,Merge Q2067,medxpert,2,"1,3","2,3",4,4,4
ID0148,Merge Q2481,medxpert,4,"3,4,6,7","1,4,6,7",7,7,7
ID0149,Merge Q781,jama,6,"1,3,4,5,6,10","1,3,4,6,8,9",10,10,10
ID0150,Merge Q219,jama,7,"4,7,8,10,13,14,15","1,2,3,7,8,11,13",15,16,15
ID0151,Merge Q1607,medxpert,3,"1,2,3","1,3,4",4,4,4
ID0152,Merge Q1171,medbullets,4,"1,2,3,5","1,2,4,5",5,14,5
ID0153,Merge Q850,jama,2,"1,7","1,7",9,8,8
ID0154,Merge Q4032,mmlu,4,"1,4,5,9","1,9,10,11",12,12,12
ID0155,Merge Q381,jama,11,"2,3,4,5,6,7,8,9,10,11,16","1,3,5,6,8,10,12,13,14,15,16",16,14,14
ID0161,Merge Q226,jama,15,"1,2,3,4,5,6,8,9,10,11,13,14,15,17,18","1,2,3,4,5,6,7,9,10,11,12,13,16,17,18",18,16,15
ID0162,Merge Q1330,medbullets,4,"2,4,8,9","1,2,8,10",10,11,10
ID0164,Merge Q3869,mmlu,3,"1,3,4","2,3,4",5,5,5
ID0165,Merge Q1804,medxpert,3,"1,7,8","2,3,9",9,9,9
ID0166,Merge Q3136,medxpert,3,"1,4,5","1,2,5",5,5,5
ID0168,Merge Q3875,mmlu,6,"1,2,3,6,7,8","1,2,6,7,8,9",9,9,9
ID0169,Merge Q987,jama,3,"1,5,7","1,7,8",14,11,11
ID0170,Merge Q3058,medxpert,4,"1,3,4,6","1,2,4,6",6,7,7
ID0177,Merge Q1259,medbullets,3,"3,8,9","8,9,10",10,10,10
ID0182,Merge Q1109,medbullets,5,"1,2,3,7,8","1,2,3,4,8",8,8,8
ID0184,Merge Q4019,mmlu,9,"4,5,7,8,9,10,11,12,14","1,3,4,5,11,12,13,14,15",15,16,16
ID0185,Merge Q1180,medbullets,4,"1,3,8,10","1,3,9,10",10,13,10
ID0186,Merge Q54,jama,11,"1,2,3,4,5,7,9,11,13,14,15","1,2,5,8,9,10,11,12,13,14,15",15,15,15
ID0189,Merge Q3879,mmlu,4,"1,6,8,9","1,2,8,9",9,9,9
ID0190,Merge Q3997,mmlu,5,"1,2,3,4,5","1,2,3,4,5",5,5,5
ID0193,Merge Q1705,medxpert,1,1,1,5,5,5
ID0198,Merge Q1233,medbullets,4,"3,4,7,10","1,7,8,10",10,19,10
ID0199,Merge Q1020,jama,10,"2,5,6,7,8,9,11,12,13,15","1,2,3,5,7,10,11,12,13,15",15,20,15
ID0207,Merge Q1403,medxpert,6,"1,2,4,5,6,7","1,2,3,4,5,6",7,7,7
ID0209,Merge Q3947,mmlu,3,"1,2,7","1,2,7",8,8,8
ID0211,Merge Q2246,medxpert,2,"3,6","1,6",6,6,6
ID0215,Merge Q112,jama,6,"1,2,6,7,9,10","1,3,6,8,9,10",10,10,10
ID0216,Merge Q1400,medxpert,1,1,1,4,4,4
ID0217,Merge Q4049,mmlu,3,"1,3,7","1,5,7",7,7,7
ID0220,Merge Q4009,mmlu,2,"8,9","8,9",10,10,10
ID0221,Merge Q1097,medbullets,5,"1,2,3,4,7","1,2,3,6,7",7,6,6
ID0229,Merge Q1621,medxpert,2,"1,7","1,7",7,7,7
ID0232,Merge Q706,jama,7,"1,2,4,6,7,16,17","1,4,12,13,14,16,17",18,14,14
ID0233,Merge Q3316,medxpert,3,"2,4,6","1,2,6",7,8,8
ID0235,Merge Q2984,medxpert,6,"1,2,3,6,8,9","1,2,4,6,7,9",9,9,9
ID0236,Merge Q762,jama,4,"1,6,8,9","1,6,7,8",9,9,9
ID0237,Merge Q3985,mmlu,5,"1,2,4,6,8","1,5,6,7,11",11,11,11
ID0238,Merge Q1163,medbullets,6,"1,2,4,5,6,10","1,2,4,5,6,9",11,11,11
ID0242,Merge Q2408,medxpert,9,"1,2,3,4,5,6,8,9,11","1,3,7,8,9,10,11,12,13",13,13,13
ID0243,Merge Q336,jama,5,"2,8,13,15,17","1,2,10,12,16",18,15,15
ID0244,Merge Q1178,medbullets,3,"1,2,3","1,2,6",6,7,6
ID0247,Merge Q1137,medbullets,3,"8,10,11","8,9,10",11,11,11
ID0249,Merge Q1160,medbullets,2,"9,10","1,9",10,10,10
ID0251,Merge Q3793,mmlu,5,"1,2,3,4,6","1,3,4,5,6",6,7,7
ID0253,Merge Q3827,mmlu,2,"1,3","1,3",4,4,4
ID0254,Merge Q286,jama,6,"2,4,5,8,10,11","1,2,4,5,10,11",11,11,10
ID0256,Merge Q3784,mmlu,4,"2,3,4,5","1,2,4,5",5,5,5
ID0262,Merge Q2405,medxpert,6,"1,2,3,4,5,7","1,2,3,5,6,8",8,15,8
ID0265,Merge Q3968,mmlu,5,"1,2,3,4,5","1,2,3,4,5",5,5,5
ID0268,Merge Q56,jama,9,"2,4,8,9,10,11,12,13,14","1,3,4,5,6,7,9,10,12",14,12,12
ID0270,Merge Q3971,mmlu,7,"1,2,3,5,8,9,10","1,2,3,5,7,9,10",12,14,14
ID0275,Merge Q3048,medxpert,4,"1,2,3,6","1,2,3,9",9,9,9
ID0278,Merge Q1033,jama,5,"2,3,4,6,8","1,2,3,6,8",8,9,8
ID0281,Merge Q3285,medxpert,4,"1,3,9,10","1,3,5,6",10,11,11
ID0284,Merge Q2814,medxpert,8,"1,2,3,4,5,6,7,8","1,2,3,5,6,7,8,9",8,8,8
ID0291,Merge Q2630,medxpert,3,"1,2,7","1,2,8",8,14,8
ID0292,Merge Q3070,medxpert,4,"1,3,7,8","1,3,4,6",8,18,8
ID0293,Merge Q1656,medxpert,4,"1,2,3,4","1,2,3,4",4,4,4
ID0296,Merge Q654,jama,14,"1,2,3,4,5,6,7,8,9,10,12,13,14,15","1,2,3,4,5,6,8,9,10,11,12,13,14,15",15,14,13
ID0297,Merge Q947,jama,4,"1,3,4,5","1,3,4,5",7,6,6
ID0298,Merge Q3016,medxpert,3,"1,3,4","1,2,4",4,4,4
ID0300,Merge Q235,jama,6,"1,3,4,6,7,11","3,4,5,8,9,10",12,12,12
ID0302,Merge Q539,jama,8,"1,2,5,7,8,9,12,15","1,4,5,11,12,13,14,15",15,15,13
ID0303,Merge Q1828,medxpert,2,"1,4","1,8",8,8,8
ID0304,Merge Q2116,medxpert,2,"1,4","1,5",5,5,5
ID0305,Merge Q1230,medbullets,4,"5,7,8,9","1,6,7,9",9,21,9
ID0307,Merge Q3969,mmlu,5,"1,3,6,8,10","1,3,8,11,12",12,12,12
ID0309,Merge Q1300,medbullets,3,"4,5,9","1,4,5",9,9,9
ID0310,Merge Q245,jama,7,"1,2,7,8,9,10,11","1,2,3,4,6,7,9",12,12,12
ID0313,Merge Q3984,mmlu,3,"2,6,12","1,2,6",15,15,15
ID0314,Merge Q1050,medbullets,4,"1,2,9,10","1,8,9,10",10,10,10
ID0315,Merge Q3894,mmlu,5,"1,2,8,12,13","1,2,10,11,12",13,13,13
ID0317,Merge Q2085,medxpert,4,"1,3,4,6","1,2,3,4",6,6,6
ID0320,Merge Q2329,medxpert,9,"1,2,4,5,6,7,8,9,10","1,2,3,4,6,7,8,9,10",10,10,10
ID0321,Merge Q11,jama,7,"1,2,3,5,6,7,9","1,2,4,6,7,8,9",9,10,9
ID0324,Merge Q552,jama,6,"1,2,4,7,9,10","1,2,4,7,8,10",10,10,9
ID0325,Merge Q1089,medbullets,4,"1,2,6,9","1,2,6,8",10,10,10
ID0327,Merge Q2282,medxpert,3,"1,2,4","1,4,7",7,7,7
ID0328,Merge Q354,jama,11,"2,4,6,7,8,9,13,19,21,22,24","1,5,8,9,10,11,15,18,19,20,21",24,20,20
ID0330,Merge Q1314,medbullets,4,"1,3,6,9","1,2,3,9",9,10,9
ID0332,Merge Q731,jama,5,"1,2,6,8,10","1,2,4,8,10",10,11,10
ID0334,Merge Q908,jama,4,"2,5,10,11","1,3,8,10",11,13,11
ID0336,Merge Q2494,medxpert,4,"1,2,3,4","1,3,4,5",5,5,5
ID0337,Merge Q581,jama,12,"3,4,5,6,7,9,10,11,13,14,15,16","1,2,3,5,7,8,9,11,12,13,14,15",16,13,13
ID0339,Merge Q3866,mmlu,3,"2,6,7","1,6,7",7,7,7
ID0345,Merge Q223,jama,5,"2,3,4,6,7","1,2,3,4,6",7,9,7
ID0349,Merge Q2998,medxpert,2,"1,4","1,4",4,4,4
ID0352,Merge Q747,jama,5,"1,7,8,9,10","1,5,7,9,10",12,12,11
ID0353,Merge Q3249,medxpert,5,"1,2,3,4,8","1,2,4,7,8",8,8,8
ID0356,Merge Q342,jama,3,"2,5,7","1,7,9",9,9,9
ID0357,Merge Q1868,medxpert,2,"5,6","5,6",7,7,7
ID0359,Merge Q2281,medxpert,4,"2,3,6,7","2,3,5,7",7,7,7
ID0360,Merge Q4007,mmlu,8,"1,2,4,5,7,8,9,10","1,2,5,7,8,9,10,11",11,11,11
ID0363,Merge Q1322,medbullets,4,"2,4,5,7","1,4,5,7",9,9,9
ID0364,Merge Q448,jama,6,"1,6,7,8,10,11","1,2,4,6,8,9",11,10,9
ID0367,Merge Q3333,medxpert,4,"2,3,4,6","1,2,4,6",6,6,6
ID0368,Merge Q502,jama,3,"2,7,10","1,5,8",13,8,8
ID0371,Merge Q2988,medxpert,5,"2,3,6,7,9","2,3,7,9,10",11,11,11
ID0376,Merge Q2409,medxpert,2,"2,6","1,6",6,6,6
ID0379,Merge Q2772,medxpert,2,"1,3","1,3",4,4,4
ID0382,Merge Q1293,medbullets,5,"1,2,3,7,8","1,2,3,4,7",8,8,8
ID0385,Merge Q3068,medxpert,4,"1,3,4,6","1,2,3,11",11,11,11
ID0388,Merge Q3296,medxpert,9,"1,2,3,4,5,6,7,8,9","1,2,3,4,5,6,7,8,9",9,9,9
ID0389,Merge Q321,jama,6,"1,2,3,6,7,8","1,5,6,7,9,10",11,11,11
ID0391,Merge Q2636,medxpert,2,"1,2","1,2",4,4,4
ID0393,Merge Q975,jama,13,"1,2,3,5,6,7,8,9,10,11,12,14,15","1,2,3,4,5,6,7,8,9,10,11,13,15",15,15,15
ID0395,Merge Q1012,jama,5,"1,2,4,5,6","1,3,4,5,6",6,6,5
ID0396,Merge Q1292,medbullets,3,"1,5,6","1,4,5",7,13,7
ID0397,Merge Q1928,medxpert,7,"1,2,3,6,7,8,9","1,2,3,4,6,8,9",9,9,9
ID0399,Merge Q236,jama,6,"1,2,3,4,5,7","1,2,5,7,9,10",11,11,10
ID0400,Merge Q722,jama,9,"1,2,3,4,6,7,8,12,13","1,2,4,5,6,8,9,12,14",14,14,13
ID0403,Merge Q1215,medbullets,2,"1,8","1,8",8,8,8
ID0405,Merge Q686,jama,6,"1,2,5,7,12,14","1,4,7,8,9,12",14,13,13
ID0406,Merge Q4052,mmlu,5,"1,2,6,7,8","1,2,6,7,8",9,9,9
ID0407,Merge Q1750,medxpert,5,"1,4,5,6,7","1,3,4,5,6",7,13,7
ID0409,Merge Q4020,mmlu,7,"1,2,6,7,8,9,10","1,2,3,6,7,9,10",10,10,10
ID0416,Merge Q1416,medxpert,4,"1,3,4,5","1,3,4,5",5,5,5
ID0417,Merge Q307,jama,6,"3,4,6,8,9,15","1,9,10,12,13,14",15,13,13
ID0421,Merge Q788,jama,6,"1,7,9,11,13,15","1,4,7,12,14,15",15,14,13
ID0422,Merge Q353,jama,7,"1,2,3,5,6,7,9","1,3,4,6,7,8,9",9,10,9
ID0426,Merge Q3147,medxpert,4,"1,3,4,5","1,2,3,4",5,5,5
ID0428,Merge Q3999,mmlu,4,"1,2,3,5","1,2,3,5",5,5,5
ID0429,Merge Q3994,mmlu,3,"4,5,7","1,4,7",7,7,7
ID0433,Merge Q3520,medxpert,4,"1,5,6,7","1,4,5,7",7,7,7
ID0435,Merge Q3453,medxpert,3,"1,2,5","1,2,5",5,5,5
ID0437,Merge Q3821,mmlu,4,"1,2,4,5","2,3,4,5",5,5,5
ID0438,Merge Q1227,medbullets,6,"2,3,4,6,7,8","1,2,3,6,7,8",8,8,8
ID0440,Merge Q3387,medxpert,5,"1,2,4,6,7","1,2,5,6,7",7,7,7
ID0447,Merge Q1257,medbullets,5,"2,4,5,6,8","1,3,6,8,9",9,16,9
ID0449,Merge Q420,jama,9,"1,2,3,5,7,8,12,13,14","1,2,4,7,8,10,11,12,14",14,12,12
ID0453,Merge Q639,jama,6,"2,3,4,5,7,10","1,2,3,4,9,12",14,14,13
ID0455,Merge Q2414,medxpert,2,"1,4","1,5",7,7,7
ID0458,Merge Q3284,medxpert,5,"1,3,5,6,7","1,5,6,7,8",9,18,10
ID0463,Merge Q831,jama,7,"3,4,5,6,8,10,11","1,2,4,5,6,8,10",11,10,10
ID0466,Merge Q34,jama,9,"2,5,6,7,8,10,11,12,13","1,2,3,7,9,10,14,15,17",16,17,16
ID0467,Merge Q990,jama,10,"1,3,4,5,6,10,11,12,14,15","1,4,5,6,7,9,10,12,13,14",16,16,15
ID0468,Merge Q1246,medbullets,6,"4,6,7,9,10,11","1,2,3,4,9,10",12,12,12
ID0469,Merge Q50,jama,4,"1,6,7,10","1,6,7,10",11,10,10
ID0470,Merge Q1187,medbullets,6,"1,2,4,7,9,13","2,3,8,9,10,11",13,13,13
ID0471,Merge Q905,jama,6,"2,4,6,8,9,10","1,2,4,5,6,10",10,11,10
ID0472,Merge Q444,jama,8,"1,3,4,5,6,7,10,11","1,2,4,5,6,8,10,11",11,12,11
ID0473,Merge Q1321,medbullets,5,"1,2,3,4,7","1,2,3,4,6",7,7,7
ID0478,Merge Q141,jama,3,"5,6,7","3,5,14",18,18,18
ID0483,Merge Q179,jama,8,"1,5,6,7,8,10,11,12","1,2,3,6,7,9,11,12",12,9,9
ID0488,Merge Q360,jama,8,"2,8,10,11,12,15,17,21","1,2,10,11,12,15,20,21",21,19,18
ID0490,Merge Q771,jama,8,"1,3,6,9,10,11,12,14","1,3,4,6,8,9,11,14",14,13,11
ID0491,Merge Q3478,medxpert,3,"1,5,6","1,2,3",8,8,8
ID0492,Merge Q146,jama,7,"3,4,7,8,9,11,12","1,3,5,6,8,9,12",13,10,9
ID0494,Merge Q427,jama,8,"1,2,5,6,7,8,9,10","1,3,4,5,6,7,8,9",10,11,10
ID0495,Merge Q1120,medbullets,8,"2,3,4,5,7,8,10,11","1,3,4,5,7,9,10,11",11,11,11
ID0496,Merge Q1082,medbullets,2,"1,6","1,6",6,7,6
ID0500,Merge Q681,jama,4,"1,4,11,13","1,9,11,15",16,15,15
ID0504,Merge Q3442,medxpert,4,"1,3,6,7","1,3,6,7",8,8,8
ID0506,Merge Q3461,medxpert,4,"1,2,4,5","1,5,6,7",7,7,7
ID0508,Merge Q669,jama,8,"1,3,4,5,8,9,10,14","1,4,5,6,7,8,11,12",14,12,12
ID0509,Merge Q1510,medxpert,3,"1,5,7","1,6,7",8,8,8
ID0510,Merge Q3946,mmlu,3,"1,2,3","1,3,4",4,4,4
ID0514,Merge Q2896,medxpert,5,"1,2,4,6,7","1,2,5,6,7",7,16,7
ID0519,Merge Q1565,medxpert,4,"1,3,5,6","1,2,3,6",7,7,7
ID0520,Merge Q3854,mmlu,4,"1,2,5,6","1,4,5,6",6,6,6
ID0521,Merge Q3179,medxpert,3,"1,2,3","1,2,3",3,3,3
ID0522,Merge Q491,jama,8,"2,3,5,6,7,9,10,11","1,2,4,5,7,9,10,11",11,11,10
ID0523,Merge Q2796,medxpert,3,"4,5,6","1,5,6",6,6,6
ID0526,Merge Q1288,medbullets,6,"1,2,4,5,7,8","1,4,6,7,8,9",9,22,9
ID0528,Merge Q8,jama,9,"1,3,6,8,10,11,12,13,15","1,5,6,7,8,10,11,12,13",15,14,14
ID0529,Merge Q1054,medbullets,3,"2,3,9","5,7,10",10,10,10
ID0532,Merge Q2539,medxpert,7,"1,2,8,10,11,12,17","1,2,3,4,6,12,17",17,17,17
ID0533,Merge Q32,jama,4,"1,2,8,9","1,6,8,10",13,9,9
ID0534,Merge Q790,jama,9,"2,3,4,5,6,7,8,9,12","1,2,4,5,6,8,9,11,13",14,11,10
ID0535,Merge Q1328,medbullets,5,"1,2,4,6,11","1,2,3,9,13",13,15,14
ID0541,Merge Q335,jama,3,"1,2,5","1,2,4",10,10,9
ID0542,Merge Q4035,mmlu,5,"2,3,5,7,8","1,2,5,6,8",8,8,8
ID0543,Merge Q3928,mmlu,5,"1,2,4,5,9","1,5,6,7,8",10,10,10
ID0546,Merge Q1242,medbullets,5,"3,6,8,11,12","1,3,4,6,10",12,12,12
ID0552,Merge Q77,jama,8,"1,2,4,5,6,7,9,10","1,2,5,6,7,8,9,10",11,10,10
ID0553,Merge Q362,jama,5,"5,9,10,12,15","1,5,9,10,12",15,12,12
ID0554,Merge Q3816,mmlu,4,"1,2,3,7","1,2,3,7",9,9,9
ID0561,Merge Q496,jama,11,"2,3,5,6,7,8,9,10,11,12,13","1,4,5,6,7,8,9,10,11,12,13",13,13,13
ID0564,Merge Q1078,medbullets,5,"1,4,5,6,9","1,5,6,7,8",9,9,9
ID0566,Merge Q3899,mmlu,2,"1,4","1,4",7,7,7
ID0567,Merge Q2705,medxpert,4,"1,4,6,7","1,2,6,7",8,8,8
ID0569,Merge Q3810,mmlu,3,"2,3,5","1,2,5",5,5,5
ID0572,Merge Q2742,medxpert,4,"1,2,6,9","1,2,6,9",9,9,9
ID0574,Merge Q1669,medxpert,3,"1,2,3","1,2,3",3,3,3
ID0576,Merge Q3902,mmlu,4,"1,2,4,9","1,4,5,6",10,11,11
ID0577,Merge Q164,jama,9,"1,2,3,5,6,7,8,9,10","1,2,3,6,7,8,9,10,11",11,12,11
ID0578,Merge Q3921,mmlu,5,"2,4,6,9,10","1,2,3,9,10",11,11,11
ID0581,Merge Q1434,medxpert,4,"1,3,5,6","1,3,6,7",8,8,8
ID0584,Merge Q197,jama,5,"1,3,6,7,8","1,4,6,7,8",8,8,8
ID0587,Merge Q3036,medxpert,6,"1,2,4,5,6,7","1,2,3,4,6,7",8,8,8
ID0589,Merge Q10,jama,6,"2,4,7,8,10,12","1,2,3,4,7,12",12,13,12
ID0590,Merge Q287,jama,10,"2,4,5,6,7,8,9,10,11,12","1,3,4,5,6,8,9,10,11,12",12,10,10
ID0591,Merge Q2490,medxpert,6,"1,2,5,6,7,10","1,2,4,5,7,8",10,10,10
ID0594,Merge Q2384,medxpert,6,"1,2,6,7,8,10","1,2,3,4,6,10",10,15,10
ID0595,Merge Q1624,medxpert,3,"1,2,11","1,2,3",11,10,10
ID0596,Merge Q333,jama,6,"1,3,4,6,9,11","1,2,5,6,10,11",12,9,9
ID0598,Merge Q2787,medxpert,3,"1,2,3","1,2,5",5,5,5
ID0599,Merge Q1286,medbullets,7,"3,4,5,6,7,8,9","1,2,3,6,7,8,9",9,9,9
ID0600,Merge Q1068,medbullets,4,"1,2,4,10","1,2,4,5",11,11,11
ID0601,Merge Q1303,medbullets,4,"1,3,4,8","1,3,4,8",8,8,8
ID0602,Merge Q860,jama,4,"1,2,6,8","4,6,9,10",13,11,10
ID0604,Merge Q3838,mmlu,4,"1,3,4,6","2,3,4,5",7,7,7
ID0605,Merge Q1721,medxpert,3,"3,7,8","1,7,8",8,8,8
ID0607,Merge Q3808,mmlu,5,"1,2,3,6,12","1,2,3,6,12",12,12,12
ID0609,Merge Q867,jama,4,"1,2,10,11","1,4,5,6",11,9,9
ID0614,Merge Q2670,medxpert,3,"1,2,3","1,2,5",6,6,6
ID0616,Merge Q2870,medxpert,3,"3,4,8","1,3,8",8,8,8
ID0617,Merge Q4039,mmlu,2,"2,3","1,2",3,3,3
ID0618,Merge Q3920,mmlu,5,"1,3,4,6,7","1,4,5,6,7",7,7,7
ID0619,Merge Q1092,medbullets,5,"1,2,3,5,6","1,2,3,6,7",7,7,7
ID0621,Merge Q2569,medxpert,7,"1,2,3,4,5,6,8","1,2,3,4,6,7,8",8,8,8
ID0622,Merge Q3926,mmlu,4,"2,3,7,8","1,2,3,7",8,8,8
ID0623,Merge Q1273,medbullets,7,"1,2,3,4,6,7,10","1,2,3,4,5,9,10",11,11,10
ID0625,Merge Q3253,medxpert,3,"1,3,4","1,3,4",4,4,4
ID0626,Merge Q2200,medxpert,4,"1,2,3,4","1,2,4,5",5,5,5
ID0627,Merge Q2197,medxpert,4,"1,2,5,6","1,4,5,6",6,19,6
ID0628,Merge Q3905,mmlu,4,"1,2,3,5","1,2,3,4",5,5,5
ID0634,Merge Q3940,mmlu,2,"2,5","2,4",5,5,5
ID0635,Merge Q568,jama,4,"2,4,6,12","1,8,9,10",12,12,12
ID0636,Merge Q741,jama,6,"4,5,9,12,13,15","1,8,9,10,13,14",16,14,14
ID0647,Merge Q383,jama,5,"1,2,3,5,9","1,6,7,9,10",13,8,8
ID0651,Merge Q2639,medxpert,7,"1,2,3,4,5,6","1,2,3,4,5,6,7",6,6,6
ID0652,Merge Q4001,mmlu,2,"2,4","1,4",4,4,4
ID0653,Merge Q3989,mmlu,3,"1,2,7","1,2,7",7,7,7
ID0654,Merge Q3783,mmlu,3,"3,5,10","2,5,10",10,10,10
ID0655,Merge Q2193,medxpert,6,"1,3,4,6,7,8","1,2,3,4,7,8",8,8,8
ID0656,Merge Q68,jama,4,"2,8,13,14","1,2,3,7",16,11,11
ID0658,Merge Q2006,medxpert,1,2,2,4,4,4
ID0660,Merge Q413,jama,6,"1,7,8,10,11,13","1,5,10,15,16,17",17,17,16
ID0662,Merge Q1125,medbullets,8,"1,2,4,8,9,10,11,12","1,2,3,8,9,10,11,12",12,12,12
ID0665,Merge Q3974,mmlu,3,"2,3,5","1,2,3",5,5,5
ID0668,Merge Q2589,medxpert,3,"1,2,5","1,3,5",5,5,5
ID0669,Merge Q437,jama,4,"1,2,5,9","1,5,6,11",13,15,13
ID0671,Merge Q147,jama,6,"2,3,6,7,8,10","1,4,6,7,9,10",10,10,10
ID0672,Merge Q2568,medxpert,3,"4,5,6","1,2,3",6,6,6
ID0673,Merge Q1077,medbullets,3,"1,3,8","1,5,8",9,9,9
ID0675,Merge Q653,jama,6,"1,3,5,6,8,9","1,2,3,5,6,9",9,8,8
ID0680,Merge Q2028,medxpert,4,"1,3,4,5","2,3,4,5",5,5,5
ID0682,Merge Q3930,mmlu,3,"1,2,3","1,2,4",4,4,4
ID0683,Merge Q422,jama,6,"2,3,4,7,8,9","1,2,4,7,8,9",9,10,9
ID0684,Merge Q2402,medxpert,2,"3,7","1,7",7,7,7
ID0692,Merge Q558,jama,7,"1,3,4,5,6,7,9","1,2,4,5,6,8,9",9,9,9
ID0693,Merge Q1149,medbullets,4,"3,5,8,10","1,3,5,10",10,10,10
ID0695,Merge Q4013,mmlu,2,"1,2","1,2",6,7,7
ID0698,Merge Q1401,medxpert,5,"1,2,9,10,12","1,2,9,10,12",12,18,12
ID0699,Merge Q104,jama,7,"2,5,6,8,9,10,13","1,3,9,10,12,15,16",16,14,14
ID0701,Merge Q1506,medxpert,3,"2,3,4","1,3,4",5,5,5
ID0702,Merge Q1706,medxpert,5,"1,2,5,6,7","1,2,5,6,7",7,13,7
