Origin,Qwen72B_High_Relevance,question_options,data_source_corr_x,Correct answer
ID0028,"5. Physical exam is notable only for minor pallor but is otherwise unremarkable. 6. Basic laboratory studies are ordered as seen below.

Hemoglobin: 10 g/dL  
Hematocrit: 30%  
Leukocyte count: 67,500/mm^3  
Platelet count: 119,000/mm^3  

Serum:  
Na: 141 mEq/L  
Cl: 103 mEq/L  
K: 4.0 Eq/L  
HCO3-: 24 mEq/L  
BUN: 22 mg/dL  
Glucose: 109 mg/dL  
Creatinine: 1.2 mg/dL  
Ca: 10.0 mg/dL","Which of the following is the most likely diagnosis?

A. Chronic lymphocytic leukemia  
B. Acute lymphoblastic leukemia  
C. Hairy cell leukemia  
D. Chronic myelogenous leukemia",medbullets,A
ID0029,"1. A 46-year-old man presents with his wife to his primary care provider for depression and strange movements. 3. Whereas he was previously outgoing and “the life of the party,” the patient is now irritable and withdrawn. 12. On physical exam, the patient has a flat affect with a facial grimace and sudden jerky movements of his upper extremities.","Which of the following is most likely to be seen on further workup?

A. Dorsal striatum atrophy on head CT  
B. Neurofibrillary tangles on brain biopsy  
C. Alpha-synuclein aggregates on brain biopsy  
D. Frontotemporal atrophy on head CT",medbullets,A
ID0032,1. A 34-year-old nulliparous woman presents to the clinic with 2 weeks of copper-colored discharge from her right nipple. 5. Exam of the right breast reveals no mass on palpation. 6. Bloody discharge is expressed from the right nipple.,"Which of the following is the most likely diagnosis?

A. Ductal carcinoma in situ  
B. Mammary duct ectasia  
C. Invasive ductal carcinoma  
D. Intraductal papilloma",medbullets,D
ID0034,"4. The patient is certain that his neighbors have been tampering with his food and potentially poisoned him. 5. He further states that he knows they have been trying to break into his house and steal his things. 6. He has tried multiple times to get them evicted from the building to no avail. 7. It is for this reason that he is certain that they are trying to get their revenge upon him. 10. The patient is outraged at this news and requests a competent doctor who is not colluding with his enemies. 11. He storms out of the office angrily, stating that he deserves the best in medical care.","Which of the following is the most likely disorder that this patient is suffering from?

A. Paranoid personality disorder  
B. Borderline personality disorder  
C. Narcissistic personality disorder  
D. Schizoid personality disorder",medbullets,A
ID0039,"1. A 7-month-old infant, who was recently discharged from the hospital following an episode of enteritis and dehydration, has persistent watery diarrhea. 3. On physical examination, his temperature is 37.4°C (99.3°F), his mucous membranes are dry, and his abdomen is slightly distended.","The problem is most likely related to which of the following?

A. Fructose intolerance

B. Transient lactase deficiency

C. Magnesium deficiency

D. Regional enteritis",mmlu,B
ID0041,"1. A previously healthy Hispanic man in his 40s was transferred to the University of Illinois at Chicago emergency department with a 3-week history of intermittent facial tingling, pulsatile tinnitus, acute-onset worsening blurry vision, altered color perception, and paracentral scotomas in both eyes. 4. His social history was significant for multiple male and female sexual partners. 5. On examination, his visual acuity was counting fingers OD and 20/70 OS. 7. The external and slitlamp examinations were unremarkable except for 1+ anterior vitreous cells in both eyes. 8. Dilated fundus examination revealed mild optic disc edema and hyperemia along with large, pale-yellowish, placoid lesions within the macula of both eyes (Figure 1). 9. Optical coherence tomography of both eyes (Figure 1, inset) revealed extensive disruption of the ellipsoid and interdigitation zones. 13. Examination of the posterior pole of both eyes revealed mild optic disc edema and hyperemia along with large, pale-yellowish, outer retinal lesions within or adjacent to the macula of both eyes. 14. Inset, Optical coherence tomography of both eyes revealed extensive disruption of the ellipsoid and interdigitation zones, hyperreflective nodules overlying a hyperreflective retinal pigment epithelium, and punctate hyperreflectivity of the choroid.","What Would You Do Next?

A: Perform rapid plasma reagin and confirmatory fluorescent treponemal antibody absorption testing  
B: Start oral corticosteroids  
C: Perform intravitreous tap and antiviral injection  
D: Observe",jama,A
ID0042,"2. He was born at term and has had three episodes of bilateral otitis media since birth.   3. Umbilical cord separation occurred at the age of 8 weeks.   5. His temperature is 39.0°C (102.2°F) and blood pressure is 58/36 mm Hg.   6. Physical examination shows white oral patches and confluent scaly erythematous skin lesions in the groin.   7. Laboratory studies show a leukocyte count of 41,300/mm3 (92% segmented neutrophils and 8% lymphocytes) and a platelet count of 224,000/mm3.   8. Blood cultures at 20°C (68°F) grow catalase-positive yeast cells.","Which of the following is the most likely underlying cause of this patient's symptoms?

A. Impaired neutrophil chemotaxis  
B. Defective beta-2 integrin  
C. Defective NADPH oxidase  
D. Abnormal toll-like receptor function  
E. Defective IL-12 receptor signaling  
F. Defective CD40 ligand  
G. Abnormal neutrophil granule formation  
H. Impaired myeloperoxidase function  
I. Defective neutrophil adhesion molecule expression  
J. Defective interferon-gamma production",medxpert,B
ID0045,1. A 32-year-old male presents to the emergency department after suffering an L1 burst fracture from a fall. 2. Neurologic examination confirms he is an ASIA E. 3. MRI reveals mild vertebral retropulsion with 10% central canal stenosis and no signs of posterior ligament complex injury.,"Regarding surgical decompression and fixation compared to nonoperative management with bracing, which of the following statements is accurate?

A. Patients treated with surgery return to work earlier.  
B. Bracing is contraindicated in burst fractures with canal stenosis.  
C. All of the above  
D. Patients treated with surgery have increased complication rates.  
E. Surgical treatment provides superior functional outcomes.  
F. Surgery significantly improves canal stenosis compared to bracing.  
G. Surgery significantly reduces pain compared to bracing.  
H. Surgery is required in all cases of burst fractures to prevent long-term deformity.  
I. Surgical decompression is necessary for all ASIA E patients.  
J. Patients treated nonoperatively have higher rates of long-term disability.",medxpert,D
ID0046,"9. HEENT exam reveals non-tender posterior and anterior chain lymphadenopathy. 10. Abdominal exam reveals splenomegaly and hepatomegaly. 11. There are large, non-tender palpable lymph nodes in the patient's inguinal region.","Which of the following is most likely to be abnormal in this patient?

A. IgA and IgG  
B. Calcium  
C. T-cells  
D. IgM",medbullets,D
ID0047,"1. A 49-year-old man with a history of diabetes, hypertension, intravenous drug abuse, and multiple sexual partners presented to the emergency department with painless vision loss in both eyes for 10 days, left eye worse than right eye, and photophobia in both eyes. 2. His visual acuity was count fingers OD and 20/70 OS. 4. There were 1+ (10-12 cells/high-power field) anterior chamber cells in both eyes with very hazy posterior pole details in the right eye and minimal vitreous haze in the left eye. 5. There was a hazy view to the posterior pole in the right eye with disc edema and multiple flame hemorrhages surrounding the nerve. 6. Examination of the posterior pole in the left eye revealed partial obstruction of all vessels and a complete halo on the disc with numerous flame hemorrhages emanating from and surrounding the optic nerve, along with a few dot blot hemorrhages within the macula (Figure). 8. There is marked hemorrhagic disc edema with flame hemorrhages emanating from and surrounding the optic nerve.","What Would You Do Next?

A: Obtain HIV and syphilis serology results  
B: Administer 1000 mg of intravenous methylprednisolone  
C: Inject intravitreal foscarnet  
D: Obtain computed tomographic scan of the brain",jama,A
ID0048,2. She has had only 2 periods in the last year. 5. The patient has a medical history of Hashimoto thyroiditis and takes levothyroxine daily.,"Which of the following is the most appropriate next step in management?

A. Combined oral contraceptive  
B. Increase levothyroxine dose  
C. Brain MRI  
D. Estradiol patch with oral medroxyprogesterone",medbullets,D
ID0056,"1. A 24-year-old G2 woman at approximately 35-36 weeks gestation presents to labor and delivery with contractions occurring every 3-5 minutes for the last hour.   4. Cervical examination shows 5 cm dilation with 60% effacement, and fetal monitoring shows reassuring patterns.","What is the most appropriate approach regarding group B streptococci (GBS) screening and management in this case?

A. Prophylactic antibiotics are only indicated for patients with a history of neonatal GBS disease in a prior pregnancy.  
B. Administer antibiotics only if the patient develops a fever during labor.  
C. Administer antibiotics only if the patient reports a history of GBS colonization in a prior pregnancy.  
D. Initiate prophylactic antibiotics.  
E. Obtain culture results and give antibiotic prophylaxis for GBS after her membranes rupture.  
F. No antibiotics are needed if the patient reports no known allergies or prior complications.  
G. Initiate antibiotics only if the patient progresses to active labor.  
H. No antibiotics  
I. Defer antibiotics until the patient’s GBS status can be confirmed.  
J. Administer antibiotics only if the patient’s membranes rupture before delivery.",medxpert,D
ID0057,2. He is polite to the physician but berates the nurses and other staff.   4. The patient says with disgust that the missing child is and always has been worthless.,"Which of the following is the most likely explanation for this patient's behavior?  
A. Projection  
B. Projective identification  
C. Reaction formation  
D. Splitting",mmlu,D
ID0059,7. Urine dipstick shows leukocyte esterase; urinalysis shows WBCs and rare gram-negative rods.,"Which of the following is the most appropriate next step in management?

A. Recommend drinking 8 oz of cranberry juice daily

B. Oral amoxicillin therapy

C. Oral metronidazole therapy

D. Intravenous cefazolin therapy",mmlu,B
ID0060,"1. A healthy 36-year-old man was referred to the dermatology clinic for a 5-day history of an exquisitely tender rash at the base of his left thumb. 2. One day prior to presentation, he went to a local emergency department, where he was prescribed clindamycin and valacyclovir. 4. The patient was afebrile, and physical examination revealed several vesicles with purulent fluid on an erythematous base, at the base of the left thumb (Figure). 7. Vesicular fluid was collected and sent for further analysis.","What Would You Do Next?

A: Perform local incision and debridement  
B: Admit to the hospital for intravenous antiviral therapy  
C: Instruct the patient to take only the valacyclovir  
D: Instruct the patient to take only the clindamycin",jama,C
ID0062,"4. On physical examination, there was mild right-sided ptosis and miosis.   6. After instilling 10% topical cocaine eyedrops, the right pupil did not change its size whereas the left pupil dilated by 2 mm, supporting a diagnosis of right-sided Horner syndrome.  ","What Would You Do Next?  
A: Perform a lumbar puncture and measure opening pressure and cerebrospinal fluid composition  
B: Order magnetic resonance imaging and magnetic resonance angiography of the brain and cervical spine  
C: Perform an apraclonidine test to confirm diagnosis of Horner syndrome  
D: Order tests for erythrocyte sedimentation rate, C-reactive protein level, and syphilis serologies",jama,B
ID0063,"4. Physical examination reveals three notable findings: enhanced thoracic kyphosis, posterior positioning of the right scapula in neutral stance, and a group dysfunction from T3-T9 on spinal palpation. 5. Forward bending reveals a prominent right-sided rib cage hump.","What is the most probable diagnosis and what best characterizes this patient's spinal motion pattern?

A. Dextroscoliosis; freedom of motion is sidebent to the right and rotated to the left  
B. Dextroscoliosis; concavity of the curve is to the left and vertebrae rotated to the right  
C. Levoscoliosis; concavity of the curve is to the right and vertebrae rotated to the left  
D. Levoscoliosis; the curve is sidebent to the right and rotated to the left  
E. Levoscoliosis; freedom of motion is sidebent to the right and rotated to the left  
F. Levoscoliosis; restricted with extension and convexity of the curve is to the left  
G. Dextroscoliosis; restricted with flexion and concavity of the curve is to the left  
H. Levoscoliosis; freedom of motion is sidebent to the left and rotated to the right  
I. Dextroscoliosis; convexity of the curve is to the left and vertebrae rotated to the left  
J. Dextroscoliosis; convexity of the curve is to the right and vertebrae rotated to the left",medxpert,B
ID0067,"2. A medical student rotating in the intensive care unit asked if she can practice performing intubations during her rotation. 3. The resident suggests performing one on the deceased patient, as the student cannot harm him.","Which of the following is the most appropriate course of action for the medical student?

A. Ask the resident if the patient’s family or the patient has been consented for this procedure  
B. Contact the patient's family to ask for permission to perform the procedure  
C. Intubate the patient with the resident's supervision  
D. Report the resident to hospital administration",medbullets,A
ID0069,"1. A 5-year-old girl was referred for evaluation of blepharoptosis of the left eye present since birth (Figure). 9. There was notable asymmetry in the following eyelid measurements: palpebral fissure height (10 mm OD; 5-6 mm OS) and margin reflex distance 1 (3.5 mm OD; 0.5-1.5 mm OS). 10. In addition, elevation of the left upper eyelid was observed with lateral jaw thrust but not with anterior-posterior jaw movements or with mouth opening and closing. 11. The levator function was 14 mm OU, and the margin crease distances were 5 mm OD and 6 mm OS.","What Would You Do Next?

A: Conduct genetic testing  
B: Perform urgent neuroimaging  
C: Start oral corticosteroids  
D: Discuss carefully observing vs surgical repair of the ptosis",jama,D
ID0071,"3. The pain is localized to her back without leg radiation, and she reports no traumatic incidents.","What is the most likely diagnosis?

A. bilateral sacral extension  
B. bilateral sacral flexion  
C. sacral base posterior  
D. right-on-right sacral torsion  
E. sacral base anterior  
F. right-on-left sacral torsion  
G. unilateral sacral flexion on the right  
H. left-on-left sacral torsion  
I. left-on-right sacral torsion  
J. unilateral sacral extension on the left",medxpert,D
ID0073,"1. A 4-year-old female presents for evaluation with a one-week history of vomiting occurring two to four times daily. 8. When asked to ambulate, she displays an unsteady, wide-based gait with rightward deviation.","Which of the following would be the most appropriate next diagnostic step?

A. Serum electrolytes and blood glucose  
B. Laboratory evaluation of electrolytes  
C. Abdominal ultrasound  
D. CT of the head  
E. Lumbar puncture  
F. Vestibular function testing  
G. MRI of the brain  
I. Upper gastrointestinal endoscopy  
J. Complete blood count with differential",medxpert,G
ID0074,1. A 40-year-old woman comes to the physician because of a 6-month history of increased facial hair growth. 2. Her last menstrual period was 4 months ago. 5. Physical examination shows temporal balding and coarse dark hair on the upper lip and chin. 6. Pelvic examination shows clitoral enlargement. 7. Her serum testosterone concentration is increased. 9. Ultrasonography of the pelvis shows a 12-cm ovarian mass.,"Which of the following best describes this mass?

A. Granulosa tumor

B. Ovarian carcinoid

C. Sertoli-Leydig tumor

D. Teratoma",mmlu,C
ID0082,"1. A 64-year-old man presents with nausea, vomiting, and weakness. 2. He states that his wife made him come in when he fainted today while attempting to stand up. 3. He otherwise states he has noticed some visual changes, including noting a yellow tint to objects. 5. His temperature is 98.5°F (36.9°C), blood pressure is 153/91 mmHg, pulse is 40/min, respirations are 15/min, and oxygen saturation is 97% on room air. 8. An ECG is performed as seen in Figure A.","Which of the following is the most likely etiology of this patient’s symptoms?

A. Amiodarone  
B. Digoxin  
C. Diltiazem  
D. Procainamide",medbullets,B
ID0085,1. A 50-year-old female with a history of chronic alcohol use disorder presents with severe abdominal pain. 3. Physical examination is challenging as the patient refuses abdominal palpation due to the intensity of the pain. 4. The provider suspects spontaneous bacterial peritonitis.,"Which of the following findings would most strongly support this diagnosis?

A. Pain that improves with movement  
B. Gentle pressure at the costovertebral angle elicits pain  
C. McBurney's point tenderness  
D. Absent bowel sounds  
E. Shifting dullness on percussion  
F. Murphy's sign positive  
G. Guaiac positive stool  
H. Cullen's sign present  
I. Rebound tenderness on light palpation  
J. Forced cough elicits abdominal pain",medxpert,J
ID0092,"6. He is diagnosed with acute cellulitis and therapy with intravenous ceftriaxone is initiated.   7. On the 5th day of the antibiotic therapy, the patient is noted to have severe watery diarrhea, a temperature of 38.2 °C (100.8°F), and abdominal tenderness without rigidity.  ","Which of the following is the best initial therapy for this patient?

A. Intravenous vancomycin  
B. Oral fidaxomicin  
C. Intravenous metronidazole  
D. Intravenous daptomycin  
E. Oral metronidazole  
F. Discontinuation of ceftriaxone without additional therapy  
G. Intravenous fidaxomicin  
H. Oral clindamycin  
I. Oral rifaximin  
J. Oral vancomycin",medxpert,B
ID0093,"1. A 14-year-old girl presented to the emergency department after experiencing 2 weeks of fever, malaise, photophobia, phonophobia, headache, nausea, vomiting, and neck stiffness. 3. Her systemic inflammatory markers were elevated, including a left-shifted leukocytosis with a white blood cell count of 15 200 μL (normal values, 4100-8900 μL) (to convert to × 109/L, multiply by 0.001), a platelet count of 458 × 103 μL (150-450 × 103 μL) (to convert to × 109/L, multiply by 1.0), and a C-reactive protein level of 17.3 mg/L (<8.0 mg/L) (to convert to nanomoles per liter, multiply by 9.524). 4. Cerebrospinal fluid studies were suggestive of aseptic meningitis: elevated protein levels (0.139 g/dL, 0-0.035 g/dL) (to convert to grams per liter, multiply by 10.0), increased neutrophils (32%, 2% ± 4%), normal opening pressure, and normal glucose levels. 5. On day 2 of her hospitalization, she complained of left-eye blurred vision. 6. Her visual acuity was 20/20 OD and 20/70 OS. 9. The results of a dilated fundus examination of both eyes revealed significant inflammation, including 1+ vitreous cell levels, marked disc edema, intraretinal hemorrhages, and extensive sheathing of the retinal venules (Figure).","What Would You Do Next?

A: Initiate systemic corticosteroids  
B: Treat with an intraocular corticosteroid injection  
C: Evaluate for systemic infectious disease  
D: Begin administering intravenous acyclovir",jama,C
ID0094,"1. An 18-year-old woman with no significant medical history and no history of sexual intercourse presented for evaluation of pharyngitis and tonsillar exudates of 1 week duration. 3. One week prior to presentation, she visited an urgent care clinic for evaluation of pharyngitis and white exudates on her tonsils. 4. Results of a rapid strep test and heterophile antibody test (monospot) were negative. 5. A throat culture was obtained and she was prescribed amoxicillin (500 mg twice daily for 10 days) for possible group A streptococcal infection. 6. Despite taking antibiotics for 7 days, she had no improvement in her symptoms. 7. One day prior to presentation, the urgent care clinic notified the patient that her throat culture results were negative. 9. She had bilateral white tonsillar exudates and posterior cervical lymphadenopathy, but no exudate was observed elsewhere in the oral cavity and the uvula was midline (Figure).","What Would You Do Next?

A: Obtain an ultrasound of the neck  
B: Prescribe azithromycin  
C: Recheck a rapid heterophile antibody test  
D: Treat with an oral antifungal medication",jama,C
ID0096,"1. A 58-year-old male with multiple comorbidities including alcohol use disorder, type 2 diabetes, benign essential tremor, intravenous drug use, chronic pain, and major depressive disorder is brought to the emergency department with altered consciousness. 3. His vital signs show: temperature 97.8°F (36.6°C), blood pressure 89/58 mmHg, pulse 102/min, respirations 16/min, and 100% oxygen saturation on room air. 4. On examination, he responds to sternal rub with extremity flexion and has 3 mm reactive pupils bilaterally. 5. Laboratory results show:

Serum:
Na+: 140 mEq/L
Cl-: 102 mEq/L
K+: 4.1 mEq/L
HCO3-: 24 mEq/L
BUN: 20 mg/dL
Glucose: 112 mg/dL
Creatinine: 1.1 mg/dL
Ca2+: 10.2 mg/dL
Alcohol: 300 mg/dL

After intubation and ICU admission, the patient continues to show inadequate respiratory drive at 24 hours.","What is the most likely cause of his clinical presentation?

A. Clonazepam  
B. Gamma hydroxybutyrate  
C. Oxycodone  
D. Ethanol  
E. Phenobarbital  
F. Baclofen  
G. Methadone  
H. Propofol  
I. Gabapentin  
J. Ethylene glycol",medxpert,E
ID0098,1. A 72-year-old man comes to the physician because of a 7-month history of leg weakness and dry eyes and mouth. 7. Examination shows mild ptosis. 10. There is moderate weakness of proximal muscles of the lower extremities. 11. Reflexes are absent. 12. He has difficulty rising from a chair.,"His neurologic findings are most likely due to a lesion involving which of the following?

A. Muscle membrane

B. Parasympathetic nervous system

C. Peripheral nerve

D. Presynaptic neuromuscular junction",mmlu,D
ID0110,"1. A 76-year-old woman presented with a palpable left axillary mass. 3. Bilateral diagnostic mammography revealed a high-density irregular mass in the left axilla with no nodules, architectural distortions, or microcalcifications in the breasts. 4. Ultrasonography of the left breast showed a 4.6-cm lobulated mixed cystic and solid left axillary mass. 5. Contrast-enhanced magnetic resonance imaging showed an enhancing 5.2-cm left axillary mass with no breast lesions (Figure 1A). 6. The biopsy examination indicated high-grade adenocarcinoma with papillary features (estrogen receptor– and progesterone receptor–positive, ERBB2 [formerly HER2]–negative, and a high Ki67 index). 7. Positron emission tomography/computed tomography revealed only high uptake in the left axilla region. 10. We requested the pathology slides for review at our laboratory and additional immunostaining was performed, which revealed high-grade adenocarcinoma with tumor cells positive for PAX8 (Figure 1B), p53, and WT1 and negative for GATA3.A, Magnetic resonance image of the breasts shows an enhancing 5.2-cm left axillary mass (arrowhead) but no breast lesions. 11. B, Immunohistochemical staining revealed tumor cells positive for PAX8 (original magnification ×100).","What Is Your Diagnosis?

A: Papillary carcinoma of the thyroid  
B: High-grade serous carcinoma of gynecological origin  
C: High-grade carcinoma of the breast with occult primary  
D: High-grade papillary carcinoma of unknown primary",jama,B
ID0111,"2. She reports that for the last several years, she has had chronic pain that is worse just before her menstrual period. 3. Over the past 2 months, she has also had worsening pain during intercourse. 5. The patient has never been pregnant and previously used a copper intrauterine device (IUD) for contraception, but she had the IUD removed 1 year ago because it worsened her menorrhagia. 7. The patient reports improvement in her menorrhagia on the OCPs but denies any improvement in her pain. 10. The patient has pain with lateral displacement of the cervix on pelvic exam. 11. A pelvic ultrasound shows no abnormalities, and a urine pregnancy test is negative.","Which of the following is most likely to confirm the diagnosis?

A. Hysteroscopy  
B. Abdominal ultrasound  
C. Hysterosalpingogram  
D. Laparoscopy",medbullets,D
ID0112,"1. The parents of a 14-year-old girl contact their primary care provider 10 minutes after their daughter lost her right front tooth during a basketball game. 4. After rinsing her mouth, the parents found a small cut on her lip and noticed her right front tooth was missing. 5. They located the tooth, which appears intact.","What is the most appropriate recommendation for the parents at this time?

A. Wrap the tooth in a clean tissue and seek dental care immediately  
B. Sterilize tooth and store in cold milk  
C. Place the tooth in hydrogen peroxide for disinfection before replantation  
D. Remove debris and manually replant tooth in socket  
E. Store tooth in tap water and drive to primary care provider  
F. Avoid touching the root of the tooth and store it in the patient’s cheek  
G. Immerse the tooth in saline and wait for dental consultation  
H. Store tooth under the patient's tongue and drive to nearest dentist  
I. Go to emergency department for maxillofacial CT scan  
J. Rinse the tooth with alcohol and consult a dentist for reimplantation",medxpert,D
ID0113,"1. A 57-year-old woman comes to the office for a preoperative evaluation 2 weeks before undergoing scheduled laparoscopic cholecystectomy. 6. During the interview, her face is expressionless. 7. She has a flexed posture and is unable to open her mouth wide. 10. Physical examination discloses thickening and hardening of the skin over the dorsum of the hands and forearms, as well as mild kyphosis. 13. Gait is slow and deliberate.","Prior to surgery, further evaluation is indicated for which of the following conditions in this patient?

A. Parkinson disease

B. Progressive supranuclear palsy

C. Sarcopenia

D. Systemic sclerosis (scleroderma)",mmlu,D
ID0115,"3. The pain is above his umbilicus. 13. On physical exam, he is tender to palpation above the umbilicus. 16. The patient undergoes an endoscopy with a biopsy to diagnose his condition.","Which of the following is most likely to be found on histology?

A. Crypt abscesses in the large intestine  
B. Mucosal defect in the stomach  
C. Noncaseating granulomas in the small intestine  
D. Urease-producing organism in the small intestine",medbullets,D
