Origin,Round 1 Letter,Round 2 Letter,Ground Truth
ID0148,C,F,C
ID0149,B,B,B
ID0150,C,A,A
ID0151,J,J,J
ID0152,A,A,C
ID0153,D,D,D
ID0154,A,A,A
ID0155,C,C,C
ID0157,C,C,C
ID0161,C,C,C
ID0162,A,A,A
ID0163,A,A,C
ID0164,B,B,B
ID0165,J,J,I
ID0166,C,F,F
ID0168,B,B,B
ID0169,B,B,B
ID0170,<answer>Option (J)</answer>,J,G
ID0172,D,C,D
ID0177,B,B,B
ID0182,A,A,A
ID0184,C,C,C
ID0185,D,D,D
ID0186,C,C,C
ID0189,A,A,A
ID0190,A,A,A
ID0191,C,C,C
ID0192,D,D,D
ID0193,E,E,E
ID0195,B,B,C
ID0198,A,A,A
ID0199,A,C,C
ID0200,I,I,J
ID0202,D,D,D
ID0206,D,D,D
ID0207,G,G,J
ID0209,D,D,D
ID0211,A,A,A
ID0213,C,C,C
ID0215,B,D,B
ID0216,I,I,A
ID0217,C,C,C
ID0219,B,B,B
ID0220,B,B,B
ID0221,A,A,A
ID0222,B,B,D
ID0229,A,A,A
ID0230,C,C,C
ID0232,B,B,B
ID0233,<answer>Option (A)</answer>,A,B
ID0235,<answer>Option (B)</answer>,B,B
ID0236,C,C,C
ID0237,A,A,A
ID0238,A,D,D
ID0240,A,C,A
ID0241,A,A,A
ID0242,G,G,A
ID0243,C,C,C
ID0244,C,C,C
ID0246,C,C,C
ID0247,C,C,C
ID0248,<answer>Option (C)</answer>,A,C
ID0249,C,C,C
ID0251,D,D,D
ID0253,D,D,D
ID0254,D,D,D
ID0256,C,D,D
ID0257,B,B,B
ID0258,C,C,C
ID0262,C,C,H
ID0265,C,C,C
ID0268,D,C,C
ID0270,D,D,D
ID0275,I,I,C
ID0277,B,B,B
ID0278,C,C,C
ID0280,B,B,B
ID0281,I,J,A
ID0283,A,B,B
ID0284,I,J,I
ID0286,C,C,C
ID0287,C,C,C
ID0289,B,B,B
ID0291,H,H,D
ID0292,J,J,G
ID0293,D,B,B
ID0295,D,A,A
ID0296,B,B,C
ID0297,B,B,B
ID0298,H,B,H
ID0300,C,C,C
ID0301,A,A,A
ID0302,B,C,C
ID0303,F,F,F
ID0304,I,I,I
ID0305,B,B,B
ID0307,D,D,D
ID0309,B,A,A
ID0310,D,D,C
ID0313,A,A,A
ID0314,C,C,C
ID0315,C,C,C
ID0317,E,E,F
ID0320,<answer>Option (F)</answer>,F,A
ID0321,B,B,B
ID0323,D,D,D
ID0324,C,C,C
ID0325,B,B,B
ID0326,B,B,B
ID0327,<answer>Option (E)</answer>,E,C
ID0328,A,B,A
ID0330,C,C,C
ID0331,C,C,C
ID0332,C,C,C
ID0334,C,C,C
ID0336,A,A,E
ID0337,B,D,C
ID0339,B,B,B
ID0342,B,B,B
ID0345,A,A,A
ID0349,F,C,C
ID0351,D,D,D
ID0352,A,A,A
ID0353,A,A,H
ID0356,C,C,A
ID0357,B,B,B
ID0359,D,A,A
ID0360,A,A,A
ID0362,B,C,C
ID0363,A,A,A
ID0364,B,B,B
ID0365,C,C,C
ID0366,C,C,B
ID0367,<answer>Option (F)</answer>,I,F
ID0368,D,D,D
ID0371,F,F,F
ID0373,C,C,C
ID0376,<answer>Option (A)</answer>,G,A
ID0377,C,C,A
ID0379,<answer>Option (C)</answer>,C,C
ID0382,C,C,C
ID0385,I,I,I
ID0387,C,C,C
ID0388,<answer>Option (F)</answer>,F,F
ID0389,C,C,C
ID0391,A,A,A
ID0393,D,D,D
ID0395,A,A,C
ID0396,B,B,B
ID0397,F,F,B
ID0399,C,C,C
ID0400,B,B,B
ID0402,B,B,B
ID0403,B,B,B
ID0404,C,C,D
ID0405,B,D,B
ID0406,D,D,D
ID0407,A,C,G
ID0409,D,D,D
ID0412,B,D,D
ID0415,B,B,B
ID0416,D,D,I
ID0417,D,D,D
ID0418,B,A,B
ID0421,D,D,D
ID0422,C,C,C
ID0425,D,D,F
ID0426,<answer>Option (B)</answer>,B,D
ID0428,D,D,D
ID0429,B,B,B
ID0431,C,C,C
ID0433,E,D,E
ID0435,D,I,I
ID0437,C,C,C
ID0438,B,B,B
ID0440,<answer>Option (B)</answer>,B,B
ID0442,D,D,D
ID0444,C,B,C
ID0446,C,C,C
ID0447,D,D,D
ID0449,C,C,C
ID0451,B,B,B
ID0453,D,D,D
ID0455,E,E,E
ID0458,F,F,F
ID0459,<answer>Option (A)</answer>,A,F
ID0460,C,C,C
ID0461,B,C,C
ID0462,C,C,C
ID0463,D,D,D
ID0465,C,C,B
ID0466,D,D,D
ID0467,C,C,C
ID0468,C,C,C
ID0469,D,A,A
ID0470,C,C,C
ID0471,D,D,D
ID0472,D,D,D
ID0473,A,A,A
ID0476,A,C,C
ID0477,C,A,C
ID0478,A,C,A
ID0479,B,B,B
ID0483,B,B,A
ID0484,C,C,C
ID0487,C,C,C
ID0488,C,C,C
ID0490,B,B,B
ID0491,<answer>Option (D)</answer>,A,A
ID0492,A,C,C
ID0494,A,A,C
ID0495,B,B,B
ID0496,C,C,C
ID0498,C,C,C
ID0500,B,B,B
ID0502,B,B,C
ID0503,A,A,A
ID0504,<answer>Option (H)</answer>,B,B
ID0506,<answer>Option (E)</answer>,D,D
ID0508,A,B,B
ID0509,G,G,J
ID0510,B,B,B
ID0511,B,B,B
ID0513,B,B,B
ID0514,I,I,I
ID0517,A,A,A
ID0519,I,I,I
ID0520,B,B,B
ID0521,H,H,H
ID0522,C,C,C
ID0523,<answer>Option (E)</answer>,E,D
ID0524,B,B,B
ID0525,B,B,B
ID0526,D,D,D
ID0528,B,B,B
ID0529,D,B,D
ID0532,B,B,B
ID0533,C,C,C
ID0534,B,B,B
ID0535,C,C,C
ID0536,I,I,J
ID0539,C,C,C
ID0541,B,B,B
ID0542,D,D,D
ID0543,D,D,D
ID0546,D,D,D
ID0551,C,C,B
ID0552,C,C,C
ID0553,D,D,C
ID0554,A,A,A
ID0555,D,D,D
ID0559,B,B,B
ID0561,A,A,D
ID0564,D,D,D
ID0566,B,B,B
ID0567,<answer>Option (D)</answer>,D,C
ID0568,C,B,C
ID0569,D,D,D
ID0572,<answer>Option (C)</answer>,C,C
ID0574,<answer>Option (E)</answer>,E,H
ID0575,C,D,D
ID0576,C,C,C
ID0577,C,C,C
ID0578,D,D,D
ID0581,C,C,B
ID0584,C,C,C
ID0585,C,B,B
ID0586,B,B,B
ID0587,E,E,E
ID0589,C,C,C
ID0590,D,D,D
ID0591,G,G,C
ID0592,C,C,C
ID0594,G,G,G
ID0595,J,J,J
ID0596,A,A,A
ID0598,C,C,C
ID0599,C,C,A
ID0600,B,B,B
ID0601,D,A,A
ID0602,D,C,D
ID0603,C,C,C
ID0604,C,C,C
ID0605,<answer>Option (H)</answer>,E,E
ID0607,A,A,A
ID0609,C,D,D
ID0613,C,C,C
ID0614,<answer>Option [J]</answer>,A,A
ID0616,E,I,I
ID0617,D,D,D
ID0618,A,A,A
ID0619,C,C,C
ID0621,C,C,C
ID0622,D,D,D
ID0623,A,A,A
ID0625,I,I,I
ID0626,<answer>Option (D)</answer>,F,D
ID0627,J,D,J
ID0628,C,C,C
ID0629,C,C,C
ID0631,A,A,A
ID0633,B,B,B
ID0634,B,B,B
ID0635,D,D,D
ID0636,C,B,C
ID0639,B,B,B
ID0641,F,F,F
ID0642,B,C,C
ID0643,C,D,C
ID0647,C,C,C
ID0648,B,B,B
ID0651,C,C,C
ID0652,A,A,A
ID0653,D,D,D
ID0654,C,C,C
ID0655,<answer>Option (E)</answer>,E,E
ID0656,A,A,A
ID0658,J,H,D
ID0659,B,B,B
ID0660,C,C,C
ID0661,C,C,A
ID0662,A,A,A
ID0664,B,B,B
ID0665,C,C,C
ID0668,<answer>Option (H)</answer>,C,H
ID0669,D,D,D
ID0670,B,B,B
ID0671,D,D,D
ID0672,<answer>Option (H)</answer>,D,G
ID0673,B,B,A
ID0675,A,A,A
ID0676,C,C,C
ID0679,B,B,A
ID0680,A,G,A
ID0682,C,C,C
ID0683,D,D,D
ID0684,I,J,J
ID0691,C,D,D
ID0692,B,B,B
ID0693,D,D,D
ID0695,D,D,D
ID0696,<answer>Option (F)</answer>,G,I
ID0697,B,A,B
ID0698,I,C,A
ID0699,C,C,C
ID0700,C,C,C
ID0701,H,H,H
ID0702,D,D,A
ID0703,B,B,B
ID0708,C,C,C
ID0709,B,B,B
ID0710,D,D,D
ID0711,B,B,B
ID0712,A,A,A
ID0713,B,B,B
ID0715,C,C,B
ID0716,D,B,D
ID0717,J,F,B
ID0718,B,B,B
ID0719,C,C,C
ID0721,A,A,A
ID0723,B,B,B
ID0726,B,B,B
ID0728,C,C,C
ID0731,C,C,C
ID0732,C,C,C
ID0733,B,B,D
ID0734,D,D,D
ID0735,B,B,B
ID0737,<answer>Option (F)</answer>,F,J
ID0739,C,C,C
ID0740,B,D,C
ID0743,C,C,B
ID0744,B,B,B
ID0745,C,A,D
ID0746,C,C,C
ID0747,A,A,D
ID0752,A,A,A
ID0753,C,C,G
ID0754,B,C,B
ID0756,B,B,A
ID0757,B,B,B
ID0758,D,D,D
ID0759,B,B,B
ID0761,J,J,D
ID0762,C,C,C
ID0764,D,B,B
ID0765,B,B,J
ID0766,D,D,D
ID0769,B,B,B
ID0770,E,E,E
ID0773,D,D,D
ID0775,B,D,D
ID0776,C,C,B
ID0777,I,I,A
ID0778,G,G,G
ID0779,C,C,C
ID0780,D,D,C
ID0781,C,C,C
ID0782,D,D,D
ID0783,C,C,C
ID0784,C,C,C
ID0785,C,C,C
ID0786,A,A,A
ID0788,B,B,B
ID0789,A,A,A
ID0790,C,C,C
ID0792,J,A,I
ID0796,D,D,D
ID0797,C,C,C
ID0798,H,H,H
ID0799,D,D,D
ID0800,C,C,C
ID0801,B,B,B
ID0802,D,B,D
ID0803,D,D,D
ID0805,G,J,J
ID0809,D,D,B
ID0810,C,C,C
ID0811,A,A,A
ID0813,I,I,D
ID0814,C,B,B
ID0815,G,B,I
ID0816,I,I,E
ID0819,C,C,C
ID0821,A,A,A
ID0824,A,A,A
ID0825,D,D,D
ID0826,C,C,C
ID0827,G,H,C
ID0828,<answer>Option (B)</answer>,E,E
ID0830,A,A,A
ID0831,<answer>Option (B)</answer>,F,F
ID0832,D,D,D
ID0833,C,C,C
ID0834,C,C,C
ID0835,A,A,A
ID0836,B,C,B
ID0837,C,C,C
ID0840,A,A,A
ID0841,D,D,C
ID0842,I,D,C
ID0843,F,F,B
ID0844,A,A,A
ID0845,C,C,C
ID0846,C,C,C
ID0847,C,C,B
ID0850,C,C,C
ID0851,D,D,D
ID0852,A,A,A
ID0853,B,B,B
ID0854,C,A,A
ID0855,A,D,D
ID0856,A,J,J
ID0858,B,B,B
ID0859,C,C,C
ID0860,D,B,B
ID0861,C,C,C
ID0862,B,B,B
ID0864,A,A,A
ID0866,D,D,D
ID0867,B,B,B
ID0869,B,B,B
ID0870,B,B,A
ID0871,C,C,C
ID0872,E,E,D
ID0876,B,C,B
ID0878,B,B,B
ID0879,C,C,C
ID0880,I,I,F
ID0883,G,G,G
ID0884,C,C,C
ID0885,D,D,D
ID0887,B,B,B
ID0889,A,B,D
ID0893,D,D,D
ID0894,B,B,B
ID0895,C,C,C
ID0899,B,B,B
ID0900,C,C,C
ID0901,B,B,B
ID0902,C,I,I
ID0904,B,A,A
ID0905,C,C,C
ID0907,E,E,C
ID0908,C,C,C
ID0909,A,A,A
ID0910,D,D,D
ID0911,D,D,D
ID0912,C,C,E
ID0915,C,D,C
ID0916,D,D,D
ID0918,D,D,D
ID0919,D,D,A
ID0922,E,E,I
ID0923,A,A,A
ID0924,B,B,B
ID0925,B,B,B
ID0926,J,J,A
ID0927,A,A,B
ID0928,C,C,C
ID0934,G,G,G
ID0935,A,A,A
ID0937,C,C,C
ID0939,A,A,A
ID0941,C,C,E
ID0942,G,G,H
ID0944,B,B,B
ID0948,<answer>Option (H)</answer>,B,F
ID0949,C,C,C
ID0951,B,B,B
ID0953,D,D,D
ID0954,B,B,B
ID0957,B,B,J
ID0961,A,A,A
ID0962,A,A,A
ID0963,D,D,D
ID0965,I,I,F
ID0967,B,B,B
ID0968,A,B,C
ID0969,C,C,C
ID0970,B,B,B
ID0972,<answer>Option (C)</answer>,C,B
ID0973,D,C,D
ID0974,D,A,D
ID0976,A,A,A
ID0977,B,B,B
ID0979,<answer>Option (B)</answer>,F,B
ID0981,C,C,C
ID0982,C,C,C
ID0987,A,A,A
ID0990,D,D,D
ID0991,C,A,C
ID0992,<answer>Option (B)</answer>,E,B
ID0993,B,B,C
ID0994,<answer>Option (C)</answer>,C,C
ID0996,C,C,C
ID0998,B,B,B
ID0999,D,D,D
ID1001,C,C,C
ID1002,C,C,C
ID1005,C,C,C
ID1006,C,C,B
ID1009,D,D,D
ID1011,A,A,D
ID1013,D,D,D
ID1014,B,B,B
ID1015,D,D,D
ID1016,A,B,D
ID1017,D,D,D
ID1019,D,A,D
ID1020,A,C,C
ID1021,A,A,A
ID1022,D,D,D
ID1024,D,D,D
ID1025,A,A,A
ID1026,<answer>Option (D)</answer>,F,B
ID1028,D,D,D
ID1029,I,C,G
ID1031,J,J,G
ID1032,C,C,A
ID1035,C,A,C
ID1037,B,B,B
ID1038,A,D,D
ID1040,D,D,D
ID1044,C,C,C
ID1047,B,B,B
ID1048,B,B,B
ID1049,D,D,D
ID1051,A,A,A
ID1055,<answer>Option (C)</answer>,C,E
ID1058,D,D,D
ID1059,C,C,C
ID1060,C,C,C
ID1062,E,J,E
ID1063,B,B,B
ID1064,A,A,A
ID1065,<answer>Option (D)</answer>,G,G
ID1066,<answer>Option (G)</answer>,G,B
ID1067,<answer>Option (C)</answer>,A,G
ID1068,C,C,C
ID1070,B,B,B
ID1071,B,B,B
ID1072,H,D,A
ID1073,D,D,D
ID1074,D,A,D
ID1075,C,C,C
ID1076,B,B,B
ID1077,D,D,D
ID1079,C,C,C
ID1080,B,B,B
ID1081,D,D,D
ID1082,B,B,B
ID1084,D,D,D
ID1085,D,D,D
ID1087,B,B,B
ID1088,B,B,B
ID1089,B,B,B
ID1090,D,D,D
ID1093,C,C,C
ID1098,A,A,A
ID1099,A,A,A
ID1101,B,B,C
ID1102,B,B,B
ID1108,<answer>Option (E)</answer>,E,E
ID1110,A,A,A
ID1112,A,A,A
ID1113,C,C,C
ID1114,C,C,C
ID1116,D,D,B
ID1117,D,D,C
ID1118,A,A,B
ID1119,B,D,B
ID1121,C,C,C
ID1123,D,D,D
ID1125,J,J,A
ID1127,C,B,C
ID1129,C,C,C
ID1130,A,A,A
ID1131,B,B,D
ID1132,B,B,D
ID1135,B,B,B
ID1137,B,B,B
ID1138,C,A,A
ID1139,B,B,B
ID1140,C,C,C
ID1141,G,G,G
ID1142,D,D,D
ID1146,B,B,B
ID1147,G,G,E
ID1148,B,B,B
ID1149,D,D,D
ID1150,A,A,A
ID1151,<answer>Option (B)</answer>,B,C
ID1152,C,C,C
ID1153,C,D,A
ID1154,D,D,D
ID1155,I,D,C
ID1157,C,C,C
ID1158,C,C,C
ID1160,C,C,B
ID1161,G,G,J
ID1162,B,B,B
ID1163,D,D,D
ID1164,B,B,B
ID1166,B,B,B
ID1167,A,A,A
ID1170,C,C,C
ID1171,B,B,B
ID1172,<answer>Option (F)</answer>,F,F
ID1174,B,D,C
ID1175,D,D,A
ID1176,B,B,B
ID1178,C,C,C
ID1179,C,C,C
ID1180,D,D,D
ID1181,D,D,D
ID1182,B,B,B
ID1183,C,C,C
ID1184,<answer>Option (C)</answer>,C,C
ID1185,C,C,C
ID1187,D,D,D
ID1189,J,B,A
ID1190,<answer>Option (E)</answer>,E,H
ID1193,B,B,B
ID1194,<answer>Option (F)</answer>,D,H
ID1197,A,C,C
ID1198,C,C,C
ID1199,A,A,A
ID1200,C,C,C
ID1201,C,C,C
ID1202,A,A,A
ID1204,C,C,C
ID1206,B,B,B
ID1207,A,A,D
ID1208,<answer>Option (D)</answer>,D,B
ID1209,D,D,D
ID1212,I,I,I
ID1214,B,B,C
ID1215,B,B,B
ID1216,C,B,B
ID1217,D,D,D
ID1218,A,A,A
ID1219,B,B,C
ID1221,D,D,D
ID1223,D,D,D
ID1224,B,B,B
ID1226,<answer>Option (H)</answer>,H,G
ID1227,C,C,C
ID1228,B,B,B
ID1229,A,A,B
ID1230,C,A,B
ID1232,C,C,C
ID1233,C,C,C
ID1234,B,B,B
ID1236,D,D,D
ID1239,D,D,D
ID1240,A,A,A
ID1242,C,C,C
ID1244,C,C,C
ID1245,B,B,B
ID1246,B,A,A
ID1247,B,B,B
ID1248,D,D,D
ID1249,C,C,A
ID1251,<answer>Option (E)</answer>,C,C
ID1252,E,E,G
ID1254,E,E,E
ID1255,B,I,I
ID1256,I,I,D
ID1258,D,D,D
ID1260,C,C,C
ID1261,B,B,B
ID1262,B,B,B
ID1264,C,C,C
ID1266,B,B,C
ID1267,A,A,A
ID1268,D,D,D
ID1269,D,C,C
ID1270,<answer>Option (D)</answer>,I,J
ID1271,D,D,D
ID1272,A,A,A
ID1273,C,C,C
ID1275,B,B,B
ID1276,C,C,C
ID1277,D,D,D
ID1278,C,C,C
ID1279,C,C,C
ID1280,<answer>Option (B)</answer>,B,B
ID1281,B,B,B
ID1284,<answer>Option (H)</answer>,F,H
ID1285,B,B,B
ID1286,C,C,B
ID1287,D,D,D
ID1288,A,B,C
ID1289,C,C,C
ID1290,A,A,A
ID1291,<answer>Option (E)</answer>,E,H
ID1294,E,E,B
ID1296,B,B,B
ID1297,B,B,B
ID1298,H,H,H
ID1299,<answer>Option (E)</answer>,C,E
ID1301,B,B,B
ID1302,D,D,D
ID1303,C,C,C
ID1307,D,D,D
ID1308,B,B,B
ID1309,<answer>Option (E)</answer>,E,D
ID1310,D,D,D
ID1311,<answer>Option (B)</answer>,I,B
ID1312,<answer>Option (H)</answer>,A,F
ID1313,D,C,C
ID1314,B,B,B
ID1315,D,D,D
ID1316,C,C,C
ID1318,C,C,C
ID1320,C,C,C
ID1321,C,C,C
ID1324,J,J,F
ID1328,J,H,H
ID1329,D,D,D
ID1330,B,B,B
ID1331,B,B,B
ID1332,B,B,B
ID1333,<answer>Option (C)</answer>,G,C
ID1334,C,C,C
ID1335,A,A,D
ID1336,C,C,C
ID1337,C,A,A
ID1338,D,D,D
ID1339,D,D,D
ID1340,H,C,C
ID1343,B,B,D
ID1345,C,C,C
ID1346,C,D,C
ID1347,B,B,A
ID1348,C,C,C
ID1349,D,D,D
ID1350,C,C,A
ID1352,D,D,D
ID1353,C,C,C
ID1354,B,B,B
ID1355,A,A,A
ID1356,<answer>Option (C)</answer>,C,F
ID1357,E,E,B
ID1359,C,C,A
ID1360,B,D,D
ID1362,B,B,B
ID1366,B,B,B
ID1368,D,D,D
ID1369,<answer>Option (H)</answer>,H,C
ID1371,D,C,A
ID1373,A,C,C
ID1374,A,A,A
ID1376,B,B,A
ID1377,C,C,C
ID1378,B,B,B
ID1380,C,C,A
ID1381,A,A,B
ID1382,C,C,C
ID1383,A,A,A
ID1384,A,A,A
ID1385,<answer>Option (C)</answer>,A,A
ID1387,C,C,C
ID1388,C,C,C
ID1389,<answer>Option (A)</answer>,B,E
ID1391,D,B,D
ID1392,J,J,J
ID1394,C,C,C
ID1395,J,J,J
ID1396,G,G,J
ID1397,C,C,C
ID1398,C,C,C
ID1399,G,E,E
ID1401,C,B,C
ID1402,C,C,C
ID1403,B,B,B
ID1405,B,B,B
ID1409,<answer>Option (G)</answer>,G,G
ID1411,B,B,B
ID1413,C,C,C
ID1414,I,G,B
ID1416,B,B,B
ID1418,D,D,D
ID1419,B,B,B
ID1421,D,D,D
ID1422,B,B,C
ID1423,<answer>Option (F)</answer>,F,F
ID1425,D,D,D
ID1426,D,D,D
ID1428,A,A,F
ID1429,C,C,C
ID1430,C,C,C
ID1431,B,B,A
ID1432,H,E,E
ID1434,G,J,D
ID1438,D,D,D
ID1439,B,B,B
ID1442,D,D,D
ID1445,A,A,A
ID1446,C,C,C
ID1448,H,H,B
ID1449,<answer>Option (B)</answer>,B,C
ID1450,C,C,C
ID1452,D,B,D
ID1453,A,A,D
ID1454,B,B,B
ID1457,A,A,A
ID1458,C,C,C
ID1459,A,A,A
ID1460,D,D,D
ID1462,<answer>Option (B)</answer>,B,A
ID1463,G,E,G
ID1464,C,C,A
ID1466,D,D,D
ID1467,D,D,D
ID1468,D,D,A
ID1469,C,C,C
ID1474,B,B,B
ID1475,C,C,C
ID1476,C,C,C
ID1477,B,B,B
ID1479,D,D,D
ID1480,D,D,D
ID1481,D,A,C
ID1483,H,H,F
ID1485,A,C,C
ID1486,B,B,B
ID1488,D,D,D
ID1489,A,D,A
ID1490,A,A,A
ID1491,D,D,B
ID1492,F,F,F
ID1494,B,B,B
ID1495,B,B,B
ID1496,A,A,A
ID1500,C,C,C
ID1501,E,E,J
ID1504,<answer>Option (D)</answer>,D,D
ID1505,D,D,D
ID1506,D,D,D
ID1507,C,C,C
ID1508,D,D,D
ID1510,D,A,D
ID1513,D,D,D
ID1514,A,A,A
ID1515,A,A,A
ID1517,B,B,C
ID1518,D,D,D
ID1520,A,A,A
ID1524,C,C,C
ID1525,A,A,A
ID1526,B,B,B
ID1529,B,B,B
ID1530,A,A,D
ID1531,C,C,C
ID1532,B,B,B
ID1533,C,C,D
ID1534,C,C,C
ID1536,A,A,A
ID1538,B,B,B
ID1539,D,D,D
ID1540,B,B,B
ID1541,B,B,B
ID1543,D,D,D
ID1544,C,C,C
ID1545,C,C,C
ID1550,B,B,B
ID1551,C,C,C
ID1552,D,D,D
ID1553,A,A,A
ID1555,C,C,C
ID1557,<answer>Option (I)</answer>,I,I
ID1558,A,A,A
ID1559,E,J,J
ID1560,A,A,D
ID1561,A,A,A
ID1565,A,D,B
ID1566,B,C,B
ID1567,A,A,E
ID1569,D,D,D
ID1570,A,A,A
ID1571,<answer>Option (C)</answer>,C,B
ID1572,F,F,F
ID1573,C,C,C
ID1574,C,C,C
ID1575,C,C,C
ID1578,G,G,H
ID1580,J,J,C
ID1581,D,D,D
ID1582,J,J,F
ID1583,A,A,A
ID1584,A,A,A
ID1585,C,C,C
ID1586,D,D,D
ID1587,B,B,B
ID1588,B,B,D
ID1590,A,D,A
ID1591,<answer>Option (I)</answer>,I,I
ID1593,<answer>Option (E)</answer>,E,J
ID1594,B,B,B
ID1596,C,C,D
ID1599,B,B,B
ID1601,C,C,C
ID1602,B,A,A
ID1605,C,C,C
ID1607,C,C,C
ID1610,B,B,B
ID1612,C,B,C
ID1613,D,D,D
ID1614,<answer>Option (F)</answer>,C,I
ID1617,I,B,D
ID1618,C,B,C
ID1622,D,D,D
ID1625,<answer>Option (C)</answer>,H,H
ID1629,C,C,C
ID1632,C,C,C
ID1633,D,D,D
ID1634,A,A,A
ID1636,B,B,B
ID1637,D,D,D
ID1638,D,D,D
ID1640,D,D,E
ID1641,D,D,D
ID1645,C,D,D
ID1646,C,C,C
ID1650,B,B,B
ID1651,B,B,B
ID1652,A,A,A
ID1653,B,B,B
ID1654,I,G,J
ID1655,B,B,B
ID1656,E,E,E
ID1659,B,B,B
ID1660,C,C,C
ID1662,D,D,D
ID1663,B,B,B
ID1664,D,D,D
ID1666,D,D,D
ID1667,F,F,A
ID1668,B,B,A
ID1671,B,B,B
ID1672,B,C,D
ID1673,<answer>Option (B)</answer>,A,B
ID1674,C,C,C
ID1676,<answer>Option (A)</answer>,E,G
ID1678,C,A,C
ID1679,D,D,D
ID1680,C,C,C
ID1683,C,B,B
ID1684,G,A,G
ID1685,B,B,B
ID1687,H,H,E
ID1688,D,D,D
ID1689,A,B,B
ID1691,F,F,F
ID1692,C,C,C
ID1693,C,C,C
ID1694,I,I,J
ID1695,B,B,B
ID1696,J,J,J
ID1697,B,C,B
ID1698,<answer>Option (B)</answer>,B,B
ID1699,D,D,D
ID1700,C,C,C
ID1701,B,B,B
ID1702,C,C,C
ID1704,C,C,C
ID1706,C,C,C
ID1710,B,B,B
ID1711,C,B,C
ID1712,B,C,C
ID1713,C,C,C
ID1714,B,B,B
ID1715,D,D,D
ID1716,C,C,D
ID1717,<answer>Option (A)</answer>,A,A
ID1718,C,C,C
ID1722,A,A,J
ID1724,G,G,A
ID1725,D,D,D
ID1727,<answer>Option (C)</answer>,C,C
ID1728,C,D,C
ID1732,D,D,D
ID1734,D,D,D
ID1738,A,A,A
ID1741,F,F,F
ID1742,A,G,C
ID1743,<answer>Option (G)</answer>,G,A
ID1744,<answer>Option (A)</answer>,D,A
ID1746,I,I,E
ID1747,A,A,C
ID1749,D,D,D
ID1750,I,H,I
ID1751,<answer>Option (H)</answer>,H,H
ID1755,<answer>Option (E)</answer>,B,B
ID1756,B,B,B
ID1757,<answer>Option (G)</answer>,G,J
ID1758,<answer>Option (G)</answer>,G,F
ID1761,D,B,D
ID1762,B,B,B
ID1765,C,C,C
ID1766,D,D,D
ID1767,<answer>Option (F)</answer>,F,F
ID1768,C,C,C
ID1769,D,D,C
ID1772,D,D,E
ID1773,B,B,B
ID1774,B,B,B
ID1775,<answer>Option (J)</answer>,C,G
ID1776,E,E,B
ID1777,<answer>Option (D)</answer>,D,E
ID1778,C,C,I
ID1779,<answer>Option (A)</answer>,A,D
ID1783,A,A,J
ID1786,D,D,D
ID1787,A,A,A
ID1788,D,D,D
ID1789,<answer>Option (D)</answer>,A,F
ID1790,B,B,B
ID1791,C,C,C
ID1792,C,C,C
ID1793,B,B,B
ID1795,J,J,A
ID1797,D,D,B
ID1798,A,A,A
ID1799,A,A,D
ID1800,A,A,A
