Score,Source,row_index,QA_ID
13.238824781369864,A 55-year-old woman is brought to the emergency department by her husband with a 1 hour history of an unremitting headache.,4,MedBullets df_op4 Q5
85.29255110144389,The patient was born at 39 weeks via vaginal delivery to a G1P1 29-year-old woman.,5,MedBullets df_op4 Q6
78.36219215201318,"His temperature is 99.5°F (37.5°C), blood pressure is 60/38 mmHg, pulse is 150/min, respirations are 24/min, and oxygen saturation is 98% on room air.",5,MedBullets df_op4 Q6
49.70378875732422,The patient has been breastfeeding and producing 5 stools/day.,5,MedBullets df_op4 Q6
48.461681625039446,A cardiopulmonary exam is notable for a benign flow murmur.,5,MedBullets df_op4 Q6
48.15341622469417,A 2-week-old boy is evaluated by his pediatrician for abnormal feet.,5,MedBullets df_op4 Q6
85.3415084571557,The patient’s family history is significant for an older brother with glucose-6-phosphate dehydrogenase (G6PD) deficiency and a maternal uncle with cirrhosis secondary to chronic hepatitis B.,6,MedBullets df_op4 Q7
56.520758108913455,"On physical exam, the patient has scleral icterus and dark urine staining her diaper.",6,MedBullets df_op4 Q7
51.3033954871155,The patient’s mother endorses decreased appetite during the aforementioned illness which has now returned to baseline.,6,MedBullets df_op4 Q7
49.33873329334363,A 1-month-old girl presents to her pediatrician with her mother.,6,MedBullets df_op4 Q7
37.43351254205116,The patient was born at 38 weeks gestation via Caesarean section for cervical incompetence.,6,MedBullets df_op4 Q7
112.20663422440897,"His temperature is 97.1°F (36.2°C), blood pressure is 57/42 mmHg, pulse is 140/min, and respirations are 38/min.",7,MedBullets df_op4 Q8
82.53980045880658,"On physical exam, the patient has a wide nasal bridge, down slanting palpebral fissures, and widely spaced eyes.",7,MedBullets df_op4 Q8
38.830413818359375,The patient’s mother received routine prenatal care and the pregnancy was uncomplicated.,7,MedBullets df_op4 Q8
29.78682064779469,"His height and head circumference are in the 15th and 3rd percentile, respectively.",7,MedBullets df_op4 Q8
28.714320969690466,The patient’s anatomy ultrasound at 20 weeks of gestation was unremarkable.,7,MedBullets df_op4 Q8
84.83339384992986,"The patient states he has experienced these symptoms for a few weeks; however, today his hand felt so weak he dropped his cup of tea.",8,MedBullets df_op4 Q9
79.1717420036589,"His temperature is 99.5°F (37.5°C), blood pressure is 177/108 mmHg, pulse is 90/min, respirations are 17/min, and oxygen saturation is 98% on room air.",8,MedBullets df_op4 Q9
63.233124908076796,He drinks 2-7 alcoholic drinks per day and has smoked 2 packs of cigarettes per day since he was 25.,8,MedBullets df_op4 Q9
47.056322842302876,Physical exam reveals decreased sensation in the right arm and 2/5 strength in the right arm and 5/5 strength in in the left arm.,8,MedBullets df_op4 Q9
30.82243104419528,The patient states that he is experiencing a dull aching and burning pain in his right arm during the exam.,8,MedBullets df_op4 Q9
101.91190814174492,"Laboratory values are ordered as seen below: Serum: Na+: 137 mEq/L Cl-: 105 mEq/L K+: 4.1 mEq/L HCO3-: 24 mEq/L BUN: 22 mg/dL Glucose: 129 mg/dL Creatinine: 1.2 mg/dL Ca2+: 10.1 mg/dL AST: 11 U/L ALT: 12 U/L On physical exam, the patient appears to be in distress.",10,MedBullets df_op4 Q11
98.13179836701059,"His temperature is 99.5°F (37.5°C), blood pressure is 130/87 mmHg, pulse is 120/min, respirations are 15/min, and oxygen saturation is 93% on room air.",10,MedBullets df_op4 Q11
60.78391481538873,"The patient's right lower extremity appears mildly inflamed, and palpation of the calf elicits pain.",10,MedBullets df_op4 Q11
48.85508074943895,Pulmonary exam reveals bilateral air movement without any wheezes or crackles.,10,MedBullets df_op4 Q11
45.443382263183594,"The patient has a medical history of obesity, diabetes, diabetic nephropathy, hypertension, and a 40-pack-year smoking history.",10,MedBullets df_op4 Q11
