actual_question,LLAMA_Answer
"- A 72-year-old man presents to his primary care physician for a general checkup.
- The patient works as a farmer and has no concerns about his health.
- He has a medical history of hypertension and obesity.
- His current medications include lisinopril and metoprolol.
- His temperature is 99.5°F (37.5°C), blood pressure is 177/108 mmHg, pulse is 90/min, respirations are 17/min, and oxygen saturation is 98% on room air.
- Physical exam is notable for a murmur after S2 over the left sternal border.
- The patient demonstrates a stable gait and 5/5 strength in his upper and lower extremities.

Which of the following is another possible finding in this patient?

- A: Audible click heard at the cardiac apex
- B: Femoral artery murmur
- C: Murmur that radiates to the carotids during systole
- D: Wedge pressure lower than expected",Correct answer is B: Femoral artery murmur.  Correct answer is B: Femoral artery murmur.  Correct answer is B:
"- A 15-year-old girl is brought to the clinic because her mother is worried the patient has not yet had her period.
- The patient’s older sister had her first period at age 14.
- The mother had her first period at age 13.
- The patient reports she is doing well in school and is on the varsity basketball team.
- Her medical history is significant for asthma and atopic dermatitis.
- Her medications include albuterol and topical triamcinolone.
- Her temperature is 98°F (36.7°C), blood pressure is 111/72 mmHg, pulse is 65/min, and respirations are 14/min with an oxygen saturation of 99% on room air.
- Her body mass index (BMI) is 19 kg/m^2.
- Physical exam shows absent breast development and external genitalia at Tanner stage 1.
- Serum follicle-stimulating hormone (FSH) level is measured to be 38 mIU/mL.

Which of the following is the most appropriate next diagnostic step?

- A: CYP17 gene work-up
- B: Gonadotrophin-releasing hormone stimulation test
- C: Karotype
- D: Luteinizing hormone levels",Correct answer is C: Karotype.
"- A 37-year-old machinist presents to his primary care physician with eye problems.
- He has felt a mass in his eye that has persisted for the past month.
- The patient has a medical history of blepharitis treated with eye cleansing and squamous cell carcinoma of the skin treated with Mohs surgery.
- His temperature is 99.5°F (37.5°C), blood pressure is 157/102 mmHg, pulse is 90/min, respirations are 17/min, and oxygen saturation is 98% on room air.
- Physical exam is notable for a firm and rubbery nodule palpable inside the patient's left eyelid.
- Physical exam does not elicit any pain.

Which of the following is the most likely diagnosis?

- A: Chalazion
- B: Foreign body
- C: Hordeolum
- D: Meibomian cell carcinoma",Correct answer is A: Chalazion. . . . . . . . . .
"- A 59-year-old man presents to his primary care physician for fatigue.
- In general, he has been in good health; however, he recently has experienced weight loss, abdominal pain, and general fatigue.
- He has a medical history of anxiety, diabetes, a fracture of his foot sustained when he tripped, and a recent cold that caused him to miss work for 1 week.
- His current medications include metformin, insulin, buspirone, vitamin D, calcium, and sodium docusate.
- His temperature is 99.5°F (37.5°C), blood pressure is 150/100 mmHg, pulse is 90/min, respirations are 18/min, and oxygen saturation is 98% on room air.
- Physical exam reveals a calm gentleman.
- A mild systolic murmur is heard in the left upper sternal region.
- The rest of the physical exam is within normal limits.
- Laboratory values are ordered as seen below.

Hemoglobin: 12 g/dL Hematocrit: 36% Leukocyte count: 66,500/mm^3 with normal differential Platelet count: 177,000/mm^3 Leukocyte alkaline phosphatase: elevated Serum: Na+: 139 mEq/L Cl-: 100 mEq/L K+: 4.3 mEq/L BUN: 20 mg/dL Glucose: 120 mg/dL Creatinine: 1.1 mg/dL Ca2+: 10.9 mEq/L AST: 12 U/L ALT: 10 U/L Which of the following is the most likely diagnosis?

- A: Chronic lymphocytic leukemia
- B: Chronic myeloid leukemia
- C: Leukemoid reaction
- D: Multiple myeloma",Correct answer is B: Chronic myeloid leukemia.  Correct answer is C: Leukemoid reaction.  Correct answer is C:
"- A 67-year-old man presents to the emergency room with difficulty speaking for the past 1 hour.
- He was having dinner at home with his wife when he suddenly noticed he had difficulty eating and speaking.
- He also noticed a new-onset weakness on his left side.
- His medical history is significant for type 2 diabetes mellitus, hypertension, and hyperlipidemia.
- His current medications include metformin, atorvastatin, and lisinopril.
- His temperature is 98.6°F (37°C), blood pressure is 130/80 mmHg, pulse is 70/min, and respirations are 15/min.
- On examination, strength is 5/5 in the right upper and lower extremities and 3/5 in the left upper and lower extremities.
- On cranial nerve examination, his tongue deviates to the right side.
- There is also decreased sensation to light touch and vibration on the left side of his body.

Which of the following arteries is most likely involved in this patient’s presentation?

- A: Anterior spinal artery
- B: Lenticulostriate branches of the middle cerebral artery
- C: Pontine perforators of the basilar artery
- D: Posterior inferior cerebellar artery",Correct answer is C: Pontine perforators of the basilar artery.
"- A 15-year-old boy presents to his pediatrician after an appendectomy 1 week ago.
- The patient denies any abdominal pain, fevers, chills, nausea, vomiting, diarrhea, or constipation.
- He eats solids and drinks liquids without difficulty.
- He is back to playing basketball for his school team without any difficulty.
- His urine appears more amber than usual but he suspects dehydration.
- His temperature is 98.6°F (37°C), blood pressure is 110/70 mmHg, pulse is 76/min, and respirations are 15/min.
- His physical exam is unremarkable.
- The laparoscopic incision sites are all clean without erythema.
- The pediatrician orders a urinalysis, which is notable for the following.
- Urine: Epithelial cells: Scant Glucose: Negative Protein: 3+ WBC: 3/hpf Bacteria: None Leukocyte esterase: Negative Nitrites: Negative The patient is told to return in 3 days for a follow-up appointment; however, his urinalysis at that time is similar.

Which of the following is the most appropriate next step in management?

- A: CT scan abdomen and pelvis with contrast
- B: Renal biopsy
- C: Repeat urinalysis
- D: Urine dipstick in the morning and in the afternoon",Correct answer is D: Urine dipstick in the morning and in the afternoon. . .........
"- A 37-year-old man presents to the emergency department for a persistent fever.
- The patient has felt unwell for the past week and has felt subjectively febrile.
- The patient has a medical history of a suicide attempt and alcohol abuse.
- He is not currently taking any medications.
- The patient admits to using heroin and cocaine and drinking 5-8 alcoholic drinks per day.
- His temperature is 103°F (39.4°C), blood pressure is 92/59 mmHg, pulse is 110/min, respirations are 20/min, and oxygen saturation is 96% on room air.
- Cardiopulmonary exam is notable for a systolic murmur heard best along the left sternal border.
- Dermatologic exam reveals scarring in the antecubital fossa.
- IV fluids are administered and the blood pressure is subsequently 120/70 mmHg.

Which of the following is the most appropriate next step in management for the most likely underlying diagnosis?

- A: Blood cultures
- B: CT scan
- C: Ultrasound
- D: Vancomycin and gentamicin",Correct answer is D: Vancomycin and gentamicin.  (Note: This response is based on the assumption that the underlying diagnosis is
"- A 27-year-old man presents to his primary care physician for a checkup.
- He has no health concerns and has not seen a physician in years.
- The patient has a medical history of depression treated with fluoxetine and lithium.
- His temperature is 99.5°F (37.5°C), blood pressure is 122/78 mmHg, pulse is 90/min, respirations are 13/min, and oxygen saturation is 98% on room air.
- Physical exam is notable for the finding in Figure A.

Which of the following represents the most likely risk factor for this patient's presenting condition?

- A: Alcohol consumption
- B: Antibiotic use
- C: Intravenous drug use
- D: Sexual intercourse","Correct answer is C: Intravenous drug use.  Incorrect - the figure is not provided. However, based on the information given, the patient"
"- A 32-year-old man presents to the emergency department for evaluation of headache.
- His symptoms started last night and have persisted.
- He occasionally has migraine headaches, but he has not had a headache like this in the past.
- He reports associated nausea, vomiting, fevers, and neck pain.
- He has a medical history of asthma.
- His temperature is 100.4°F (38.0°C), blood pressure is 110/60 mmHg, pulse is 95/min, respirations are 17/min, and oxygen saturation is 98% on room air.
- On physical exam, he appears uncomfortable.
- Neurologic exam reveals no focal deficits.
- There is pain with passive neck flexion.
- No edema or rashes are noted.
- Lungs are clear to auscultation bilaterally.
- Lumbar puncture is performed and CSF results are obtained as shown below.

Cerebrospinal fluid (CSF): Cell count: 175/mm^3 RBCs: 0/mm^3 Cl-: 119 mEq/L Glucose: 49 mg/dL Pressure: 150 mmH2O Total protein: 55 mg/dL Based on these results, which of the following is the most appropriate treatment regimen for this patient?

- A: Acyclovir
- B: Ceftriaxone and vancomycin
- C: Ceftriaxone, vancomycin and steroids
- D: Supportive care and monitoring","Correct answer is C: Ceftriaxone, vancomycin and steroids.  Please provide your feedback."
"- A 23-year-old woman presents to her psychiatrist concerned about her mood.
- She has felt tired and unwilling to engage in any activities lately.
- She states that her limbs feel heavy all the time and that completing any activity takes tremendous effort.
- She no longer finds any happiness in activities that she previously enjoyed.
- She struggles to sleep and at times can't sleep for several days.
- The patient is started on appropriate first-line therapy and sent home.
- She returns 1 week later stating that her symptoms have not improved.
- She is requesting help as her performance at work and school is suffering.
- Her temperature is 99.5°F (37.5°C), blood pressure is 115/72 mmHg, pulse is 60/min, respirations are 13/min, and oxygen saturation is 98% on room air.

Which of the following is the most appropriate next step in management?

- A: Add lithium to treatment regimen
- B: Change treatment to duloxetine
- C: Change treatment to lithium
- D: Continue current therapy",Correct answer is D: Continue current therapy.  There is not enough information provided to justify a change in treatment. The patient has only been on
"- A 23-year-old man presents to the emergency department for altered mental status after a finishing a marathon.
- He has a medical history of obesity and anxiety and is not currently taking any medications.
- His temperature is 104°F (40°C), blood pressure is 147/88 mmHg, pulse is 200/min, respirations are 33/min, and oxygen saturation is 99% on room air.
- Physical exam reveals dry mucous membranes, hot flushed skin, and inappropriate responses to the physician's questions.
- Laboratory values are ordered as seen below.

Hemoglobin: 15 g/dL Hematocrit: 44% Leukocyte count: 8,500/mm^3 with normal differential Platelet count: 199,000/mm^3 Serum: Na+: 165 mEq/L Cl-: 110 mEq/L K+: 4.0 mEq/L HCO3-: 20 mEq/L BUN: 30 mg/dL Glucose: 133 mg/dL Creatinine: 1.5 mg/dL Ca2+: 10.2 mg/dL AST: 12 U/L ALT: 10 U/L Which of the following is the most appropriate next step in management?

- A: Dextrose solution
- B: Hypotonic saline
- C: Lactated ringer
- D: Normal saline",Correct answer is D: Normal saline. . . . . . . . . . .
"- A 51-year-old man presents to his primary care provider for intermittent shaking of his hands.
- For the last several years he has noticed this ""shaking"" when he brushes his teeth and prepares a cup of coffee in the morning.
- The shaking then gradually improves over the course of the day.
- His medical history is otherwise notable for hypertension and hyperlipidemia.
- His only home medication is pravastatin.
- The patient smokes half a pack per day of cigarettes and drinks 2-3 beers throughout the day.
- His family history is significant for Parkinson disease in his father.
- On physical exam, his temperature is 98.6°F (37.0°C), blood pressure is 159/84, pulse is 74/min, and respirations are 12/min.
- He has a high-frequency bilateral hand tremor elicited on finger-to-nose testing.
- His neurological exam is otherwise unremarkable.

Which of the following medications should this patient be started on?

- A: Alprazolam
- B: Primidone
- C: Propranolol
- D: Topiramate",Correct answer is B: Primidone.  A 51-year-old man presents to his primary care provider for intermittent shaking of his hands.
"- A 29-year-old woman comes to the emergency department complaining of painful genital ulcers that have been present for 4 days as well as low-grade fever and malaise.
- She denies any recent travel, new sexual partners, or antibiotic use.
- Physical examination reveals multiple clustered vesicles and shallow ulcers in the vulvar region.
- A Tzanck smear shows multinucleated giant cells.

Which of the following medications is most appropriate for treating her condition?

- A: Acyclovir
- B: Amoxicillin
- C: Fluconazole
- D: Trimethoprim-sulfamethoxazole",Correct answer is A: Acyclovir.
"- An 8-year-old boy is brought to the emergency department by his parents for evaluation.
- He has had headache and fever for the last 2 days, and this morning he was confused and had difficulty answering questions.
- He also developed a rash this morning.
- He recently returned from summer camp.
- He has no significant medical history and takes no medications.
- His temperature is 104°F (40°C), pulse is 120/min, blood pressure is 105/60 mmHg, and respirations are 22/min.
- On exam, flexion of the neck causes flexion of the hips and knees.
- Fundoscopic exam reveals no papilledema.
- Examination of the patient's rash is shown in Figure A.

Which of the following is the most appropriate next step in management?

- A: Lumbar puncture, ceftriaxone, vancomycin, and methylprednisolone
- B: MRI brain
- C: Vancomycin and ceftriaxone
- D: Vancomycin, ceftriaxone, and dexamethasone",Unable to extract answer
"- A 72-year-old man presents to his primary care physician with weakness.
- He has felt very weak every morning with his symptoms persisting throughout the day.
- He notes minor improvement when he rides his bike but otherwise has not noticed any change in his symptoms with rest or ibuprofen use.
- The patient has lost 12 pounds recently and has had a chronic cough.
- The patient lives alone and drinks 7 alcoholic beverages per day and smokes 1-2 packs of cigarettes per day for the past 40 years.
- His temperature is 99.5°F (37.5°C), blood pressure is 177/108 mmHg, pulse is 93/min, respirations are 17/min, and oxygen saturation is 92% on room air.
- A chest radiograph is ordered as seen in Figure A.

Which of the following diagnostic tests would most likely elucidate the cause of this patient's weakness?

- A: CT scan of the chest
- B: Electromyography
- C: Lung biopsy
- D: Muscle biopsy",Correct answer is D: Muscle biopsy.  Correct answer is D: Muscle biopsy.  Correct answer is D: Muscle biopsy.  Correct answer
"- A 10-year-old girl is admitted to the medical floor for a respiratory infection.
- The patient lives in a foster home and has been admitted many times.
- Since birth, the patient has had repeated episodes of pain/pressure over her frontal sinuses and a chronic cough that produces mucus.
- She was recently treated with amoxicillin for an infection.
- The patient is in the 25th percentile for height and weight which has been constant since birth.
- Her guardians state that the patient has normal bowel movements and has been gaining weight appropriately.
- The patient has a history of tricuspid stenosis.
- She also recently had magnetic resonance imaging (MRI) of her chest which demonstrated dilation of her airways.
- Her temperature is 99.5°F (37.5°C), blood pressure is 90/58 mmHg, pulse is 120/min, respirations are 18/min, and oxygen saturation is 94% on room air.
- Physical exam is notable for bruises along the patient's shins which the guardians state are from playing soccer.
- The rest of the exam is deferred because the patient starts crying.

Which of the following findings is associated with this patient's most likely underlying diagnosis?

- A: Diastolic murmur best heard along the right lower sternal border
- B: Hypocalcemia
- C: Increased chloride in the patient's sweat
- D: Repeat sinus infections secondary to seasonal allergies",Correct answer is C: Increased chloride in the patient's sweat.
