ID,src,lab5,lab4,sent_idx,h5,h4
ID0357,medxpert,L,L,1,False,False
ID0359,medxpert,H,I,1,True,False
ID0360,mmlu,H,H,1,True,True
ID0362,jama,L,H,1,False,True
ID0363,medbullets,H,H,1,True,True
ID0364,jama,H,H,1,True,True
ID0365,jama,H,H,1,True,True
ID0366,jama,H,L,1,True,False
ID0367,medxpert,L,L,1,False,False
ID0368,jama,L,H,1,False,True
ID0371,medxpert,H,L,1,True,False
ID0373,jama,H,H,1,True,True
ID0376,medxpert,H,L,1,True,False
ID0377,jama,H,L,1,True,False
ID0379,medxpert,H,L,1,True,False
ID0382,medbullets,H,L,1,True,False
ID0385,medxpert,H,H,1,True,True
ID0387,jama,H,H,1,True,True
ID0388,medxpert,L,L,1,False,False
ID0389,jama,L,L,1,False,False
ID0391,medxpert,H,H,1,True,True
ID0393,jama,H,L,1,True,False
ID0395,jama,H,L,1,True,False
ID0396,medbullets,H,H,1,True,True
ID0397,medxpert,H,H,1,True,True
ID0399,jama,H,L,1,True,False
ID0400,jama,L,L,1,False,False
ID0402,jama,H,L,1,True,False
ID0403,medbullets,L,L,1,False,False
ID0404,jama,H,H,1,True,True
ID0405,jama,L,L,1,False,False
ID0406,mmlu,H,H,1,True,True
ID0407,medxpert,H,L,1,True,False
ID0409,mmlu,H,L,1,True,False
ID0412,jama,L,L,1,False,False
ID0415,jama,H,H,1,True,True
ID0416,medxpert,L,L,1,False,False
ID0417,jama,H,L,1,True,False
ID0418,jama,L,L,1,False,False
ID0421,jama,H,H,1,True,True
ID0422,jama,L,L,1,False,False
ID0425,medxpert,H,H,1,True,True
ID0428,mmlu,H,H,1,True,True
ID0429,mmlu,L,L,1,False,False
ID0431,jama,L,L,1,False,False
ID0433,medxpert,H,H,1,True,True
ID0435,medxpert,H,L,1,True,False
ID0437,mmlu,L,L,1,False,False
ID0438,medbullets,H,L,1,True,False
ID0440,medxpert,H,L,1,True,False
ID0442,jama,L,L,1,False,False
ID0444,jama,H,H,1,True,True
ID0446,jama,H,H,1,True,True
ID0447,medbullets,H,H,1,True,True
ID0449,jama,L,L,1,False,False
ID0451,jama,L,L,1,False,False
ID0453,jama,H,L,1,True,False
ID0455,medxpert,H,H,1,True,True
ID0458,medxpert,H,H,1,True,True
ID0459,medxpert,L,L,1,False,False
ID0460,jama,H,H,1,True,True
ID0461,jama,L,H,1,False,True
ID0462,jama,H,H,1,True,True
ID0463,jama,L,H,1,False,True
ID0465,jama,H,H,1,True,True
ID0466,jama,L,H,1,False,True
ID0467,jama,L,H,1,False,True
ID0468,medbullets,H,H,1,True,True
ID0469,jama,H,H,1,True,True
ID0470,medbullets,H,L,1,True,False
ID0471,jama,H,H,1,True,True
ID0472,jama,H,L,1,True,False
ID0473,medbullets,H,H,1,True,True
ID0476,jama,H,L,1,True,False
ID0477,jama,H,L,1,True,False
ID0478,jama,L,L,1,False,False
ID0479,jama,L,H,1,False,True
ID0483,jama,H,H,1,True,True
ID0484,jama,H,H,1,True,True
ID0487,jama,L,L,1,False,False
ID0488,jama,H,H,1,True,True
ID0490,jama,H,H,1,True,True
ID0491,medxpert,H,H,1,True,True
ID0492,jama,H,L,1,True,False
ID0494,jama,L,H,1,False,True
ID0495,medbullets,H,H,1,True,True
ID0496,medbullets,H,H,1,True,True
ID0498,jama,L,L,1,False,False
ID0500,jama,L,L,1,False,False
ID0502,jama,L,H,1,False,True
ID0503,medbullets,H,H,1,True,True
ID0504,medxpert,H,H,1,True,True
ID0506,medxpert,H,H,1,True,True
ID0508,jama,H,L,1,True,False
ID0509,medxpert,H,H,1,True,True
ID0510,mmlu,H,H,1,True,True
ID0511,jama,H,H,1,True,True
ID0513,jama,L,H,1,False,True
ID0514,medxpert,L,L,1,False,False
ID0517,medbullets,H,H,1,True,True
ID0519,medxpert,H,L,1,True,False
ID0520,mmlu,H,H,1,True,True
ID0521,medxpert,H,H,1,True,True
ID0522,jama,L,L,1,False,False
ID0523,medxpert,L,H,1,False,True
ID0524,jama,H,L,1,True,False
ID0525,jama,H,H,1,True,True
ID0526,medbullets,H,L,1,True,False
ID0528,jama,L,H,1,False,True
ID0529,medbullets,H,L,1,True,False
ID0532,medxpert,L,L,1,False,False
ID0533,jama,H,H,1,True,True
ID0534,jama,L,H,1,False,True
ID0535,medbullets,H,H,1,True,True
ID0536,medxpert,L,L,1,False,False
ID0539,jama,H,H,1,True,True
ID0541,jama,H,H,1,True,True
ID0542,mmlu,L,L,1,False,False
ID0543,mmlu,H,H,1,True,True
ID0546,medbullets,H,L,1,True,False
ID0551,jama,L,L,1,False,False
ID0552,jama,L,L,1,False,False
ID0553,jama,H,H,1,True,True
ID0554,mmlu,L,L,1,False,False
ID0555,jama,H,H,1,True,True
ID0559,jama,L,L,1,False,False
ID0561,jama,H,H,1,True,True
ID0564,medbullets,H,H,1,True,True
ID0566,mmlu,H,L,1,True,False
ID0567,medxpert,H,H,1,True,True
ID0568,medbullets,H,H,1,True,True
ID0569,mmlu,L,L,1,False,False
ID0572,medxpert,H,H,1,True,True
ID0574,medxpert,L,L,1,False,False
ID0575,jama,H,L,1,True,False
ID0576,mmlu,H,L,1,True,False
ID0577,jama,L,L,1,False,False
ID0578,mmlu,H,H,1,True,True
ID0581,medxpert,H,H,1,True,True
ID0584,jama,L,L,1,False,False
ID0585,medbullets,H,H,1,True,True
ID0586,jama,H,L,1,True,False
ID0587,medxpert,H,L,1,True,False
ID0589,jama,L,L,1,False,False
ID0590,jama,H,L,1,True,False
ID0591,medxpert,H,H,1,True,True
ID0592,jama,H,H,1,True,True
ID0594,medxpert,L,L,1,False,False
ID0595,medxpert,H,H,1,True,True
ID0596,jama,L,L,1,False,False
ID0598,medxpert,H,H,1,True,True
ID0599,medbullets,L,H,1,False,True
ID0600,medbullets,L,H,1,False,True
ID0601,medbullets,H,H,1,True,True
ID0602,jama,H,L,1,True,False
ID0603,jama,H,H,1,True,True
ID0604,mmlu,L,L,1,False,False
ID0605,medxpert,H,L,1,True,False
ID0607,mmlu,H,H,1,True,True
ID0609,jama,H,H,1,True,True
ID0613,medbullets,H,H,1,True,True
ID0614,medxpert,H,H,1,True,True
ID0617,mmlu,H,H,1,True,True
ID0618,mmlu,H,H,1,True,True
ID0619,medbullets,H,L,1,True,False
ID0621,medxpert,H,L,1,True,False
ID0622,mmlu,H,H,1,True,True
ID0623,medbullets,L,I,1,False,False
ID0625,medxpert,L,L,1,False,False
ID0626,medxpert,H,H,1,True,True
ID0627,medxpert,H,H,1,True,True
ID0628,mmlu,L,L,1,False,False
ID0629,jama,H,H,1,True,True
ID0631,jama,H,H,1,True,True
ID0633,jama,H,H,1,True,True
ID0634,mmlu,L,L,1,False,False
ID0635,jama,H,H,1,True,True
ID0636,jama,H,H,1,True,True
ID0639,jama,H,H,1,True,True
ID0641,medxpert,H,H,1,True,True
ID0642,jama,H,L,1,True,False
ID0643,jama,L,L,1,False,False
ID0647,jama,H,H,1,True,True
ID0648,jama,H,L,1,True,False
ID0651,medxpert,L,L,1,False,False
ID0652,mmlu,L,L,1,False,False
ID0653,mmlu,H,L,1,True,False
ID0654,mmlu,L,L,1,False,False
ID0655,medxpert,H,H,1,True,True
ID0656,jama,L,L,1,False,False
ID0658,medxpert,L,I,1,False,False
ID0659,jama,H,L,1,True,False
ID0660,jama,H,H,1,True,True
ID0661,jama,H,L,1,True,False
ID0662,medbullets,I,L,1,False,False
ID0664,jama,H,L,1,True,False
ID0665,mmlu,H,L,1,True,False
ID0668,medxpert,H,L,1,True,False
ID0669,jama,H,L,1,True,False
ID0670,jama,L,L,1,False,False
ID0671,jama,H,H,1,True,True
ID0672,medxpert,H,L,1,True,False
ID0673,medbullets,H,H,1,True,True
ID0675,jama,H,L,1,True,False
ID0676,jama,L,L,1,False,False
ID0679,medbullets,H,H,1,True,True
ID0682,mmlu,H,L,1,True,False
ID0683,jama,L,H,1,False,True
ID0684,medxpert,L,L,1,False,False
ID0691,jama,H,H,1,True,True
ID0692,jama,H,L,1,True,False
ID0693,medbullets,L,L,1,False,False
ID0695,mmlu,H,H,1,True,True
ID0696,medxpert,H,L,1,True,False
ID0697,jama,H,L,1,True,False
ID0698,medxpert,L,L,1,False,False
ID0699,jama,H,H,1,True,True
ID0700,jama,H,H,1,True,True
ID0701,medxpert,L,L,1,False,False
ID0702,medxpert,L,L,1,False,False
ID0703,jama,H,H,1,True,True
ID0708,jama,H,H,1,True,True
ID0709,jama,H,H,1,True,True
ID0710,jama,L,L,1,False,False
ID0711,medbullets,L,L,1,False,False
ID0712,mmlu,H,L,1,True,False
ID0713,medbullets,L,H,1,False,True
ID0715,medbullets,L,I,1,False,False
ID0716,jama,H,H,1,True,True
ID0717,medxpert,I,I,1,False,False
ID0718,jama,H,H,1,True,True
ID0719,jama,H,H,1,True,True
ID0721,jama,H,H,1,True,True
ID0723,jama,H,H,1,True,True
ID0726,jama,H,H,1,True,True
ID0728,medbullets,H,H,1,True,True
ID0731,jama,H,H,1,True,True
ID0733,jama,H,L,1,True,False
ID0734,jama,H,H,1,True,True
ID0735,mmlu,L,L,1,False,False
ID0737,medxpert,H,H,1,True,True
ID0739,jama,H,H,1,True,True
ID0740,jama,H,H,1,True,True
ID0743,jama,H,H,1,True,True
ID0744,jama,H,H,1,True,True
ID0745,jama,H,L,1,True,False
ID0746,jama,H,L,1,True,False
ID0747,jama,H,H,1,True,True
ID0752,mmlu,H,H,1,True,True
ID0753,medxpert,H,H,1,True,True
ID0754,jama,H,H,1,True,True
ID0756,jama,L,L,1,False,False
ID0757,mmlu,H,L,1,True,False
ID0758,medxpert,H,H,1,True,True
ID0759,medbullets,L,L,1,False,False
ID0761,medxpert,H,H,1,True,True
ID0762,jama,L,L,1,False,False
ID0764,medxpert,H,L,1,True,False
ID0765,medxpert,L,L,1,False,False
ID0766,mmlu,H,H,1,True,True
ID0769,jama,L,L,1,False,False
ID0770,medxpert,L,L,1,False,False
ID0773,mmlu,H,H,1,True,True
ID0775,jama,I,I,1,False,False
ID0776,jama,H,H,1,True,True
ID0777,medxpert,L,L,1,False,False
ID0778,medxpert,L,L,1,False,False
ID0779,jama,H,H,1,True,True
ID0780,jama,L,L,1,False,False
ID0781,jama,H,H,1,True,True
ID0782,jama,L,L,1,False,False
ID0783,jama,H,H,1,True,True
ID0784,medbullets,L,L,1,False,False
ID0785,jama,H,L,1,True,False
ID0786,medxpert,H,L,1,True,False
ID0788,medbullets,H,H,1,True,True
ID0789,mmlu,H,H,1,True,True
ID0790,medbullets,H,H,1,True,True
ID0792,medxpert,H,L,1,True,False
ID0796,medbullets,H,H,1,True,True
ID0797,jama,H,H,1,True,True
ID0798,medxpert,L,L,1,False,False
ID0799,mmlu,L,I,1,False,False
ID0800,jama,L,H,1,False,True
ID0801,medbullets,L,L,1,False,False
ID0802,mmlu,H,L,1,True,False
ID0803,jama,H,H,1,True,True
ID0805,medxpert,L,I,1,False,False
ID0809,jama,H,L,1,True,False
ID0810,medbullets,H,L,1,True,False
ID0811,medxpert,L,L,1,False,False
ID0813,medxpert,H,H,1,True,True
ID0814,jama,L,L,1,False,False
ID0815,medxpert,H,H,1,True,True
ID0816,medxpert,H,H,1,True,True
ID0819,mmlu,H,L,1,True,False
ID0821,medxpert,L,L,1,False,False
ID0824,medbullets,L,L,1,False,False
ID0825,medbullets,H,H,1,True,True
ID0826,jama,H,H,1,True,True
ID0827,medxpert,L,H,1,False,True
ID0828,medxpert,L,L,1,False,False
ID0830,medbullets,H,H,1,True,True
ID0831,medxpert,H,H,1,True,True
ID0832,jama,H,H,1,True,True
ID0833,medbullets,H,L,1,True,False
ID0834,jama,L,H,1,False,True
ID0835,medbullets,L,L,1,False,False
ID0836,medbullets,L,L,1,False,False
ID0837,jama,H,H,1,True,True
ID0840,mmlu,H,H,1,True,True
ID0841,medbullets,L,L,1,False,False
ID0842,medbullets,H,H,1,True,True
ID0843,medxpert,H,H,1,True,True
ID0844,medbullets,H,H,1,True,True
ID0845,medbullets,H,H,1,True,True
ID0846,jama,H,H,1,True,True
ID0847,jama,L,H,1,False,True
ID0850,jama,H,H,1,True,True
ID0851,mmlu,L,L,1,False,False
ID0852,medbullets,L,L,1,False,False
ID0853,medbullets,L,H,1,False,True
ID0854,jama,H,H,1,True,True
ID0855,jama,H,H,1,True,True
ID0856,medxpert,H,H,1,True,True
ID0858,jama,H,H,1,True,True
ID0859,jama,H,H,1,True,True
ID0860,medxpert,H,L,1,True,False
ID0861,medbullets,H,H,1,True,True
ID0862,jama,H,H,1,True,True
ID0864,mmlu,H,H,1,True,True
ID0866,jama,H,H,1,True,True
ID0867,jama,H,H,1,True,True
ID0869,jama,L,L,1,False,False
ID0870,medxpert,H,L,1,True,False
ID0871,jama,L,H,1,False,True
ID0872,medxpert,H,H,1,True,True
ID0876,jama,L,H,1,False,True
ID0878,jama,H,H,1,True,True
ID0879,jama,H,H,1,True,True
ID0880,medxpert,L,L,1,False,False
ID0883,medxpert,H,H,1,True,True
ID0884,mmlu,H,H,1,True,True
ID0885,medbullets,L,L,1,False,False
ID0887,medbullets,H,H,1,True,True
ID0889,jama,L,L,1,False,False
ID0893,medbullets,H,L,1,True,False
ID0894,jama,H,H,1,True,True
ID0895,jama,H,H,1,True,True
ID0899,jama,H,H,1,True,True
ID0900,jama,H,H,1,True,True
ID0901,medbullets,H,H,1,True,True
ID0902,medxpert,L,L,1,False,False
ID0904,jama,H,H,1,True,True
ID0907,medxpert,H,L,1,True,False
ID0908,jama,H,H,1,True,True
ID0909,mmlu,H,H,1,True,True
ID0910,mmlu,H,L,1,True,False
ID0911,mmlu,L,I,1,False,False
ID0912,medxpert,L,L,1,False,False
ID0915,jama,L,L,1,False,False
ID0916,jama,L,H,1,False,True
ID0918,mmlu,L,H,1,False,True
ID0919,medxpert,H,L,1,True,False
ID0922,medxpert,L,L,1,False,False
ID0923,medbullets,H,H,1,True,True
ID0924,medbullets,H,L,1,True,False
ID0925,jama,H,H,1,True,True
ID0926,medxpert,L,L,1,False,False
ID0927,jama,H,H,1,True,True
ID0928,medbullets,L,L,1,False,False
ID0934,medxpert,H,L,1,True,False
ID0935,jama,L,L,1,False,False
ID0937,jama,H,L,1,True,False
ID0939,jama,L,L,1,False,False
ID0941,medxpert,H,L,1,True,False
ID0942,medxpert,H,H,1,True,True
ID0944,mmlu,H,L,1,True,False
ID0948,medxpert,L,L,1,False,False
ID0949,medbullets,H,H,1,True,True
ID0951,mmlu,L,I,1,False,False
ID0953,mmlu,H,H,1,True,True
ID0954,jama,H,H,1,True,True
ID0957,medxpert,H,L,1,True,False
ID0961,jama,H,H,1,True,True
ID0962,jama,H,H,1,True,True
ID0963,mmlu,L,H,1,False,True
ID0965,medxpert,L,L,1,False,False
ID0967,medbullets,H,H,1,True,True
ID0968,jama,L,H,1,False,True
ID0969,jama,H,H,1,True,True
ID0970,medbullets,H,H,1,True,True
ID0972,medxpert,L,L,1,False,False
ID0973,jama,L,L,1,False,False
ID0974,medbullets,H,H,1,True,True
ID0976,jama,H,L,1,True,False
ID0977,jama,H,L,1,True,False
ID0979,medxpert,L,L,1,False,False
ID0981,jama,H,H,1,True,True
ID0982,jama,H,H,1,True,True
ID0987,medbullets,L,L,1,False,False
ID0990,jama,H,H,1,True,True
ID0991,jama,L,H,1,False,True
ID0992,medxpert,L,L,1,False,False
ID0993,jama,H,H,1,True,True
ID0994,medxpert,H,H,1,True,True
ID0996,jama,L,H,1,False,True
ID0998,jama,H,H,1,True,True
ID0999,mmlu,H,H,1,True,True
ID1001,jama,H,H,1,True,True
ID1002,jama,H,H,1,True,True
ID1005,jama,H,H,1,True,True
ID1006,jama,L,L,1,False,False
ID1009,medxpert,H,H,1,True,True
ID1011,jama,L,L,1,False,False
ID1013,mmlu,H,H,1,True,True
ID1014,jama,L,L,1,False,False
ID1015,jama,L,L,1,False,False
ID1016,jama,H,L,1,True,False
ID1017,jama,H,H,1,True,True
ID1019,jama,L,H,1,False,True
ID1020,jama,H,L,1,True,False
ID1021,jama,L,L,1,False,False
ID1022,jama,H,L,1,True,False
ID1024,medbullets,L,L,1,False,False
ID1025,mmlu,H,L,1,True,False
ID1026,medxpert,H,L,1,True,False
ID1028,medbullets,H,H,1,True,True
ID1029,medxpert,H,H,1,True,True
ID1031,medxpert,L,H,1,False,True
ID1032,jama,L,L,1,False,False
ID1035,jama,H,H,1,True,True
ID1037,jama,H,H,1,True,True
ID1038,jama,L,L,1,False,False
ID1040,jama,L,L,1,False,False
ID1044,mmlu,H,L,1,True,False
ID1047,jama,H,H,1,True,True
ID1048,jama,H,H,1,True,True
ID1049,jama,H,L,1,True,False
ID1051,medbullets,L,H,1,False,True
ID1055,medxpert,H,H,1,True,True
ID1058,medxpert,H,H,1,True,True
ID1059,mmlu,L,L,1,False,False
ID1060,jama,H,H,1,True,True
ID1062,medxpert,H,H,1,True,True
ID1063,mmlu,L,L,1,False,False
ID1064,mmlu,L,L,1,False,False
ID1065,medxpert,H,H,1,True,True
ID1066,medxpert,H,H,1,True,True
ID1067,medxpert,H,L,1,True,False
ID1068,jama,L,H,1,False,True
ID1070,jama,H,H,1,True,True
ID1071,jama,H,L,1,True,False
ID1072,medxpert,H,H,1,True,True
ID1073,jama,H,H,1,True,True
ID1074,medxpert,H,H,1,True,True
ID1075,jama,L,L,1,False,False
ID1076,jama,H,L,1,True,False
ID1077,jama,H,H,1,True,True
ID1079,jama,H,H,1,True,True
ID1080,jama,H,H,1,True,True
ID1081,medbullets,L,L,1,False,False
ID1082,mmlu,H,H,1,True,True
ID1084,jama,H,H,1,True,True
ID1085,medxpert,L,H,1,False,True
ID1087,jama,H,H,1,True,True
ID1088,mmlu,L,L,1,False,False
ID1089,jama,H,L,1,True,False
ID1090,jama,H,H,1,True,True
ID1093,medbullets,L,L,1,False,False
ID1098,jama,L,L,1,False,False
ID1099,jama,H,H,1,True,True
ID1101,jama,H,H,1,True,True
ID1102,medxpert,H,L,1,True,False
ID1108,medxpert,H,L,1,True,False
ID1110,jama,H,L,1,True,False
ID1112,mmlu,H,H,1,True,True
ID1113,jama,H,H,1,True,True
ID1114,mmlu,L,L,1,False,False
ID1116,medbullets,H,L,1,True,False
ID1117,medxpert,H,H,1,True,True
ID1118,jama,L,L,1,False,False
ID1119,jama,H,H,1,True,True
ID1121,jama,H,H,1,True,True
ID1123,jama,L,L,1,False,False
ID1125,medxpert,L,L,1,False,False
ID1127,jama,L,H,1,False,True
ID1129,medbullets,H,H,1,True,True
ID1130,medbullets,H,H,1,True,True
ID1131,jama,H,H,1,True,True
ID1132,jama,H,H,1,True,True
ID1135,jama,H,L,1,True,False
ID1137,medbullets,L,L,1,False,False
ID1138,jama,H,L,1,True,False
ID1139,jama,H,H,1,True,True
ID1140,jama,H,H,1,True,True
ID1141,medxpert,H,H,1,True,True
ID1142,medbullets,H,L,1,True,False
ID1146,jama,H,H,1,True,True
ID1147,medxpert,H,H,1,True,True
ID1148,jama,H,H,1,True,True
ID1149,jama,H,L,1,True,False
ID1150,jama,H,L,1,True,False
ID1151,medxpert,H,H,1,True,True
ID1152,mmlu,H,L,1,True,False
ID1153,medbullets,L,L,1,False,False
ID1154,medxpert,L,L,1,False,False
ID1155,medxpert,L,L,1,False,False
ID1157,medbullets,H,L,1,True,False
ID1158,medbullets,H,H,1,True,True
ID1160,jama,H,L,1,True,False
ID1161,medxpert,L,L,1,False,False
ID1162,jama,H,H,1,True,True
ID1163,mmlu,L,L,1,False,False
ID1166,jama,L,H,1,False,True
ID1167,jama,H,H,1,True,True
ID1170,jama,L,L,1,False,False
