Unnamed: 0_original,ID_corr,centaur_question_corr_original,answer_corr_original,data_source_corr_original,majority_vote_original,run1_response_original,run2_response_original,run3_response_original,question_options_original,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15,label_16,label_17,label_18,label_19,label_20,label_21,Unnamed: 0_physician,centaur_question_corr_physician,answer_corr_physician,data_source_corr_physician,majority_vote_physician,run1_response_physician,run2_response_physician,run3_response_physician,num_responses,question_options_physician,majority_vote_original_letter,majority_vote_physician_letter,answer_letter,correct_round1,correct_round2
513,ID0815,"1. A 28-year-old nulliparous woman presents with amenorrhea for 2 months following discontinuation of oral contraceptive pills.  
2. She had her menarche at age 13 and maintained regular 28-30 day menstrual cycles until starting oral contraceptives at age 24.  
3. She stopped contraception 2 months ago while trying to conceive.  
4. Multiple home pregnancy tests have been negative.  
5. The patient denies any history of STIs, vaginal bleeding, discharge, spotting, or vasomotor symptoms.  
6. Physical examination reveals a BMI of 26 (height 165 cm, weight 72 kg) and facial acne.  
7. There is no evidence of acanthosis nigricans, skin tags, galactorrhea, or hirsutism.  
8. The remainder of her examination is unremarkable.  
9. An in-office qualitative urine pregnancy test is negative.",I,medxpert,I,I,I,B,"What is the most appropriate next step in evaluating this patient's condition?

A. Begin clomiphene citrate therapy  
B. Measure her serum human chorionic gonadotropin level  
C. Measure serum testosterone and DHEA-S levels  
D. Perform transvaginal ultrasound to evaluate ovarian structure  
E. Perform endometrial biopsy  
F. Order pelvic MRI to evaluate hypothalamic-pituitary anatomy  
G. Order thyroid function tests and prolactin level  
H. Measure her follicle-stimulating hormone and estradiol levels  
I. Continue to monitor her for one more month  
J. Start progesterone challenge test",High Relevance,High Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,,,,,,,,,,,,,513,['1. A 28-year-old nulliparous woman presents with amenorrhea for 2 months following discontinuation of oral contraceptive pills.  '],I,medxpert,<answer>Option B</answer>,<answer>Option B</answer>,<answer>Option B</answer>,<answer>Option B</answer>,3,"What is the most appropriate next step in evaluating this patient's condition?

A. Begin clomiphene citrate therapy  
B. Measure her serum human chorionic gonadotropin level  
C. Measure serum testosterone and DHEA-S levels  
D. Perform transvaginal ultrasound to evaluate ovarian structure  
E. Perform endometrial biopsy  
F. Order pelvic MRI to evaluate hypothalamic-pituitary anatomy  
G. Order thyroid function tests and prolactin level  
H. Measure her follicle-stimulating hormone and estradiol levels  
I. Continue to monitor her for one more month  
J. Start progesterone challenge test",I,B,I,True,False
517,ID0824,"1. A 38-year-old man presents to the emergency department with nasal congestion, blurry vision, and diplopia.
2. His nasal congestion started about 1 week ago and he noticed the blurry vision this morning when he struggled to read the words on his television screen.
3. His medical history is significant for IV drug use, HIV (CD4: 47/mm^3), hypertension, hyperlipidemia, diabetes mellitus, and seasonal allergies.
4. His home medications include hydrochlorothiazide, atorvastatin, metformin, cetirizine, darunavir, tenofovir, and emtricitabine.
5. He denies recent IV drug use.
6. His temperature is 100.8°F (38.2°C), blood pressure is 127/85 mmHg, pulse is 78/min, and respirations are 12/min.
7. He has injected conjunctiva and rhinorrhea.
8. His cranial nerves are intact, and his motor and sensory neurologic exam is normal.
9. A MRI of the brain is performed and can be seen in Figure A.",A,medbullets,A,A,A,A,"Which of the following is the most appropriate next step in management?

A. Empiric treatment with pyrimethamine-sulfadiazine  
B. Lumbar puncture  
C. Brain biopsy  
D. Empiric treatment with dexamethasone",Low Relevance,Low Relevance,High Relevance,Low Relevance,Irrelevant,Low Relevance,Irrelevant,Low Relevance,High Relevance,,,,,,,,,,,,,517,"['1. A 38-year-old man presents to the emergency department with nasal congestion, blurry vision, and diplopia.', '3. His medical history is significant for IV drug use, HIV (CD4: 47/mm^3), hypertension, hyperlipidemia, diabetes mellitus, and seasonal allergies.']",A,medbullets,<answer>Option B</answer>,<answer>Option B</answer>,<answer>Option B</answer>,<answer>Option A</answer>,3,"Which of the following is the most appropriate next step in management?

A. Empiric treatment with pyrimethamine-sulfadiazine  
B. Lumbar puncture  
C. Brain biopsy  
D. Empiric treatment with dexamethasone",A,B,A,True,False
533,ID0843,"1. A 47-year-old man presents with fatigue and reduced libido.
2. Over the past year, he has experienced a decline in sexual interest, infrequent morning erections, and only mild erections during masturbation.
3. He occasionally has morning headaches.
4. He reports no loss of axillary or pubic hair, no history of testicular trauma, and no mumps infection.
5. Puberty occurred normally.
6. He is divorced and has two healthy children, ages 15 and 17.
7. His BMI is 38.
8. Physical examination reveals normal axillary and pubic hair.
9. Both testicles measure approximately 10 cc (reference range: 15–25).
10. Visual field testing is normal.",B,medxpert,B,B,B,B,"Which of the following diagnostic tests is most likely to confirm the cause of this patient’s symptoms?

A. Karyotype analysis  
B. Sleep study  
C. Semen analysis  
D. Abdominal ultrasound  
E. Serum cortisol measurement  
F. MRI of the pituitary  
G. Bone density scan  
H. Genetic testing for Klinefelter syndrome  
I. Dynamic pituitary hormone testing  
J. Testicular ultrasound",High Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,Low Relevance,Low Relevance,,,,,,,,,,,,533,"['1. A 47-year-old man presents with fatigue and reduced libido.', '2. Over the past year, he has experienced a decline in sexual interest, infrequent morning erections, and only mild erections during masturbation.', '3. He occasionally has morning headaches.', '7. His BMI is 38.', '9. Both testicles measure approximately 10 cc (reference range: 15–25).']",B,medxpert,<answer>Option A</answer>,<answer>Option A</answer>,<answer>Option B</answer>,<answer>Option B</answer>,3,"Which of the following diagnostic tests is most likely to confirm the cause of this patient’s symptoms?

A. Karyotype analysis  
B. Sleep study  
C. Semen analysis  
D. Abdominal ultrasound  
E. Serum cortisol measurement  
F. MRI of the pituitary  
G. Bone density scan  
H. Genetic testing for Klinefelter syndrome  
I. Dynamic pituitary hormone testing  
J. Testicular ultrasound",B,A,B,True,False
557,ID0876,"1. A 30-year-old man was referred with progressive quadriplegia for 2 months.
2. The muscle weakness started from the right lower limb and gradually spread to the upper limb and contralateral side.
3. Urinary retention developed 1 month later.
4. Because he was suspected of having tubercular meningomyelitis, he received an antituberculosis regimen plus dexamethasone (10 mg daily) for 10 days.
5. The symptoms ameliorated in the first week but thereafter deteriorated with fever.
6. He had no history of central nervous system injury or drug overuse.
7. He was a construction supervisor and had daily contact with moist earth.
8. No relevant family history was reported.
9. On physical examination, he was alert and well oriented.
10. The cranial nerve was intact, but he had quadriplegia with a Medical Research Council muscle scale grade of 0 of 5 power, decreased tendon reflexes, and bilateral positive Babinski sign.
11. Pinprick and vibration sensation were markedly impaired below the nipples.
12. Multiple enlarged cervical lymph nodes could be palpitated.
13. The skin was extraordinarily dry, and a pigmentation of 10 mm in diameter at the T2 vertebrae, just on the midline of the back, was noticed.
14. Total blood T-cell count (CD3+) was 1643/uL (to convert to ×109 per liter, multiply by 0.001), and the patient had a CD4+/CD8+ ratio of 0.89.
15. Results of blood testing for human immunodeficiency virus, syphilis, and tuberculosis were negative.
16. Cerebrospinal fluid testing revealed pleocytosis (72 cells/uL; mononuclear cells, 59 of 72), elevated protein concentration (200 mg/dL), and a decreased glucose level (36.0 mg/dL [to convert to millimoles per liter, multiply by 0.0555]), but no organisms were identified on Gram stain or on stain for acid-fast bacilli.
17. Pulmonary computed tomography showed enlarged lymph nodes in mediastinum and axillary regions.
18. Results from magnetic resonance imaging of the brain were normal, while magnetic resonance imaging of the cervical spine revealed multiple intramedullary lesions with enhancement (Figure 1).Magnetic resonance imaging of the cervical spine.
19. Multiple intramedullary lesions and enlarged lymph nodes with strong enhancement were revealed.
20. A, Lateral view of the cervical cord.
21. The subcutaneous abscess beneath the pigmentation on the back is also shown.
22. Inset, photograph of the skin lesion on the back.
23. B, Coronal view of the cervical cord.",B,jama,B,B,B,B,"What Is Your Diagnosis?

A: Tubercular meningomyelitis  
B: Mycotic meningomyelitis  
C: Neurosarcoidosis  
D: Central nervous system lymphoma",Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Irrelevant,High Relevance,Irrelevant,Irrelevant,Low Relevance,Low Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,High Relevance,High Relevance,Irrelevant,High Relevance,557,"['1. A 30-year-old man was referred with progressive quadriplegia for 2 months.', '2. The muscle weakness started from the right lower limb and gradually spread to the upper limb and contralateral side.', '10. The cranial nerve was intact, but he had quadriplegia with a Medical Research Council muscle scale grade of 0 of 5 power, decreased tendon reflexes, and bilateral positive Babinski sign.', '11. Pinprick and vibration sensation were markedly impaired below the nipples.', '12. Multiple enlarged cervical lymph nodes could be palpitated.', '13. The skin was extraordinarily dry, and a pigmentation of 10 mm in diameter at the T2 vertebrae, just on the midline of the back, was noticed.', '16. Cerebrospinal fluid testing revealed pleocytosis (72 cells/uL; mononuclear cells, 59 of 72), elevated protein concentration (200 mg/dL), and a decreased glucose level (36.0 mg/dL [to convert to millimoles per liter, multiply by 0.0555]), but no organisms were identified on Gram stain or on stain for acid-fast bacilli.', '17. Pulmonary computed tomography showed enlarged lymph nodes in mediastinum and axillary regions.', '18. Results from magnetic resonance imaging of the brain were normal, while magnetic resonance imaging of the cervical spine revealed multiple intramedullary lesions with enhancement (Figure 1).Magnetic resonance imaging of the cervical spine.', '19. Multiple intramedullary lesions and enlarged lymph nodes with strong enhancement were revealed.', '20. A, Lateral view of the cervical cord.']",B,jama,<answer>Option C</answer>,<answer>Option C</answer>,<answer>Option C</answer>,<answer>Option C</answer>,3,"What Is Your Diagnosis?

A: Tubercular meningomyelitis  
B: Mycotic meningomyelitis  
C: Neurosarcoidosis  
D: Central nervous system lymphoma",B,C,B,True,False
588,ID0925,"1. A newborn girl with a nodular lesion on the scalp present since birth was seen at the dermatology clinic.  
2. The parents reported occasional erosions and crusting that resolved with topical mupirocin, 2%, cream, but with no continued growth.  
3. The mother had had a normal pregnancy.  
4. Physical examination revealed a firm, exophytic, and flat-topped nodule, with superficial erosion and crust on the right parietal side of the scalp measuring 3 cm in diameter and 1 cm thick (Figure, A).  
5. No other skin lesions were found.  
6. A 4-mm punch skin biopsy was performed, and tissue was sent for pathologic analysis (Figure, B and C).  
7. Cerebral and abdominal ultrasonography revealed no evidence of visceral involvement.  
8. The lesion regressed without treatment over a period of 8 months.  
9. Close follow-up every 3 months was scheduled, and complete involution of the tumor was noted at 10 months of age (Figure, D).  
10. A, Nodular lesion on the right parietal scalp at initial presentation.  
11. B, Histopathologic image of a biopsy specimen (hematoxylin-eosin, original magnification ×200).  
12. C, Immunohistochemical image of a biopsy specimen (actin stain, original magnification ×100).  
13. D, Complete regression of tumor at 10 months of age.",B,jama,B,B,B,B,"What Is Your Diagnosis?  

A: Giant cell fibroblastoma  
B: Infantile myofibromatosis  
C: Dermoid cyst  
D: Keratoacanthoma",High Relevance,Low Relevance,Irrelevant,High Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,Irrelevant,Irrelevant,Irrelevant,High Relevance,,,,,,,,,588,"['1. A newborn girl with a nodular lesion on the scalp present since birth was seen at the dermatology clinic.  ', '4. Physical examination revealed a firm, exophytic, and flat-topped nodule, with superficial erosion and crust on the right parietal side of the scalp measuring 3 cm in diameter and 1 cm thick (Figure, A).  ', '8. The lesion regressed without treatment over a period of 8 months.  ', '9. Close follow-up every 3 months was scheduled, and complete involution of the tumor was noted at 10 months of age (Figure, D).  ']",B,jama,<answer>Option D</answer>,<answer>Option D</answer>,<answer>Option B</answer>,<answer>Option D</answer>,3,"What Is Your Diagnosis?  

A: Giant cell fibroblastoma  
B: Infantile myofibromatosis  
C: Dermoid cyst  
D: Keratoacanthoma",B,D,B,True,False
596,ID0941,"1. A 16-month-old girl is brought to the emergency department after falling from a second-story window.
2. Emergency personnel found her unconscious with slow, irregular breathing and intubated her on the scene.
3. Upon arrival, her temperature is 37°C, heart rate is 72 beats per minute, blood pressure is 159/90 mm Hg, and oxygen saturation is 98% while intubated.
4. She remains unconscious, with ecchymosis noted behind the left ear and a visibly deformed distal left upper extremity.
5. Her pupils are unequal in size (right larger than left) and sluggish to react.
6. She is wearing a cervical collar for neck stabilization.
7. Lungs are clear bilaterally, her heart rate is regular, and her abdomen is soft, nontender, and nondistended with no signs of organomegaly.
8. A neurosurgical consultation has been initiated.",E,medxpert,E,E,I,I,"What is the most appropriate next step in management for this patient?

A. Perform immediate burr hole decompression  
B. Perform a lumbar puncture  
C. Obtain a CT scan of the head  
E. Administer a mannitol bolus  
F. Delay imaging until neurosurgical evaluation  
G. Initiate therapeutic hypothermia  
H. Administer anticonvulsant prophylaxis  
I. Administer hypertonic saline infusion  
J. Administer a bolus of IV corticosteroids",High Relevance,High Relevance,High Relevance,Low Relevance,High Relevance,Irrelevant,Irrelevant,Low Relevance,,,,,,,,,,,,,,596,"['3. Upon arrival, her temperature is 37°C, heart rate is 72 beats per minute, blood pressure is 159/90 mm Hg, and oxygen saturation is 98% while intubated.', '5. Her pupils are unequal in size (right larger than left) and sluggish to react.']",E,medxpert,<answer>Option C</answer>,<answer>Option C</answer>,<answer>Option E</answer>,<answer>Option E</answer>,3,"What is the most appropriate next step in management for this patient?

A. Perform immediate burr hole decompression  
B. Perform a lumbar puncture  
C. Obtain a CT scan of the head  
E. Administer a mannitol bolus  
F. Delay imaging until neurosurgical evaluation  
G. Initiate therapeutic hypothermia  
H. Administer anticonvulsant prophylaxis  
I. Administer hypertonic saline infusion  
J. Administer a bolus of IV corticosteroids",E,C,E,True,False
597,ID0942,"1. A 63-year-old male presents to the clinic with complaints of dysphagia and worsening ""heartburn"" over the past year.  
2. His medical history includes primary hypertension.  
3. On examination, his abdomen is mildly tender to palpation.  
4. Vital signs are: temperature 36.7°C (98.0°F), blood pressure 126/74 mm Hg, heart rate 74/min, and respiratory rate 14/min.  
5. Barium swallow fluoroscopy reveals a subdiaphragmatic gastroesophageal junction with herniation of the gastric fundus into the left hemithorax.",H,medxpert,H,H,H,H,"Which of the following is the most appropriate next step in managing this patient’s underlying condition?

A. Upper endoscopy with biopsy  
B. Lifestyle modification  
C. Calcium channel blocker therapy  
D. Omeprazole  
E. H2 receptor antagonist therapy  
F. Metoclopramide  
G. Laparoscopic Nissen fundoplication  
H. Surgical gastropexy  
I. Watchful waiting with annual follow-up  
J. Lifestyle modifications and weight loss",High Relevance,Irrelevant,Irrelevant,Irrelevant,High Relevance,,,,,,,,,,,,,,,,,597,"['1. A 63-year-old male presents to the clinic with complaints of dysphagia and worsening ""heartburn"" over the past year.  ', '5. Barium swallow fluoroscopy reveals a subdiaphragmatic gastroesophageal junction with herniation of the gastric fundus into the left hemithorax.']",H,medxpert,<answer>Option G</answer>,<answer>Option G</answer>,<answer>Option H</answer>,<answer>Option [G]</answer>,2,"Which of the following is the most appropriate next step in managing this patient’s underlying condition?

A. Upper endoscopy with biopsy  
B. Lifestyle modification  
C. Calcium channel blocker therapy  
D. Omeprazole  
E. H2 receptor antagonist therapy  
F. Metoclopramide  
G. Laparoscopic Nissen fundoplication  
H. Surgical gastropexy  
I. Watchful waiting with annual follow-up  
J. Lifestyle modifications and weight loss",H,G,H,True,False
614,ID0973,"1. A 31-year-old man presented with left cervical and left inguinal masses.
2. He reported intermittent itching and night sweats for 2 years.
3. He denied fever, weight loss, shortness of breath, rashes, diarrhea, and neurological symptoms.
4. On a preemployment evaluation, the patient was told he had a high white blood cell count 2 years ago.
5. On examination, there was left cervical and inguinal lymphadenopathy and no other organomegaly.
6. Complete blood cell count and peripheral blood smear showed marked leukocytosis, with a white blood cell count of 22 340/μL, an absolute neutrophil count of 5360/μL, and 55% eosinophils with an absolute eosinophil count of 12 290/μL (to convert all to cells ×109/L, multiply by 0.001).
7. Vitamin B12 was markedly elevated at more than 4000 pg/mL (to convert to pmol/L, multiply by 0.7378).
8. The erythrocyte sedimentation rate was 5 mm/h.
9. Lactate dehydrogenase was 180 U/L, and alkaline phosphatase was 81 U/L (to convert both to μkat/L, multiply by 0.0167).
10. Evaluations for HIV and hepatitis B and C were all negative.
11. Serum creatinine was 0.76 mg/dL (to convert to μmol/L, multiply by 88.4); alanine aminotransferase and aspartate aminotransferase were 11 U/L and 9.9 U/L, respectively (to convert to μkat/L, multiply by 0.0167); and total bilirubin was 0.35 mg/dL (to convert to μmol/L, multiply by 17.104).
12. Bone marrow biopsy showed hypercellular marrow (cellularity of 100%), myeloid hyperplasia, increased eosinophils with some dysplasia, and a blast count of 2%.
13. Positron emission tomographic–computed tomographic scan showed a left upper cervical lymph node of 2.6 cm and a left inguinal lymph node of 3.1 × 2.3 cm with an standardized uptake value max of 5.7 (Figure, A).
14. Left inguinal lymph node biopsy showed partial involvement by atypical cells with high proliferation index (Ki-67 >95%) that were positive for CD3, CD4, CD8, BCL2, and TDT, suggestive of T-cell lymphoblastic lymphoma/leukemia (Figure, B).A, Positron emission tomographic–computed tomographic (PET/CT) scan of the head and neck at presentation showing a left upper cervical lymph node of 2.6 cm (arrowhead).
15. B, Lymph node biopsy immunohistochemical stain with terminal deoxynucleotidyl transferase.
16. The inset shows interphase fluorescence in situ hybridization for FIP1L1::PDGFRA rearrangement (positive).
17. C, PET/CT 12 weeks after treatment initiation.Myeloid/lymphoid neoplasms with eosinophilia and tyrosine kinase gene fusions",D,jama,D,D,D,D,"What Is Your Diagnosis?

A: Kimura disease  
B: Classic Hodgkin lymphoma  
C: T-cell acute lymphoblastic lymphoma/leukemia  
D: Myeloid/lymphoid neoplasms with eosinophilia and tyrosine kinase gene fusions",Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,High Relevance,High Relevance,Irrelevant,Irrelevant,Irrelevant,Irrelevant,High Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,Irrelevant,,,,,614,"['1. A 31-year-old man presented with left cervical and left inguinal masses.', '2. He reported intermittent itching and night sweats for 2 years.', '14. Left inguinal lymph node biopsy showed partial involvement by atypical cells with high proliferation index (Ki-67 >95%) that were positive for CD3, CD4, CD8, BCL2, and TDT, suggestive of T-cell lymphoblastic lymphoma/leukemia (Figure, B).A, Positron emission tomographic–computed tomographic (PET/CT) scan of the head and neck at presentation showing a left upper cervical lymph node of 2.6 cm (arrowhead).', '15. B, Lymph node biopsy immunohistochemical stain with terminal deoxynucleotidyl transferase.', '17. C, PET/CT 12 weeks after treatment initiation.Myeloid/lymphoid neoplasms with eosinophilia and tyrosine kinase gene fusions']",D,jama,<answer>Option C</answer>,<answer>Option C</answer>,<answer>Option [C]</answer>,<answer>Option C</answer>,2,"What Is Your Diagnosis?

A: Kimura disease  
B: Classic Hodgkin lymphoma  
C: T-cell acute lymphoblastic lymphoma/leukemia  
D: Myeloid/lymphoid neoplasms with eosinophilia and tyrosine kinase gene fusions",D,C,D,True,False
618,ID0979,"1. A 20-year-old male presents to the clinic six weeks after undergoing abdominal surgery for a gunshot wound, reporting diffuse, achy abdominal pain rated as 4/10.
2. He has been compliant with wound care and denies additional symptoms.
3. He has no significant past medical history and is not taking any medications.
4. Vital signs are normal.
5. Physical examination reveals a nearly healed surgical incision in the left upper quadrant without surrounding erythema or edema.
6. Structural examination identifies a hypertonic rectus abdominis muscle that is tender to palpation.
7. An anterior-superior iliac spine (ASIS) compression test is asymmetric, with the right ASIS inferior when supine and the left posterior-superior iliac spine (PSIS) inferior when prone.
8. The pubic symphysis is tender, with asymmetry of the pubic tubercles and a taut, tender left inguinal ligament.",B,medxpert,B,B,B,B,"What is the most likely diagnosis?

A. Left posterior innominate rotation  
B. Left superior pubic shear  
C. Bilateral pubic compression  
D. Right anterior innominate rotation  
E. Right posterior innominate rotation  
F. Left inferior pubic shear  
G. Sacral torsion on a left oblique axis  
H. Right superior pubic shear  
I. Right inferior innominate shear  
J. Pubic symphysis compression",Low Relevance,Irrelevant,Irrelevant,Irrelevant,Low Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,618,"['1. A 20-year-old male presents to the clinic six weeks after undergoing abdominal surgery for a gunshot wound, reporting diffuse, achy abdominal pain rated as 4/10.', '7. An anterior-superior iliac spine (ASIS) compression test is asymmetric, with the right ASIS inferior when supine and the left posterior-superior iliac spine (PSIS) inferior when prone.', '8. The pubic symphysis is tender, with asymmetry of the pubic tubercles and a taut, tender left inguinal ligament.']",B,medxpert,<answer>Option F</answer>,<answer>Option F</answer>,<answer>Option B</answer>,<answer>Option B</answer>,3,"What is the most likely diagnosis?

A. Left posterior innominate rotation  
B. Left superior pubic shear  
C. Bilateral pubic compression  
D. Right anterior innominate rotation  
E. Right posterior innominate rotation  
F. Left inferior pubic shear  
G. Sacral torsion on a left oblique axis  
H. Right superior pubic shear  
I. Right inferior innominate shear  
J. Pubic symphysis compression",B,F,B,True,False
624,ID0992,"1. A 21-year-old female student presents to her university's health clinic with symptoms including vaginal itching, painful urination, pelvic discomfort, and malodorous vaginal discharge.
2. These symptoms have recurred four times in the past year, despite both she and her partner receiving multiple treatment courses of ceftriaxone combined with either doxycycline or azithromycin.
3. Physical examination reveals cervical friability and mucopurulent discharge from the cervix.
4. Microscopic examination of a wet mount preparation shows numerous polymorphonuclear leukocytes.",B,medxpert,B,B,B,B,"Which pathogen is the most probable cause of her cervicitis?

A. *Neisseria gonorrhoeae*  
B. *Mycoplasma genitalium*  
C. *Streptococcus agalactiae*  
D. *Mycoplasma hominis*  
E. *Chlamydia trachomatis*  
F. *Gardnerella vaginalis*  
G. *Ureaplasma urealyticum*  
H. *Candida albicans*  
I. Drug-resistant *Neisseria gonorrhoeae*  
J. *Trichomonas vaginalis*",Low Relevance,High Relevance,High Relevance,High Relevance,,,,,,,,,,,,,,,,,,624,"[""1. A 21-year-old female student presents to her university's health clinic with symptoms including vaginal itching, painful urination, pelvic discomfort, and malodorous vaginal discharge."", '3. Physical examination reveals cervical friability and mucopurulent discharge from the cervix.', '4. Microscopic examination of a wet mount preparation shows numerous polymorphonuclear leukocytes.']",B,medxpert,<answer>Option E</answer>,<answer>Option E</answer>,<answer>Option E</answer>,<answer>Option E</answer>,3,"Which pathogen is the most probable cause of her cervicitis?

A. *Neisseria gonorrhoeae*  
B. *Mycoplasma genitalium*  
C. *Streptococcus agalactiae*  
D. *Mycoplasma hominis*  
E. *Chlamydia trachomatis*  
F. *Gardnerella vaginalis*  
G. *Ureaplasma urealyticum*  
H. *Candida albicans*  
I. Drug-resistant *Neisseria gonorrhoeae*  
J. *Trichomonas vaginalis*",B,E,B,True,False
647,ID1026,"1. A 40-year-old woman visits her primary care physician for evaluation of recurring kidney stones.
2. She is currently asymptomatic and reports feeling well.
3. She has had four episodes of urolithiasis over several years without any known predisposing factors.
4. Analysis has shown the stones to be calcium-based.
5. Her only medication is a daily prenatal vitamin.
6. Being adopted at birth, she has no available family history.
7. Her vital signs show: temperature 98.6º F, blood pressure 120/80 mmHg, pulse 70/min, and respiratory rate 12/min.
8. Physical examination reveals no abdominal or costovertebral angle tenderness.
9. Her serum creatinine is stable at 0.7 mg/dL.
10. An intravenous pyelogram reveals striations in the papillary ducts of the renal medulla and multiple collecting duct cysts throughout both kidneys' medulla, with no cortical cysts.
11. Small calculi are scattered throughout the urinary system.",B,medxpert,B,B,B,B,"What inheritance pattern is most likely associated with this condition?

A. Variable expressivity  
B. No inheritance pattern  
C. Incomplete penetrance  
D. Autosomal dominant  
E. X-linked dominant  
F. Autosomal recessive  
G. Codominant inheritance  
H. X-linked recessive  
I. Mitochondrial inheritance  
J. Multifactorial inheritance",High Relevance,Low Relevance,High Relevance,High Relevance,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Low Relevance,High Relevance,High Relevance,,,,,,,,,,,647,"[""10. An intravenous pyelogram reveals striations in the papillary ducts of the renal medulla and multiple collecting duct cysts throughout both kidneys' medulla, with no cortical cysts."", '11. Small calculi are scattered throughout the urinary system.']",B,medxpert,<answer>Option A</answer>,<answer>Option [B]</answer>,<answer>Option [B]</answer>,<answer>Option [B]</answer>,3,"What inheritance pattern is most likely associated with this condition?

A. Variable expressivity  
B. No inheritance pattern  
C. Incomplete penetrance  
D. Autosomal dominant  
E. X-linked dominant  
F. Autosomal recessive  
G. Codominant inheritance  
H. X-linked recessive  
I. Mitochondrial inheritance  
J. Multifactorial inheritance",B,A,B,True,False
651,ID1032,"1. A man in his 50s with a history of ‎poorly controlled type 2 diabetes reported decreased vision in both eyes.
2. On examination, visual acuity was counting fingers OD and 20/200 OS.
3. Anterior segment examination was unremarkable.
4. Dense vitreous hemorrhage precluded fundus examination of the right eye, and B-scan ultrasonography did not reveal any additional pathology.
5. The left fundus examination exhibited diabetic macular edema with central subfield thickness of 425 μm on optical coherence tomography and severe nonproliferative diabetic retinopathy, for which he had laser surgery for diabetic macular edema and panretinal photocoagulation.
6. He subsequently underwent vitrectomy in the right eye for nonclearing vitreous hemorrhage with an uneventful postoperative course and improvement of his visual acuity to 20/100.
7. The patient was lost to follow-up and returned 4 months later with visual acuity 20/125 OD and counting fingers OS, with a vitreous hemorrhage in the left eye for which he underwent vitrectomy with thorough panretinal photocoagulation (1200 spots).
8. On postoperative day 1, visual acuity was 20/200 and intraocular pressure was elevated to 35 mm Hg.
9. The conjunctiva had mild hyperemia with foci of subconjunctival hemorrhage, the anterior chamber was deep and quiet, the anterior vitreous contained no cells, and a few cobweblike, tan strands were present throughout the vitreous cavity.
10. Topical timolol/acetazolamide and brimonidine were started twice daily, together with prednisolone acetate and moxifloxacin every 6 hours.
11. On postoperative day 3, the patient noted decreased visual acuity OS but he denied pain or discharge.
12. Visual acuity was hand motion, and intraocular pressure was 17 mm Hg.
13. The anterior chamber had minimal inflammation.
14. Extensive strands and veils were noted throughout the vitreous cavity (Figure 1).
15. Anterior vitreous cavity (A) and wide-field fundus photograph (B) of the left eye demonstrating extensive transvitreal strands and sheets.",A,jama,A,A,A,A,"What Would You Do Next?

A: Increase topical steroids  
B: Inject intravitreal antibiotics  
C: Perform vitrectomy  
D: Inject antifungal drug",Low Relevance,Low Relevance,Low Relevance,Low Relevance,Low Relevance,Irrelevant,High Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,Low Relevance,High Relevance,High Relevance,High Relevance,,,,,,,651,"['1. A man in his 50s with a history of \u200epoorly controlled type 2 diabetes reported decreased vision in both eyes.', '6. He subsequently underwent vitrectomy in the right eye for nonclearing vitreous hemorrhage with an uneventful postoperative course and improvement of his visual acuity to 20/100.', '7. The patient was lost to follow-up and returned 4 months later with visual acuity 20/125 OD and counting fingers OS, with a vitreous hemorrhage in the left eye for which he underwent vitrectomy with thorough panretinal photocoagulation (1200 spots).', '9. The conjunctiva had mild hyperemia with foci of subconjunctival hemorrhage, the anterior chamber was deep and quiet, the anterior vitreous contained no cells, and a few cobweblike, tan strands were present throughout the vitreous cavity.', '14. Extensive strands and veils were noted throughout the vitreous cavity (Figure 1).']",A,jama,<answer>Option D</answer>,<answer>Option D</answer>,<answer>Option D</answer>,<answer>Option A</answer>,3,"What Would You Do Next?

A: Increase topical steroids  
B: Inject intravitreal antibiotics  
C: Perform vitrectomy  
D: Inject antifungal drug",A,D,A,True,False
