Origin,question_options,answer_corr,data_source_corr,New_Sentences
ID1974,"Which of the following medications should this patient be started on?

A. Alprazolam  
B. Primidone  
C. Propranolol  
D. Topiramate",C,medbullets,His medical history is otherwise notable for hypertension and hyperlipidemia. His family history is significant for Parkinson disease in his father.
ID1130,"Which of the following medications is most appropriate for treating her condition?

A. Acyclovir  
B. Amoxicillin  
C. Fluconazole  
D. Trimethoprim-sulfamethoxazole",A,medbullets,
ID1153,"Which of the following is the most appropriate next step in management?

A. Lumbar puncture, ceftriaxone, vancomycin, and methylprednisolone  
B. MRI brain  
C. Vancomycin and ceftriaxone  
D. Vancomycin, ceftriaxone, and dexamethasone",A,medbullets,
ID1983,"Which of the following is the most appropriate initial therapy?

A. Benztropine  
B. Electroconvulsive therapy  
C. Haloperidol  
D. Lorazepam",D,medbullets,"When he tried to move her, she would remain in whatever position she was placed."
ID0600,"Which of the following is the most appropriate initial step in management?

A. Alprazolam  
B. Iron studies  
C. Pramipexole  
D. Supportive therapy and an exercise routine",B,medbullets,
ID0715,"What is the most appropriate next step in management?

A. Amputation  
B. Escharotomy  
C. Fasciotomy  
D. Intravenous fluid infusion based on Parkland formula",B,medbullets,
ID1900,"What Would You Do Next?

A: Administer intravenous broad-spectrum antibiotics  
B: Start a topical steroid  
C: Perform skin scraping of burrows from multiple sites  
D: Do nothing and reassure the parents",C,jama,
ID0713,"Which of the following is the most appropriate next step in management?

A. Aspirin  
B. CT angiography of the chest, abdomen, and pelvis  
C. Echocardiography  
D. Lorazepam",B,medbullets,
ID1845,"Which of the following is the most appropriate next step in management?

A. CT scan of the abdomen and pelvis  
B. CT scan of the chest  
C. HIDA scan  
D. Smoking cessation advice and primary care follow up",A,medbullets,
ID1599,"Which of the following is the most likely diagnosis?

A. Alzheimer disease  
B. Creutzfeldt-Jacob disease  
C. Frontotemporal dementia  
D. Subcortical leukoencephalopathy",B,medbullets,. His medical history is significant for gastroesophageal reflux disease for which he takes omeprazole
ID0673,"Which of the following is the most likely underlying etiology of this patient's symptoms?

A. Adhesions  
B. Enteric nervous system damage  
C. Impacted stool  
D. Twisting of the bowel",A,medbullets,He decided to come in when his symptoms worsened. Physical exam reveals a systolic murmur heard loudest along the left upper sternal border
ID0564,"Which of the following regions of his brain is most likely affected?

A. Lateral medulla  
B. Lateral pons  
C. Posterior limb of internal capsule  
D. Midbrain",D,medbullets,
ID1047,"What Would You Do Next?  
A: Order magnetic resonance imaging of the brain  
B: Order a hormone profile (thyrotropin, adrenocorticotrophic hormone, growth hormone, and testosterone) and consult endocrinology  
C: Perform a peripheral blood smear examination  
D: Order targeted genetic testing",B,jama,"The results of an optic nerve examination revealed bilateral pale optic discs with no evidence of edema and normal retinal vasculature. His color vision was defective, and his pupils were slow reactive to light"
ID1632,"Which of the following parameters including forced expiratory volume in 1 second (FEV1), forced vital capacity (FVC), and diffusing capacity of carbon monoxide (DLCO) most appropriately describes this patient's underlying pathology?

A. Increased FVC  
B. Decreased airway tone  
C. Normal DLCO  
D. Increased FEV1/FVC",C,medbullets,"Her temperature is 99.5°F (37.5°C), blood pressure is 127/68 mmHg, pulse is 120/min, respirations are 22/min, and oxygen saturation is 90% on room air"
ID1824,"Which of the following is the most likely indication to discontinue this patient's treatment?

A. Peripheral neuropathy  
B. Red body excretions  
C. Hyperuricemia  
D. Elevated liver enzymes",D,medbullets,
ID0496,"Which of the following findings is the most likely to be positive in this patient?

A. Anti-cyclic citrullinated peptide antibodies  
B. Degenerated cartilage in weight bearing joints  
C. Anti-dsDNA antibodies  
D. Anti-histone antibodies",C,medbullets,
ID1955,"Which of the following is the pathophysiology of this patient's condition?

A. Decreased gamma aminobutyric acid (GABA) levels  
B. Vitamin B6 deficiency  
C. Excess of corticotropin releasing hormone  
D. Anti-N-methyl-D-aspartate (NMDA) receptor antibodies",C,medbullets,
ID1898,"Which of the following therapies is most likely to improve survival for this patient's disease process?

A. Dextromethorphan and quinidine  
B. Tizanidine  
C. Riluzole  
D. Edaravone",C,medbullets,"When tapping the mandible at the chin while the mouth is held open, there is pronounced upward movement of the lower jaw"
ID0949,"Which of the following is the most likely cause of this patient's symptoms?

A. Alcohol intoxication  
B. Cannabinoid use  
C. Juvenile myoclonic epilepsy  
D. Absence seizures",C,medbullets,He has not noticed any other symptoms
ID0325,"What diagnostic test should this patient receive?

A. Chest radiograph  
B. Mammography  
C. Colonoscopy  
D. Vitamin D level",B,medbullets,
ID1963,"Which of the following is the most likely diagnosis?

A. Spondylolisthesis  
B. Lumbosacral strain  
C. Herniated disc  
D. Multiple myeloma",B,medbullets,
ID0619,"Which of the following is the most appropriate next step in management?

A. Botulinum toxin injection  
B. Ondansetron  
C. Diphenhydramine  
D. Observation",C,medbullets,
ID1821,"Which of the following is the most likely underlying etiology for this patient’s chief concern?

A. Hypocalcemia  
B. Hypothyroidism  
C. Hyponatremia  
D. Hypomagnesemia  

##",D,medbullets,
ID1157,"Which of the following is the most likely diagnosis?

A. Distal radius fracture  
B. Both bone forearm fracture  
C. Supracondylar humerus fracture  
D. Olecranon fracture",C,medbullets,
ID0221,"Which of the following is most likely to be present in this patient?

A. Continuous lesion beginning in the rectum  
B. Fistulae and stricture formation  
C. Worse disease severity near the ileocecal valve  
D. Perianal disease",A,medbullets,
ID0321,"What Would You Do Next?

A: Check stool for Echinococcus granulosus eggs  
B: Obtain serologic testing for E granulosus antibodies  
C: Order a lung biopsy  
D: Perform a liver biopsy",B,jama,.
ID0788,"Which of the following is the most appropriate next step in management?

A. Clindamycin  
B. Amoxicillin-clavulanate  
C. Clindamycin plus doxycycline  
D. Wound closure and amoxicillin-clavulanate",B,medbullets,
ID1508,"She can follow the command to “give me the ball and then close the door.” Which of the following is abnormal in this patient?

A. Fine motor skills  
B. Social and receptive language skills  
C. This child is developmentally normal  
D. Expressive language skills",D,medbullets,She has a vocabulary of 10-25 words that she uses in the form of 1 word commands
ID1480,"Which of the following is the most appropriate next step in management?

A. Switch to paroxetine  
B. Switch to phenelzine  
C. Electroconvulsive therapy  
D. Add mirtazapine",D,medbullets,
ID0924,"Which of the following is the most appropriate next step in management?

A. CT scan of the abdomen and pelvis with contrast  
B. FAST exam  
C. Norepinephrine infusion  
D. Diagnostic peritoneal lavage",B,medbullets,Infusion of packed red blood cells is initiated. Significant bruising is noted over the abdomen.
ID1200,"Which of the following is the most likely diagnosis in this patient?

A. Polycystic ovary syndrome  
B. Adrenal tumor  
C. Ovarian tumor  
D. Ovarian hyperthecosis",C,medbullets,17-hydroxyprogesterone: 214 ng/dL (Normal: < 200 ng/dL) Her last menstrual period was over 3 months ago and her periods have been irregular over the last year. Testosterone: 256 ng/dL Ultrasound findings are shown in Figure A.
ID0182,"Which of the following is the most appropriate treatment for this patient's condition?

A. Low-salt diet  
B. Thiamine  
C. Epley maneuver  
D. Meclizine",A,medbullets,
ID1819,"What Would You Do Next?

A: Discharge to general practitioner with no clinical recommendations  
B: Pharmacotherapy with low-dose atypical antipsychotics  
C: Clinical follow-up for at least 3 years and indicated primary prevention  
D: Treatment with ω-3 fish oil dietary supplementation",C,jama,
ID0048,"Which of the following is the most appropriate next step in management?

A. Combined oral contraceptive  
B. Increase levothyroxine dose  
C. Brain MRI  
D. Estradiol patch with oral medroxyprogesterone",D,medbullets,
ID1602,"Which of the following is the most appropriate next step in treatment for this patient?

A. Supportive therapy only  
B. Vancomycin and clindamycin  
C. Cefoxitin and doxycycline  
D. Vancomycin and gentamicin",A,medbullets,"The next morning, the patient experiences chills and a light red voluminous discharge from her vagina."
ID0046,"Which of the following is most likely to be abnormal in this patient?

A. IgA and IgG  
B. Calcium  
C. T-cells  
D. IgM",D,medbullets,"There are large, non-tender palpable lymph nodes in the patient's inguinal region. The patient also endorses increased sweating at night and new-onset headaches. He currently feels dizzy"
ID0215,"What Would You Do Next?

A: Increase her topical corticosteroid dosage  
B: Further taper her corticosteroid dosage and start a cycloplegic agent to break posterior synechiae  
C: Perform AC paracentesis and send fluid for viral polymerase chain reaction analysis  
D: Perform urgent peripheral iridotomy given IOP asymmetry",B,jama,
ID0495,"Which of the following is the most appropriate next step in management?

A. Interferon-gamma release assay  
B. CT of the chest without contrast  
C. Barium swallow  
D. Serum immunoglobulin levels",B,medbullets,He is sexually active with his wife. Physical exam is notable for decreased breath sounds on the right side without wheezing and increased dullness to percussion on the right side. A chest radiograph is ordered and reveals a consolidation in the right middle lobe
ID0662,"Which of the following is this patient most likely demonstrating?

A. Intellectualization  
B. Pessimism  
C. Rationalization  
D. Optimism",A,medbullets,A CT scan of the abdomen is performed demonstrating a mass in the colon with multiple metastatic lesions scattered throughout the abdomen. A 57-year-old man presents to the emergency department for weight loss and abdominal pain
ID0115,"Which of the following is most likely to be found on histology?

A. Crypt abscesses in the large intestine  
B. Mucosal defect in the stomach  
C. Noncaseating granulomas in the small intestine  
D. Urease-producing organism in the small intestine",D,medbullets,
ID1496,"Which of the following is the most appropriate next step in management?

A. Emergent surgical intervention  
B. Wound closure  
C. Observation  
D. CT scan of the left lower extremity",A,medbullets,"Pressure is removed from the wound, and pulsatile bleeding from the wound is noted."
ID1439,"Which of the following is the most likely cause of this patient's amenorrhea?

A. Hypothyroidism  
B. Functional hypothalamic amenorrhea  
C. Anorexia nervosa  
D. Polycystic ovarian syndrome",B,medbullets,"She denies alcohol use, smoking, and recreational drugs"
ID1116,"Which of the following is the most appropriate next step in management?

A. Barium swallow  
B. Upper endoscopy  
C. Helicobacter pylori stool antigen test  
D. Trial of lansoprazole",B,medbullets,
ID1685,"Which of the following is the most appropriate next step in management?

A. Doxycycline  
B. Ampicillin and sulbactam  
C. Amoxicillin and clavulanate  
D. Flucanozole",B,medbullets,
ID0247,"Which of the following is most likely deficient in this patient?

A. Thiamine  
B. Vitamin C  
C. Zinc  
D. Riboflavin",C,medbullets,
ID1158,"Which of the following is the most appropriate next step in management?

A. Upper gastrointestinal series  
B. Sweat testing  
C. Abdominal radiograph  
D. Abdominal CT",C,medbullets,
ID0974,"Which of the following would most likely be seen on a peripheral blood smear in this patient?

A. Schistocytes  
B. Codocytes  
C. Acanthocytes  
D. Degmacytes",D,medbullets,
ID1271,"Which of the following is the most appropriate therapy for this patient?

A. Ceftriaxone  
B. Ofloxacin ear drops  
C. Amoxicillin  
D. Vancomycin and piperacillin-tazobactam",D,medbullets,
ID1553,"Which of the following is the most appropriate next step in management?

A. Reassurance and counseling on positioning  
B. Switch to hydrolyzed formula  
C. Recommend modification of mother’s diet  
D. Initiate proton pump inhibitor",A,medbullets,"His abdomen is soft, non-tender and non-distended. She reports that about 2 weeks ago the patient began regurgitating breastmilk through his nose and mouth after some feeds. She denies any diarrhea, hematochezia, or family history of food allergies."
ID1093,"Which of the following is an additional milestone associated with this child’s age?  
A. Cuts with scissors  
B. Turns pages in book  
C. Follows two-step commands  
D. Points to one body part",C,medbullets,"On physical exam, she appears well developed and well nourished, and she is following along her growth curves."
ID0693,"Which of the following is the most appropriate test in making the diagnosis?

A. Lower endoscopy  
B. Bowel wall biopsy  
C. CT scan of the abdomen  
D. Stool ova and parasite assay",D,medbullets,
ID1895,"Which of the following is the most likely diagnosis?

A. Ankylosing spondylitis  
B. Osteomyelitis  
C. Degenerative spine disease  
D. Metastatic tumor",B,medbullets,.
ID1218,"What is the most likely cause of this presentation?

A. Iatrogenic hypoparathyroidism  
B. Somatization  
C. Multiple endocrine neoplasia  
D. Hyperkalemia",A,medbullets,Her visual acuity is decreased bilaterally
ID0893,"Which of the following is the most appropriate next step for definitively determining whether this patient’s fetus has Down syndrome?

A. Anatomy ultrasound  
B. Genetic testing of patient’s sister  
C. Nuchal translucency test  
D. Chorionic villus sampling",D,medbullets,
ID1384,"Which of the following is the most appropriate next step in management?

A. Reassurance  
B. Vaginal culture  
C. Warm water irrigation of the vagina  
D. Report to child protective services",A,medbullets,
ID1833,"Which of the following is the most likely diagnosis?

A. Idiopathic intracranial hypertension  
B. Meniere disease  
C. Giant cell arteritis  
D. Cerebrovascular accident",A,medbullets,Neurological exam reveals papilledema upon examination of both eyes.
ID0249,"This condition is most likely associated with which of the following additional findings?

A. Ventricular septal defect  
B. Bicuspid aortic valve  
C. A normal cardiac exam  
D. Tetralogy of Fallot",C,medbullets,
ID1945,"Which of the following is the most accurate test to confirm this patient’s diagnosis?

A. Serum creatine kinase  
B. Muscle biopsy  
C. Electromyography  
D. Serum aldolase",B,medbullets,She has 3/5 strength to shoulder abduction and hip flexion bilaterally. No skin rashes are noted. Her medical history is significant for hypertension treated with lifestyle modification and gastroesophageal reflux disease (GERD)
ID0238,"Which of the following is the most appropriate next step in management?

A. Abdominal ultrasound  
B. Thickening feeds  
C. MRI of the head  
D. Intravenous hydration",D,medbullets,
ID0759,"Which of the following is the most appropriate next step in management?

A. Provide reassurance  
B. Counsel on positioning and thickening feeds  
C. Obtain abdominal ultrasound  
D. Initiate proton pump inhibitor",B,medbullets,
ID0844,"This patient is at increased future risk of which of the following?

A. Endometrial carcinoma  
B. Ovarian cancer  
C. Type 1 diabetes mellitus  
D. Virilization",A,medbullets,
ID1494,"Which of the following is the most likely diagnosis?

A. Atopic dermatitis  
B. Lichen planus  
C. Scabies  
D. Psoriasis",B,medbullets,
ID0152,"Which of the following cardiac findings would be expected on physical exam?

A. Heart sound after S2  
B. Holosystolic murmur at the apex  
C. Heart sound before S1  
D. Fixed splitting of S1 and S2",C,medbullets,
ID1338,"Which of the following is the most likely diagnosis?

A. Normal aging  
B. Delayed sleep phase disorder  
C. Chronic insomnia  
D. Advanced sleep phase disorder",D,medbullets,
ID1718,"Which of the following is the most appropriate next step in management?

A. Elective surgical management  
B. Immediate surgical management  
C. Expectant management  
D. Histopathologic evaluation",C,medbullets,
ID1468,"This child is most likely to develop which of the following complications?

A. Thromboembolic stroke  
B. Wilms tumor  
C. Osteoarthritis  
D. Aortic dissection",A,medbullets,
ID1539,"Which of the following is the most likely cause of this patient’s symptoms?

A. Extra copy of sex chromosome  
B. Mutation of RET proto-oncogene  
C. Defective metabolism of methionine  
D. Mutation of chromosome 15",D,medbullets,His medical history is otherwise significant for scoliosis which is managed by an orthopedic surgeon.
ID0244,"Which of the following is the most likely diagnosis?

A. Normal pressure hydrocephalus  
B. Frontotemporal dementia  
C. Alzheimer dementia  
D. Creutzfeldt-Jakob disease",C,medbullets,
ID0185,"Which of the following is the most appropriate next step in management?

A. Intensive phototherapy  
B. Incision and drainage  
C. Red blood cell transfusion  
D. Observation only",D,medbullets,
ID0887,"Which of the following is the most appropriate next step in management?

A. Abdominal CT  
B. Colonoscopy  
C. Ultrasound of abdomen  
D. Barium enema",B,medbullets,
ID1394,"Which of the following physiological changes would most likely be seen in this patient?

A. Increased dopamine  
B. Decreased orexin  
C. Decreased melatonin  
D. Increased norepinephrine",C,medbullets,
ID1378,"Which of the following is the most appropriate next step in management?

A. Edrophonium  
B. Plasmapheresis  
C. Thymectomy  
D. Atropine",B,medbullets,"pH: 7.30 His temperature is 99.0°F (37.2°C), blood pressure is 128/78 mmHg, pulse is 92/min, and respirations are 28/min with an oxygen saturation of 86% O2 on room air."
ID0470,"Which of the following is the most likely diagnosis?

A. Pyloric stenosis  
B. Intestinal malrotation  
C. Hirschsprung disease  
D. Meconium ileus",C,medbullets,
ID0885,"Which of the following is the most likely etiology of this patient’s presentation?

A. CGG trinucleotide repeat disorder  
B. Anabolic steroid use  
C. Failure of neuronal migration  
D. Meiotic nondisjunction",D,medbullets,Laboratory testing is performed and reveals the following: Luteinizing hormone (LH): 38 mIU/mL
ID1704,"Which of the following is the most likely diagnosis?

A. Brief psychotic disorder  
B. Schizoid personality disorder  
C. Schizotypal personality disorder  
D. Schizophrenia",C,medbullets,"A 25-year-old man presents to his primary care physician with a chief complaint of ""failing health."" He states that he typically can converse with animals via telepathy but is having trouble right now due to the weather."
ID1228,"Which of the following is the most appropriate next step in management?

A. Lactated ringer bolus  
B. N-acetylcysteine  
C. Charcoal  
D. Syrup of ipecac",B,medbullets,
ID1413,"Which of the following is the most likely diagnosis?

A. Plantar fasciitis  
B. Vitamin B12 deficiency  
C. Tarsal tunnel syndrome  
D. Herniated disc",C,medbullets,"On physical exam, the patient states that he is currently not experiencing any pain in his foot but rather is experiencing numbness/tingling along the plantar surface of his foot. When running and at rest he has a burning and aching pain along the bottom of his foot that sometimes turns to numbness"
ID1142,"Which of the following treatments most directly addresses the underlying cause of this patient's symptoms?

A. Fluconazole  
B. Dexamethasone  
C. Acyclovir  
D. Amphotericin B and 5-flucytosine",D,medbullets,"India ink stain: Positive A review of systems is significant for a low-grade fever, night sweats, cough, malaise, poor appetite, and unintentional weight loss of 12 pounds in the last 2 months. On physical exam, pain is elicited upon passive flexion of the patient’s neck"
ID1822,"Which of the following is the most appropriate next step in management?

A. Testicular ultrasound  
B. Radiograph of the hand and wrist  
C. Karyotyping  
D. Reassurance with close follow-up",B,medbullets,
ID0032,"Which of the following is the most likely diagnosis?

A. Ductal carcinoma in situ  
B. Mammary duct ectasia  
C. Invasive ductal carcinoma  
D. Intraductal papilloma",D,medbullets,
ID1073,"What Would You Do Next?  
A: Ultrasound biomicroscopy  
B: Uveitis workup and steroids  
C: Thyroid profile  
D: Magnetic resonance imaging with magnetic resonance angiography or digital subtraction angiography",D,jama,Intraocular pressure was 16 mm Hg by Goldman applanation tonometry in both eyes. Pupillary reaction and color vision were normal in both eyes
ID1452,"Which of the following is the most likely underlying pathophysiology?

A. Anti-platelet antibodies  
B. Von Willebrand factor deficiency  
C. GP1b deficiency  
D. Factor 8 deficiency",D,medbullets,Partial thromboplastin time (PTT): 56 seconds A 6-year-old boy presents to the emergency department after falling from his scooter. Laboratory tests are performed and reveal the following: His parents deny that he has an abnormal number of nosebleeds or bleeding from the gums
ID0111,"Which of the following is most likely to confirm the diagnosis?

A. Hysteroscopy  
B. Abdominal ultrasound  
C. Hysterosalpingogram  
D. Laparoscopy",D,medbullets,
ID1343,"Which of the following is the most appropriate next step in management?

A. Repeat HIV serology and initiate triple antiretroviral therapy if negative  
B. Immediately initiate triple antiretroviral therapy  
C. Repeat HIV serology and initiate triple antiretroviral therapy if positive  
D. Repeat HIV serology and initiate triple antiretroviral therapy immediately",D,medbullets,
ID0923,"Which of the following is the most likely etiology of this patient's symptoms?

A. Arsenic  
B. Cyanide  
C. Acetaminophen  
D. Iron",A,medbullets,"A 27-year-old man presents to the emergency department with altered mental status. His temperature is 98.3°F (36.8°C), blood pressure is 107/75 mmHg, pulse is 110/min, respirations are 22/min, and oxygen saturation is 99% on room air"
ID1202,"Which of the following most appropriately would have prevented this infant's condition?

A. Topical erythromycin  
B. Topical bacitracin  
C. Artificial tears  
D. Oral erythromycin",A,medbullets,
ID0029,"Which of the following is most likely to be seen on further workup?

A. Dorsal striatum atrophy on head CT  
B. Neurofibrillary tangles on brain biopsy  
C. Alpha-synuclein aggregates on brain biopsy  
D. Frontotemporal atrophy on head CT",A,medbullets,"The patient met his mother once and never knew his father but was told he died in his 50s. The patient’s medical history is significant for hypertension, for which he takes lisinopril. Whereas he was previously outgoing and “the life of the party,” the patient is now irritable and withdrawn. His family history is unknown as he was adopted"
ID0403,"Which of the following is a likely complication of this patient’s condition?

A. Endometrial cancer  
B. Iron deficiency anemia  
C. Uterine prolapse  
D. Uterine sarcoma",B,medbullets,
ID1880,"This patient’s condition affects the space in between which of the following brain layers?

A. Periosteum and galea aponeurosis  
B. Arachnoid mater and pia mater  
C. Dura mater and arachnoid mater  
D. Skull and dura mater",B,medbullets,
ID1927,"Which of the following is the most appropriate initial step in management?

A. Polysomnography
B. Sleep hygiene education
C. Alprazolam
D. Melatonin",B,medbullets,"A 25-year-old man presents to his primary care physician with anxiety and fatigue. On physical exam, the patient is a tired and anxious appearing young man. Otherwise, the patient has no significant medical history and is not taking any medications"
ID0034,"Which of the following is the most likely disorder that this patient is suffering from?

A. Paranoid personality disorder  
B. Borderline personality disorder  
C. Narcissistic personality disorder  
D. Schizoid personality disorder",A,medbullets,
ID0987,"Which of the following is most likely to prevent future episodes of headache in this patient?

A. Verapamil  
B. Sumatriptan  
C. Carbamazepine  
D. High-flow oxygen",A,medbullets,
ID1262,"Which of the following is the most appropriate treatment for this patient during these episodes?

A. Topiramate  
B. Sumatriptan  
C. Acetazolamide  
D. High-flow oxygen",B,medbullets,
ID1846,"Which of the following is the most likely diagnosis?

A. Subarachnoid hemorrhage  
B. Fat-soluble vitamin overuse  
C. Migraine headache  
D. Bacterial meningitis",B,medbullets,
ID0438,"In most states, which of the following is the most appropriate next step in the management for this patient?

A. Prescribe misoprostol pill  
B. Prescribe levonorgestrel pill  
C. Obtain parental consent before providing emergency contraception  
D. Prescribe high-dose oral contraceptives",B,medbullets,
ID1269,"Which of the following is the most appropriate initial step in management?

A. Ethosuximide  
B. Zolpidem  
C. Bright light therapy and decreased light at night  
D. Modafinil",C,medbullets,
ID0305,"Which of the following is the most appropriate next step in management?

A. Laparoscopy  
B. ERCP with manometry  
C. Analgesics and await resolution of symptoms  
D. MRI of the abdomen",B,medbullets,
ID0835,"Which of the following is the most appropriate next step in management?

A. Clozapine  
B. Thioridazine  
C. Chlorpromazine  
D. Fluphenazine",A,medbullets,
ID0198,"Which of the following is the most likely diagnosis?

A. Nephrotic syndrome  
B. Factor V Leiden  
C. Liver failure  
D. Antithrombin III deficiency",A,medbullets,Creatinine: 1.7 mg/dL Urea nitrogen: 22 mg/dL Laboratory studies are shown below
ID1534,"Which of the following is the most appropriate next step in management?

A. Metronidazole  
B. Nitrofurantoin  
C. Vaginal moisturizers  
D. Topical clobetasol",C,medbullets,She has a history of chlamydial infection in her 20's and has had 3 urinary tract infections over the past year
ID1475,"Which of the following is the most likely cause of this patient’s infertility?

A. Klinefelter syndrome  
B. Cryptorchidism  
C. Anabolic steroid use  
D. Excess growth hormone use",C,medbullets,"Glucose: 110 mg/dL Aspartate aminotransferase (AST, GOT): 410 U/L Serum:"
ID0546,"Which of the following components of this patient’s history most strongly predisposed him to this condition?

A. Low BMI  
B. Scuba diving  
C. Alcohol use  
D. History of sickle cell disease",D,medbullets,
