Origin,question_options,answer_corr,data_source_corr,New_Sentences
ID1570,"Which of the following is most strongly associated with this patient's condition?

A. Cardiac rhabdomyoma  
B. Glaucoma  
C. Optic glioma  
D. Polyostotic fibrous dysplasia",A,medbullets,Her parents have noticed the patient occasionally stiffens and spreads her arms at home.
ID0852,"Which of the following is the most likely diagnosis?

A. Cerebral salt wasting  
B. Diuretic overuse  
C. Primary polydipsia  
D. Syndrome of inappropriate anti-diuretic hormone",A,medbullets,"The headache started suddenly while she was eating dinner and she says it feels like the “worst headache of my life.” An emergent CT scan of the head without contrast confirms the diagnosis, and a CT angiogram identifies the source of bleeding Her temperature is 99.6°F (37.6°C), blood pressure is 100/60 mmHg, pulse is 112/min, and respirations are 16/min ."
ID0699,"What Would You Do Next?  
A: Add immunosuppressant to corticosteroid therapy  
B: Increase the prednisone dose  
C: Obtain cerebral magnetic resonance venography or computed tomographic venography  
D: Perform catheter cerebral angiography",C,jama,"B, Sagittal T1-weighted magnetic resonance imaging showed partially empty sella (arrowhead).Obtain cerebral magnetic resonance venography or computed tomographic venography."
ID1919,"Which of the following is the most likely diagnosis?

A. Decreased metabolism of bilirubin  
B. Increased enterohepatic circulation of bilirubin  
C. Obstruction of the extrahepatic biliary tree  
D. Obstruction of the intrahepatic biliary tree",C,medbullets,"Laboratory testing reveals the following: Serum: Na+: 137 mEq/L Cl-: 102 mEq/L K+: 4.2 mEq/L HCO3-: 24 mEq/L Urea nitrogen: 12 mg/dL Glucose: 96 mg/dL Creatinine: 0.36 mg/dL Alkaline phosphatase: 146 U/L Aspartate aminotransferase (AST): 86 U/L Alanine aminotransferase (ALT): 76 U/L Total bilirubin: 4.6 mg/dL Direct bilirubin: 3.8 mg/dL On physical exam, the patient has scleral icterus and dark urine staining her diaper."
ID0801,"This patient is most likely to have experienced a deletion on which of the following chromosomes?

A. 4p  
B. 5p  
C. 7q  
D. 15q",B,medbullets,"The patient’s birth weight is 2.6 kg (5 lb 11 oz), which is at the 5th percentile The patient was born at 39 weeks of gestation to a 30-year-old primigravid via vaginal delivery."
ID0790,"Which of the following is the most appropriate next step in management?

A. Aspirin  
B. Cardiac troponins  
C. Heparin  
D. Ventilation perfusion scan",C,medbullets,"His temperature is 99.5°F (37.5°C), blood pressure is 130/87 mmHg, pulse is 120/min, respirations are 15/min, and oxygen saturation is 93% on room air The patient has a medical history of obesity, diabetes, diabetic nephropathy, hypertension, and a 40-pack-year smoking history."
ID1279,"Which of the following is the most likely diagnosis in this patient?

A. Amyotrophic lateral sclerosis  
B. Carpal tunnel syndrome  
C. Cervical spondylosis  
D. Syringomyelia",C,medbullets,"The patient’s temperature is 99.6°F (37.6°C), blood pressure is 134/80 mmHg, pulse is 90/min, and respirations are 16/min There is no spasticity."
ID1488,"Which of the following is the most appropriate treatment for this patient's tremor?

A. Alcoholics anonymous  
B. Aripiprazole  
C. Phenobarbital  
D. Propranolol",D,medbullets,"On physical exam, the tremor is replicated during finger to nose testing."
ID0314,"Which of the following is the most appropriate next diagnostic step?

A. CYP17 gene work-up  
B. Gonadotrophin-releasing hormone stimulation test  
C. Karotype  
D. Luteinizing hormone levels",C,medbullets,The patient’s older sister had her first period at age 14.
ID1536,"Which of the following is the most likely diagnosis?

A. Chalazion  
B. Foreign body  
C. Hordeolum  
D. Meibomian cell carcinoma",A,medbullets,"His temperature is 99.5°F (37.5°C), blood pressure is 157/102 mmHg, pulse is 90/min, respirations are 17/min, and oxygen saturation is 98% on room air."
ID1051,"Which of the following arteries is most likely involved in this patient’s presentation?

A. Anterior spinal artery  
B. Lenticulostriate branches of the middle cerebral artery  
C. Pontine perforators of the basilar artery  
D. Posterior inferior cerebellar artery",A,medbullets,"His temperature is 98.6°F (37°C), blood pressure is 130/80 mmHg, pulse is 70/min, and respirations are 15/min His medical history is significant for type 2 diabetes mellitus, hypertension, and hyperlipidemia."
ID0529,"Which of the following is the most appropriate next step in management?

A. CT scan abdomen and pelvis with contrast  
B. Renal biopsy  
C. Repeat urinalysis  
D. Urine dipstick in the morning and in the afternoon",D,medbullets,"His temperature is 98.6°F (37°C), blood pressure is 110/70 mmHg, pulse is 76/min, and respirations are 15/min A 15-year-old boy presents to his pediatrician after an appendectomy 1 week ago."
ID1489,"Which of the following is the most appropriate next step in management for the most likely underlying diagnosis?

A. Blood cultures  
B. CT scan  
C. Ultrasound  
D. Vancomycin and gentamicin",A,medbullets,"His temperature is 103°F (39.4°C), blood pressure is 92/59 mmHg, pulse is 110/min, respirations are 20/min, and oxygen saturation is 96% on room air The patient admits to using heroin and cocaine and drinking 5-8 alcoholic drinks per day."
ID1081,"Which of the following is the most appropriate next step in management?

A. Add lithium to treatment regimen  
B. Change treatment to duloxetine  
C. Change treatment to lithium  
D. Continue current therapy",D,medbullets,"Her temperature is 99.5°F (37.5°C), blood pressure is 115/72 mmHg, pulse is 60/min, respirations are 13/min, and oxygen saturation is 98% on room air."
ID1974,"Which of the following medications should this patient be started on?

A. Alprazolam  
B. Primidone  
C. Propranolol  
D. Topiramate",C,medbullets,"On physical exam, his temperature is 98.6°F (37.0°C), blood pressure is 159/84, pulse is 74/min, and respirations are 12/min His only home medication is pravastatin."
ID1130,"Which of the following medications is most appropriate for treating her condition?

A. Acyclovir  
B. Amoxicillin  
C. Fluconazole  
D. Trimethoprim-sulfamethoxazole",A,medbullets,A 29-year-old woman comes to the emergency department complaining of painful genital ulcers that have been present for 4 days as well as low-grade fever and malaise.
ID1153,"Which of the following is the most appropriate next step in management?

A. Lumbar puncture, ceftriaxone, vancomycin, and methylprednisolone  
B. MRI brain  
C. Vancomycin and ceftriaxone  
D. Vancomycin, ceftriaxone, and dexamethasone",A,medbullets,Examination of the patient's rash is shown in Figure A.
ID1983,"Which of the following is the most appropriate initial therapy?

A. Benztropine  
B. Electroconvulsive therapy  
C. Haloperidol  
D. Lorazepam",D,medbullets,"Her temperature is 99°F (37.2°C), blood pressure is 122/79 mmHg, pulse is 68/min, and respirations are 12/min with an oxygen saturation of 98% on room air A 23-year-old woman is admitted to the inpatient psychiatry unit after her boyfriend reported she was “acting funny and refusing to talk.” The patient’s boyfriend states that he came home from work and found the patient sitting up in bed staring at the wall The patient’s medical history is significant for depression."
ID0600,"Which of the following is the most appropriate initial step in management?

A. Alprazolam  
B. Iron studies  
C. Pramipexole  
D. Supportive therapy and an exercise routine",B,medbullets,The patient denies symptoms during the day.
ID0715,"What is the most appropriate next step in management?

A. Amputation  
B. Escharotomy  
C. Fasciotomy  
D. Intravenous fluid infusion based on Parkland formula",B,medbullets,He wakes up screaming in pain due to an electrocardiogram lead having caused a significant thermal burn circumferentially around his left leg.
ID1900,"What Would You Do Next?

A: Administer intravenous broad-spectrum antibiotics  
B: Start a topical steroid  
C: Perform skin scraping of burrows from multiple sites  
D: Do nothing and reassure the parents",C,jama,"Results of other routine laboratory investigations were unremarkable.Perform skin scraping of burrows from multiple sites The sitter had provided domestic care for the infant since birth until leaving that position 3 weeks earlier.On examination, the infant was afebrile with normal vital signs."
ID0713,"Which of the following is the most appropriate next step in management?

A. Aspirin  
B. CT angiography of the chest, abdomen, and pelvis  
C. Echocardiography  
D. Lorazepam",B,medbullets,"His temperature is 37.0°C (98.6°F), pulse is 130/min, blood pressure is 210/145 mmHg, respirations are 22/min, and pulse oximetry is 98% on room air A 35-year-old man presents to the emergency department for evaluation of chest pain."
ID1845,"Which of the following is the most appropriate next step in management?

A. CT scan of the abdomen and pelvis  
B. CT scan of the chest  
C. HIDA scan  
D. Smoking cessation advice and primary care follow up",A,medbullets,"His temperature is 99.5°F (37.5°C), blood pressure is 161/108 mmHg, pulse is 90/min, respirations are 17/min, and oxygen saturation is 95% on room air The patient has a negative Murphy sign and his abdomen is non-tender."
ID1599,"Which of the following is the most likely diagnosis?

A. Alzheimer disease  
B. Creutzfeldt-Jacob disease  
C. Frontotemporal dementia  
D. Subcortical leukoencephalopathy",B,medbullets,His medical history is significant for gastroesophageal reflux disease for which he takes omeprazole.
ID0673,"Which of the following is the most likely underlying etiology of this patient's symptoms?

A. Adhesions  
B. Enteric nervous system damage  
C. Impacted stool  
D. Twisting of the bowel",A,medbullets,Physical exam reveals a systolic murmur heard loudest along the left upper sternal border.
ID0564,"Which of the following regions of his brain is most likely affected?

A. Lateral medulla  
B. Lateral pons  
C. Posterior limb of internal capsule  
D. Midbrain",D,medbullets,"His temperature is 98.6°F (37.0°C), blood pressure is 175/95 mmHg, pulse is 90/min, respirations are 16/min."
ID1047,"What Would You Do Next?  
A: Order magnetic resonance imaging of the brain  
B: Order a hormone profile (thyrotropin, adrenocorticotrophic hormone, growth hormone, and testosterone) and consult endocrinology  
C: Perform a peripheral blood smear examination  
D: Order targeted genetic testing",B,jama,"A urine specific gravity test was performed, and the urine specific gravity was found to be low (sp g 1.001-1.003), consistent with diabetes insipidus.Physical presentation of the patient, an adolescent boy presenting with hypochondroplasia, alopecia, and short stature.Order a hormone profile (thyrotropin, adrenocorticotrophic hormone, growth hormone, and testosterone) and consult endocrinology His color vision was defective, and his pupils were slow reactive to light."
ID1632,"Which of the following parameters including forced expiratory volume in 1 second (FEV1), forced vital capacity (FVC), and diffusing capacity of carbon monoxide (DLCO) most appropriately describes this patient's underlying pathology?

A. Increased FVC  
B. Decreased airway tone  
C. Normal DLCO  
D. Increased FEV1/FVC",C,medbullets,"Her temperature is 99.5°F (37.5°C), blood pressure is 127/68 mmHg, pulse is 120/min, respirations are 22/min, and oxygen saturation is 90% on room air."
ID1824,"Which of the following is the most likely indication to discontinue this patient's treatment?

A. Peripheral neuropathy  
B. Red body excretions  
C. Hyperuricemia  
D. Elevated liver enzymes",D,medbullets,A 27-year-old man presents for an appointment to establish care.
ID0496,"Which of the following findings is the most likely to be positive in this patient?

A. Anti-cyclic citrullinated peptide antibodies  
B. Degenerated cartilage in weight bearing joints  
C. Anti-dsDNA antibodies  
D. Anti-histone antibodies",C,medbullets,"Her temperature is 99.5°F (37.5°C), blood pressure is 137/78 mmHg, pulse is 92/min, respirations are 14/min, and oxygen saturation is 98% on room air."
ID1955,"Which of the following is the pathophysiology of this patient's condition?

A. Decreased gamma aminobutyric acid (GABA) levels  
B. Vitamin B6 deficiency  
C. Excess of corticotropin releasing hormone  
D. Anti-N-methyl-D-aspartate (NMDA) receptor antibodies",C,medbullets,"He is rolling over less frequently than before, has worse head control, and no longer smiles socially."
ID1898,"Which of the following therapies is most likely to improve survival for this patient's disease process?

A. Dextromethorphan and quinidine  
B. Tizanidine  
C. Riluzole  
D. Edaravone",C,medbullets,"When tapping the mandible at the chin while the mouth is held open, there is pronounced upward movement of the lower jaw."
ID0949,"Which of the following is the most likely cause of this patient's symptoms?

A. Alcohol intoxication  
B. Cannabinoid use  
C. Juvenile myoclonic epilepsy  
D. Absence seizures",C,medbullets,He has not noticed any other symptoms.
ID0325,"What diagnostic test should this patient receive?

A. Chest radiograph  
B. Mammography  
C. Colonoscopy  
D. Vitamin D level",B,medbullets,"Her temperature is 99°F (37.2°C), blood pressure is 125/83 mmHg, pulse is 82/min, respirations are 12/min, and oxygen saturation is 99% on room air."
ID1963,"Which of the following is the most likely diagnosis?

A. Spondylolisthesis  
B. Lumbosacral strain  
C. Herniated disc  
D. Multiple myeloma",B,medbullets,"She has 5/5 strength to hip flexion, extension, abduction, and adduction; knee flexion and extension; and ankle dorsiflexion and plantarflexion bilaterally."
ID0619,"Which of the following is the most appropriate next step in management?

A. Botulinum toxin injection  
B. Ondansetron  
C. Diphenhydramine  
D. Observation",C,medbullets,Examination reveals an uncomfortable appearing man.
ID1821,"Which of the following is the most likely underlying etiology for this patient’s chief concern?

A. Hypocalcemia  
B. Hypothyroidism  
C. Hyponatremia  
D. Hypomagnesemia  

##",D,medbullets,"Hemoglobin: 10 g/dL Hematocrit: 30% Leukocyte count: 6,100/mm^3 with normal differential Platelet count: 187,500/mm^3 Serum: Na+: 130 mEq/L Cl-: 100 mEq/L K+: 2.3 mEq/L HCO3-: 28 mEq/L BUN: 40 mg/dL Glucose: 79 mg/dL Creatinine: 0.9 mg/dL Ca2+: 8.2 mg/dL Mg2+: 1.8 mg/dL Thyroid stimulating hormone (TSH): 4.0 mIU/L Free T4: 0.4 ng/dL (normal: 0.7-1.53 ng/dL) The patient is given 4 liters of lactated ringer solution and 40 mEq of potassium Her temperature is 98.5°F (36.9°C), blood pressure is 103/71 mmHg, pulse is 105/min, respirations are 11/min, and oxygen saturation is 100% on room air Her neurological and cardiac exams are unremarkable."
ID1157,"Which of the following is the most likely diagnosis?

A. Distal radius fracture  
B. Both bone forearm fracture  
C. Supracondylar humerus fracture  
D. Olecranon fracture",C,medbullets,"His temperature is 98.4°F (36.9°C), blood pressure is 108/64 mmHg, pulse is 100/min, and respirations are 20/min He has no medical problems and takes no medications."
ID0221,"Which of the following is most likely to be present in this patient?

A. Continuous lesion beginning in the rectum  
B. Fistulae and stricture formation  
C. Worse disease severity near the ileocecal valve  
D. Perianal disease",A,medbullets,"Her temperature is 37.2°C (98.9°F), blood pressure is 100/72 mmHg, pulse is 72/min, respirations are 12/min, and oxygen saturation is 100% on room air Review of systems is notable for a 12-pound unintentional weight loss and intermittent loose stools."
ID0321,"What Would You Do Next?

A: Check stool for Echinococcus granulosus eggs  
B: Obtain serologic testing for E granulosus antibodies  
C: Order a lung biopsy  
D: Perform a liver biopsy",B,jama,"His white blood cell count was 8000/μL, with 25.8% eosinophils (reference range, 0%-9%) A previously healthy 7-year-old boy was admitted to the hospital with 1 week of temperatures up to 40.2 °C (104.4 °F), productive cough, and lethargy, which did not improve after 3 days of oral cefuroxime."
ID0788,"Which of the following is the most appropriate next step in management?

A. Clindamycin  
B. Amoxicillin-clavulanate  
C. Clindamycin plus doxycycline  
D. Wound closure and amoxicillin-clavulanate",B,medbullets,"He reports pain but denies fevers, chills, drainage, or any other symptoms."
ID1508,"She can follow the command to “give me the ball and then close the door.” Which of the following is abnormal in this patient?

A. Fine motor skills  
B. Social and receptive language skills  
C. This child is developmentally normal  
D. Expressive language skills",D,medbullets,She has a vocabulary of 10-25 words that she uses in the form of 1 word commands.
ID1480,"Which of the following is the most appropriate next step in management?

A. Switch to paroxetine  
B. Switch to phenelzine  
C. Electroconvulsive therapy  
D. Add mirtazapine",D,medbullets,A 36-year-old man presents to the office for follow up after initiating antidepressant therapy.
ID0924,"Which of the following is the most appropriate next step in management?

A. CT scan of the abdomen and pelvis with contrast  
B. FAST exam  
C. Norepinephrine infusion  
D. Diagnostic peritoneal lavage",B,medbullets,No external bleeding or wounds are noted on exam.
ID1200,"Which of the following is the most likely diagnosis in this patient?

A. Polycystic ovary syndrome  
B. Adrenal tumor  
C. Ovarian tumor  
D. Ovarian hyperthecosis",C,medbullets,"17-hydroxyprogesterone: 214 ng/dL (Normal: < 200 ng/dL) Her last menstrual period was over 3 months ago and her periods have been irregular over the last year Testosterone: 256 ng/dL Ultrasound findings are shown in Figure A Her temperature is 98.5°F (36.9°C), pulse is 80/min, blood pressure is 139/88 mmHg, and respirations are 13/min."
ID0182,"Which of the following is the most appropriate treatment for this patient's condition?

A. Low-salt diet  
B. Thiamine  
C. Epley maneuver  
D. Meclizine",A,medbullets,"He is unsure when his symptoms started, but they have been affecting him for “a while.” It began as episodes of “unsteadiness” that progressed to a feeling of “spinning.” He cannot tell if his symptoms change with position but reports that if he does not lie down he will become nauseous His temperature is 98.6°F (37°C), blood pressure is 135/91 mmHg, pulse is 72/min, and respirations are 12/min Examination shows delayed horizontal nystagmus."
ID1819,"What Would You Do Next?

A: Discharge to general practitioner with no clinical recommendations  
B: Pharmacotherapy with low-dose atypical antipsychotics  
C: Clinical follow-up for at least 3 years and indicated primary prevention  
D: Treatment with ω-3 fish oil dietary supplementation",C,jama,The Structured Clinical Interview for DSM did not reveal any mental disorder.Discharge to general practitioner with no clinical recommendationsClinical follow-up for at least 3 years and indicated primary prevention No formal thought disorders were elicited.
ID0048,"Which of the following is the most appropriate next step in management?

A. Combined oral contraceptive  
B. Increase levothyroxine dose  
C. Brain MRI  
D. Estradiol patch with oral medroxyprogesterone",D,medbullets,She has had only 2 periods in the last year.
ID1602,"Which of the following is the most appropriate next step in treatment for this patient?

A. Supportive therapy only  
B. Vancomycin and clindamycin  
C. Cefoxitin and doxycycline  
D. Vancomycin and gentamicin",A,medbullets,"Her temperature is 99.5°F (37.5°C), blood pressure is 107/68 mmHg, pulse is 97/min, respirations are 16/min, and oxygen saturation is 98% on room air A 29-year-old woman is recovering on the obstetrics floor after the vaginal delivery of 8-pound twin boys born at 42 weeks gestation."
ID0046,"Which of the following is most likely to be abnormal in this patient?

A. IgA and IgG  
B. Calcium  
C. T-cells  
D. IgM",D,medbullets,He currently feels dizzy.
ID0215,"What Would You Do Next?

A: Increase her topical corticosteroid dosage  
B: Further taper her corticosteroid dosage and start a cycloplegic agent to break posterior synechiae  
C: Perform AC paracentesis and send fluid for viral polymerase chain reaction analysis  
D: Perform urgent peripheral iridotomy given IOP asymmetry",B,jama,"Optical biometry (Lenstar LS 900; Haag-Streit) was unremarkable bilaterally, with normal axial length, AC depth, and lens thickness.Further taper her corticosteroid dosage and start a cycloplegic agent to break posterior synechiaePerform AC paracentesis and send fluid for viral polymerase chain reaction analysis She had mild intraocular pressure (IOP) asymmetry of 12 mm Hg OD and 17 mm Hg OS.A, An irregular pupil, iris atrophy, and peripupillary transillumination defects are observed During the session, the physician assistant removed the metal eye shield for better exposure, immediately after which the patient developed eye pain and blurred vision."
ID0495,"Which of the following is the most appropriate next step in management?

A. Interferon-gamma release assay  
B. CT of the chest without contrast  
C. Barium swallow  
D. Serum immunoglobulin levels",B,medbullets,A chest radiograph is ordered and reveals a consolidation in the right middle lobe.
ID0662,"Which of the following is this patient most likely demonstrating?

A. Intellectualization  
B. Pessimism  
C. Rationalization  
D. Optimism",A,medbullets,A 57-year-old man presents to the emergency department for weight loss and abdominal pain.
ID0115,"Which of the following is most likely to be found on histology?

A. Crypt abscesses in the large intestine  
B. Mucosal defect in the stomach  
C. Noncaseating granulomas in the small intestine  
D. Urease-producing organism in the small intestine",D,medbullets,He denies any feeling of regurgitation or nighttime cough but endorses nausea.
ID1496,"Which of the following is the most appropriate next step in management?

A. Emergent surgical intervention  
B. Wound closure  
C. Observation  
D. CT scan of the left lower extremity",A,medbullets,"His temperature is 98.6°F (37.0°C), pulse is 130, blood pressure is 85/50, and respirations are 22."
ID1439,"Which of the following is the most likely cause of this patient's amenorrhea?

A. Hypothyroidism  
B. Functional hypothalamic amenorrhea  
C. Anorexia nervosa  
D. Polycystic ovarian syndrome",B,medbullets,"Her temperature is 36.7°C (98°F), blood pressure is 121/80 mmHg, pulse is 62/min, respirations are 11/min, oxygen saturation is 100% on room air, and BMI is 20 kg/m^2 Her pelvic exam reveals an anteverted uterus, no adnexal masses, a normal-appearing cervix with no cervical motion tenderness, and normal vaginal anatomy She denies alcohol use, smoking, and recreational drugs."
ID1116,"Which of the following is the most appropriate next step in management?

A. Barium swallow  
B. Upper endoscopy  
C. Helicobacter pylori stool antigen test  
D. Trial of lansoprazole",B,medbullets,He has no tenderness to palpation and bowel sounds are present.
ID1685,"Which of the following is the most appropriate next step in management?

A. Doxycycline  
B. Ampicillin and sulbactam  
C. Amoxicillin and clavulanate  
D. Flucanozole",B,medbullets,A 5-year-old girl presents to the emergency room due to difficulty walking.
ID0247,"Which of the following is most likely deficient in this patient?

A. Thiamine  
B. Vitamin C  
C. Zinc  
D. Riboflavin",C,medbullets,His vitals are within normal limits.
ID1158,"Which of the following is the most appropriate next step in management?

A. Upper gastrointestinal series  
B. Sweat testing  
C. Abdominal radiograph  
D. Abdominal CT",C,medbullets,"The patient’s temperature is 98.2°F (36.8°C), blood pressure is 48/32 mmHg, pulse is 164/min, and respirations are 48/min."
ID0974,"Which of the following would most likely be seen on a peripheral blood smear in this patient?

A. Schistocytes  
B. Codocytes  
C. Acanthocytes  
D. Degmacytes",D,medbullets,"Physical exam reveals conjunctival icterus, bilateral flank tenderness, and erythema of the left leg."
ID1271,"Which of the following is the most appropriate therapy for this patient?

A. Ceftriaxone  
B. Ofloxacin ear drops  
C. Amoxicillin  
D. Vancomycin and piperacillin-tazobactam",D,medbullets,"A 68-year-old man presents to the emergency department with right ear pain that he developed 4 days prior, and it has progressively worsened."
ID1553,"Which of the following is the most appropriate next step in management?

A. Reassurance and counseling on positioning  
B. Switch to hydrolyzed formula  
C. Recommend modification of mother’s diet  
D. Initiate proton pump inhibitor",A,medbullets,He lifts his head and shoulders off the examination table when placed in the supine position.
ID1093,"Which of the following is an additional milestone associated with this child’s age?  
A. Cuts with scissors  
B. Turns pages in book  
C. Follows two-step commands  
D. Points to one body part",C,medbullets,She can jump and walk up and down stairs with both feet on each step.
ID0693,"Which of the following is the most appropriate test in making the diagnosis?

A. Lower endoscopy  
B. Bowel wall biopsy  
C. CT scan of the abdomen  
D. Stool ova and parasite assay",D,medbullets,"Laboratory results are as follows: Leukocyte count: 13,000/mm^3 Segmented neutrophils: 54% Bands: 2% Eosinophils: 6% Basophils: 0.4% Lymphocytes: 30% Monocytes: 5% A vitamin D level is 26 ng/mL (reference: >= 30 ng/mL) Her temperature is 98.6°F (37.0°C), blood pressure is 110/60 mmHg, pulse is 70/min, and respirations are 18/min."
ID1895,"Which of the following is the most likely diagnosis?

A. Ankylosing spondylitis  
B. Osteomyelitis  
C. Degenerative spine disease  
D. Metastatic tumor",B,medbullets,The pain is localized to 1 spot in his lower back and is worse with physical activity.
ID1218,"What is the most likely cause of this presentation?

A. Iatrogenic hypoparathyroidism  
B. Somatization  
C. Multiple endocrine neoplasia  
D. Hyperkalemia",A,medbullets,Her basic metabolic panel is shown below: Na+: 139 mEq/L Cl-: 100 mEq/L K+: 4.9 mEq/L HCO3-: 25 mEq/L BUN: 10 mg/dL Glucose: 110 mg/dL Creatinine: 0.8 mg/dL Thyroid-stimulating hormone: 1.5 µU/mL Ca2+: 7.0 mEq/L Phosphorus: 6.5 mEq/L Albumin: 3.6 mg/dL The patient's ECG is shown in Figure A Her visual acuity is decreased bilaterally.
