Origin,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,index,Problem ID,Duration,Labeling state,User ID ,ID,centaur_question,sentence_number,answer,data_source,Match
ID0393,high relevance,high relevance,high relevance,high relevance,high relevance,high relevance,low relevance,low relevance,high relevance,low relevance,low relevance,low relevance,low relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,,,,,,,,,,,
ID0396,low relevance,low relevance,low relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,,,,,,,,,,,
ID0399,high relevance,low relevance,low relevance,low relevance,low relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,,,,,,,,,,,
ID0400,high relevance,low relevance,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,,,,,,,,,,,
ID0402,low relevance,not relevant,low relevance,low relevance,high relevance,high relevance,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,,,,,,,,,,,
ID0403,low relevance,not relevant,low relevance,low relevance,low relevance,low relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,,,,,,,,,,,
ID0404,low relevance,low relevance,high relevance,low relevance,low relevance,high relevance,low relevance,low relevance,high relevance,not relevant,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,,,,,,,,,,,
ID0405,low relevance,low relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,,,,,,,,,,,
ID0406,high relevance,low relevance,low relevance,low relevance,high relevance,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,,,,,,,,,,,
ID0409,high relevance,high relevance,low relevance,low relevance,high relevance,high relevance,low relevance,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,,,,,,,,,,,
ID0415,high relevance,low relevance,low relevance,low relevance,low relevance,high relevance,low relevance,high relevance,low relevance,high relevance,high relevance,not relevant,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,,,,,,,,,,,
ID0417,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,high relevance,high relevance,low relevance,high relevance,high relevance,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,,,,,,,,,,,
ID0428,low relevance,high relevance,low relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,,,,,,,,,,,
ID0437,high relevance,low relevance,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,,,,,,,,,,,
ID0442,low relevance,low relevance,low relevance,high relevance,low relevance,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,not relevant,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,,,,,,,,,,,
ID0447,low relevance,high relevance,low relevance,low relevance,high relevance,low relevance,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,,,,,,,,,,,
ID0449,high relevance,low relevance,high relevance,low relevance,low relevance,high relevance,high relevance,low relevance,high relevance,high relevance,high relevance,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,,,,,,,,,,,
ID0453,high relevance,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,,,,,,,,,,,
ID0456,high relevance,low relevance,low relevance,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,,,,,,,,,,,
ID0457,high relevance,low relevance,high relevance,high relevance,high relevance,low relevance,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,,,,,,,,,,,
ID0464,low relevance,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,,,,,,,,,,,
ID0466,high relevance,high relevance,low relevance,low relevance,low relevance,high relevance,low relevance,high relevance,high relevance,low relevance,low relevance,low relevance,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,,,,,,,,,,,
ID0468,high relevance,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,high relevance,high relevance,low relevance,not relevant,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,,,,,,,,,,,
ID0469,low relevance,low relevance,low relevance,low relevance,high relevance,low relevance,low relevance,low relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,,,,,,,,,,,
ID0471,high relevance,low relevance,high relevance,high relevance,high relevance,not relevant,high relevance,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,,,,,,,,,,,
ID0478,low relevance,high relevance,low relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,,,,,,,,,,,
ID0479,low relevance,low relevance,not relevant,low relevance,high relevance,high relevance,low relevance,high relevance,high relevance,high relevance,high relevance,high relevance,low relevance,low relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,,,,,,,,,,,
ID0484,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,not relevant,low relevance,high relevance,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,,,,,,,,,,,
ID0486,high relevance,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,,,,,,,,,,,
ID0502,high relevance,high relevance,high relevance,low relevance,high relevance,low relevance,high relevance,high relevance,not relevant,low relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,,,,,,,,,,,
ID0508,low relevance,low relevance,high relevance,low relevance,high relevance,high relevance,low relevance,low relevance,low relevance,high relevance,high relevance,not relevant,not relevant,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,,,,,,,,,,,
ID0515,high relevance,high relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,low relevance,,,,,,,,,,,
