Origin,data_source_corr,answerable,correct_answer,GPT-5_Round1,GPT-5_Round2,GPT-4o_Round1,GPT-4o_Round2,Qwen-14B_Round1,Qwen-14B_Round2,Qwen-72B_Round1,Qwen-72B_Round2,Llama-70B_Round1,Llama-70B_Round2,MedGemma-27B_Round1,MedGemma-27B_Round2,Human_Majority_Round1,Human_Majority_Round2
ID0137,medxpert,yes,D,D,D,,G,C,A,I,A,D,A,F,A,C,D
ID0140,medxpert,yes,G,B,B,J,D,J,J,D,D,B,D,J,D,D,G
ID0141,medxpert,yes,I,G,G,I,G,C,A,C,A,A,A,,,G,A
ID0148,medxpert,yes,C,C,C,C,F,H,F,C,H,D,I,,F,C,C
ID0149,jama,yes,B,B,B,B,B,B,B,C,B,A,B,,B,B,B
ID0150,jama,yes,A,A,A,C,A,A,A,C,A,A,C,,C,A,A
ID0151,medxpert,yes,J,J,J,J,J,J,J,J,,B,J,J,,J,J
ID0152,medbullets,yes,C,C,C,A,A,A,B,,,D,B,A,A,C,C
ID0153,jama,yes,D,D,D,D,D,D,D,D,D,C,D,,D,D,D
ID0154,mmlu,yes,A,A,A,A,A,C,A,D,A,D,A,,,A,A
ID0155,jama,yes,C,C,C,C,C,C,C,,C,B,C,,C,C,C
ID0161,jama,yes,C,C,C,C,C,C,C,,C,B,C,,,C,C
ID0162,medbullets,yes,A,A,A,A,A,A,A,A,D,A,D,A,A,D,D
ID0164,mmlu,yes,B,B,B,B,B,B,B,B,B,C,B,B,B,B,B
ID0165,medxpert,yes,I,B,I,J,J,I,I,J,B,D,I,J,J,J,B
ID0166,medxpert,yes,F,F,F,C,F,C,C,F,F,C,F,,C,F,A
ID0168,mmlu,yes,B,B,B,B,B,B,B,B,B,C,B,,,B,B
ID0169,jama,yes,B,B,B,B,B,D,A,B,A,B,A,B,A,B,B
ID0170,medxpert,yes,G,G,G,,J,D,D,D,,B,D,,,A,A
ID0177,medbullets,yes,B,B,B,B,B,B,B,B,B,C,B,,,B,B
ID0182,medbullets,yes,A,A,A,A,A,C,C,D,,B,D,,B,D,A
ID0184,mmlu,yes,C,C,C,C,C,B,C,C,C,B,C,C,C,C,C
ID0185,medbullets,yes,D,D,D,D,D,D,D,D,D,D,D,,,D,D
ID0186,jama,yes,C,C,C,C,C,C,C,C,C,A,C,,,C,A
ID0189,mmlu,yes,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A
ID0190,mmlu,yes,A,A,A,A,A,C,D,C,,C,C,B,,A,A
ID0193,medxpert,yes,E,E,E,E,E,E,E,E,E,A,E,,E,E,A
ID0198,medbullets,yes,A,A,A,A,A,B,B,A,A,C,A,,A,C,A
ID0199,jama,yes,C,C,C,A,C,A,B,A,B,A,B,,,C,B
ID0207,medxpert,yes,J,J,J,G,G,G,G,D,,C,D,,,D,D
ID0209,mmlu,yes,D,D,D,D,D,D,D,D,D,B,D,D,D,D,D
ID0211,medxpert,yes,A,A,A,A,A,I,I,,,C,A,,,A,A
ID0215,jama,yes,B,B,D,B,D,B,D,,,D,B,,,B,D
ID0216,medxpert,yes,A,B,B,I,I,I,B,B,B,C,B,,I,A,B
ID0217,mmlu,yes,C,C,C,C,C,C,C,C,C,B,C,C,C,C,C
ID0220,mmlu,yes,B,B,B,B,B,B,B,B,,B,B,,,B,C
ID0221,medbullets,yes,A,A,A,A,A,A,A,A,A,B,A,,,A,A
ID0229,medxpert,yes,A,A,A,A,A,A,F,A,A,C,A,,,A,A
ID0232,jama,yes,B,B,B,B,B,B,B,B,B,D,B,G,B,B,B
ID0233,medxpert,yes,B,F,I,,A,I,I,B,B,C,B,,A,B,B
ID0235,medxpert,yes,B,B,B,,B,B,E,,,D,H,,,B,E
ID0236,jama,yes,C,C,C,C,C,C,C,B,C,D,C,,C,C,C
ID0237,mmlu,yes,A,D,D,A,A,A,A,A,A,B,A,,,A,A
ID0238,medbullets,yes,D,D,D,A,D,D,D,A,A,C,A,,,D,D
ID0242,medxpert,yes,A,A,A,G,G,G,G,,G,D,G,,,G,A
ID0243,jama,yes,C,C,C,C,C,A,C,C,C,B,C,,C,C,C
ID0244,medbullets,yes,C,C,C,C,C,C,C,C,C,D,C,C,C,C,C
ID0247,medbullets,yes,C,C,C,C,C,B,C,C,C,C,C,,C,C,C
ID0249,medbullets,yes,C,C,C,C,C,A,A,C,C,C,A,A,C,C,A
ID0251,mmlu,yes,D,D,D,D,D,C,C,,C,B,D,D,,D,D
ID0253,mmlu,yes,D,D,D,D,D,D,A,D,D,B,B,D,D,D,D
ID0254,jama,yes,D,D,D,D,D,D,D,D,D,B,D,,,D,C
ID0256,mmlu,yes,D,D,D,C,D,D,D,D,D,B,D,D,D,D,D
ID0262,medxpert,yes,H,H,H,C,C,C,C,,C,C,C,,,I,C
ID0265,mmlu,yes,C,C,C,C,C,C,A,C,C,B,C,C,A,C,C
ID0268,jama,yes,C,C,C,D,C,D,D,D,,C,D,,,D,C
ID0270,mmlu,yes,D,D,D,D,D,D,D,D,D,D,D,,,D,D
ID0275,medxpert,yes,C,C,C,I,I,C,I,A,A,A,A,,,C,C
ID0278,jama,yes,C,C,C,C,C,D,C,C,C,C,C,,C,C,C
ID0281,medxpert,yes,A,I,I,I,J,E,E,E,E,A,J,,I,A,A
ID0284,medxpert,yes,I,I,F,I,J,F,F,D,F,C,F,,I,I,I
ID0291,medxpert,yes,D,H,H,H,H,E,D,,E,B,E,,,E,E
ID0292,medxpert,yes,G,J,J,J,J,H,B,B,,D,B,,D,G,G
ID0293,medxpert,yes,B,H,H,D,B,H,H,,,C,F,,,B,B
ID0296,jama,yes,C,B,B,B,B,D,C,C,B,B,B,B,B,B,B
ID0297,jama,yes,B,B,B,B,B,B,A,B,B,C,B,,A,B,C
ID0298,medxpert,yes,H,B,H,H,B,H,H,H,H,B,H,H,H,H,E
ID0300,jama,yes,C,C,C,C,C,C,C,,C,A,C,,,C,C
ID0302,jama,yes,C,B,B,B,C,A,C,A,A,A,C,,C,C,A
ID0303,medxpert,yes,F,F,F,F,F,G,H,E,E,C,F,F,F,F,F
ID0304,medxpert,yes,I,I,I,I,I,B,B,I,C,A,C,C,C,I,B
ID0305,medbullets,yes,B,B,B,B,B,C,C,C,C,B,C,,B,B,C
ID0307,mmlu,yes,D,D,D,D,D,B,D,D,D,C,D,,,D,D
ID0309,medbullets,yes,A,A,A,B,A,B,D,B,A,B,B,B,A,A,A
ID0310,jama,yes,C,A,C,D,D,C,D,,,C,A,B,,C,D
ID0313,mmlu,yes,A,A,A,A,A,A,A,A,A,C,A,A,A,A,A
ID0314,medbullets,yes,C,C,C,C,C,B,B,C,C,C,C,,,C,C
ID0315,mmlu,yes,C,C,C,C,C,C,C,C,C,D,C,C,C,C,C
ID0317,medxpert,yes,F,F,F,E,E,J,E,A,C,D,A,,,F,A
ID0320,medxpert,yes,A,A,A,,F,F,F,,F,C,F,,,F,A
ID0321,jama,yes,B,B,B,B,B,B,B,B,B,A,B,,,B,B
ID0324,jama,yes,C,C,C,C,C,C,C,C,,A,C,,,C,C
ID0325,medbullets,yes,B,B,B,B,B,C,C,B,C,B,C,B,C,B,B
ID0327,medxpert,yes,C,C,C,,E,C,C,,,D,D,,,C,C
ID0328,jama,yes,A,A,A,A,B,C,B,,B,C,B,,,A,C
ID0330,medbullets,yes,C,C,C,C,C,A,C,C,C,C,C,A,A,A,C
ID0332,jama,yes,C,C,C,C,C,C,B,C,C,B,C,,C,C,C
ID0334,jama,yes,C,C,C,C,C,C,C,B,B,A,B,,,C,C
ID0336,medxpert,yes,E,E,E,A,A,I,E,G,,C,A,,,E,A
ID0337,jama,yes,C,C,C,B,D,B,A,B,D,A,D,,,B,D
ID0339,mmlu,yes,B,B,B,B,B,B,B,B,B,C,B,B,B,B,B
ID0345,jama,yes,A,A,A,A,A,A,A,,A,B,A,A,,A,A
ID0349,medxpert,yes,C,C,C,F,C,F,F,F,F,B,F,C,C,F,C
ID0352,jama,yes,A,A,A,A,A,A,A,A,A,C,A,A,A,A,A
ID0353,medxpert,yes,H,H,H,A,A,J,I,J,J,A,J,,,H,A
ID0356,jama,yes,A,A,C,C,C,C,C,C,C,A,C,,C,C,B
ID0357,medxpert,yes,B,B,B,B,B,J,E,B,,C,B,,,B,B
ID0359,medxpert,yes,A,D,A,D,A,H,H,H,,D,H,D,H,B,A
ID0360,mmlu,yes,A,A,A,A,A,A,A,A,A,C,A,,,A,A
ID0363,medbullets,yes,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ID0364,jama,yes,B,B,B,B,B,B,B,B,B,A,B,,,B,B
ID0367,medxpert,yes,F,F,F,,I,I,I,I,C,D,C,,,F,C
ID0368,jama,yes,D,D,D,D,D,D,D,A,D,C,D,,,D,D
ID0371,medxpert,yes,F,F,F,F,F,F,F,F,F,D,F,,,E,F
ID0376,medxpert,yes,A,A,A,,G,B,A,B,B,D,B,,,A,I
ID0379,medxpert,yes,C,C,C,,C,H,A,H,H,D,H,C,C,C,A
ID0382,medbullets,yes,C,C,C,C,C,C,C,,,B,C,C,C,C,C
ID0385,medxpert,yes,I,I,I,I,I,H,I,H,H,B,H,,C,H,I
ID0388,medxpert,yes,F,F,F,,F,B,B,B,B,C,B,,B,B,B
ID0389,jama,yes,C,C,C,C,C,C,C,C,C,B,C,C,,C,C
ID0391,medxpert,yes,A,A,A,A,A,I,I,A,A,B,A,,,A,A
ID0393,jama,yes,D,D,D,D,D,D,B,D,B,A,D,,,D,A
ID0395,jama,yes,C,C,C,A,A,D,D,D,D,B,D,D,D,A,C
ID0396,medbullets,yes,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B
ID0397,medxpert,yes,B,J,J,F,F,F,F,F,F,A,F,,,F,A
ID0399,jama,yes,C,C,C,C,C,C,C,,C,C,C,,,C,C
ID0400,jama,yes,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B
ID0403,medbullets,yes,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B
ID0405,jama,yes,B,B,B,B,D,B,B,B,B,C,B,,B,B,B
ID0406,mmlu,yes,D,D,D,D,D,D,D,D,D,B,D,,,D,D
ID0407,medxpert,yes,G,G,G,A,C,A,H,A,A,A,A,A,,G,F
ID0409,mmlu,yes,D,D,D,D,D,D,D,D,,C,D,,,D,D
ID0416,medxpert,yes,I,C,C,D,D,B,F,F,,D,E,,,I,I
ID0417,jama,yes,D,D,D,D,D,D,D,,D,B,D,,,D,D
ID0421,jama,yes,D,D,D,D,D,D,D,D,D,C,D,,,D,D
ID0422,jama,yes,C,C,C,C,C,C,C,C,C,B,C,A,,C,C
ID0426,medxpert,yes,D,F,D,,B,J,F,,,C,J,,,B,A
ID0428,mmlu,yes,D,D,D,D,D,D,D,D,D,B,D,A,,D,D
ID0429,mmlu,yes,B,B,B,B,B,B,B,B,,D,B,B,B,B,B
ID0433,medxpert,yes,E,E,E,E,D,E,E,E,E,B,E,,E,H,A
ID0435,medxpert,yes,I,D,I,D,I,I,I,I,D,C,I,,,I,D
ID0437,mmlu,yes,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
ID0438,medbullets,yes,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B
ID0440,medxpert,yes,B,B,B,,B,D,D,J,J,C,J,H,H,B,H
ID0447,medbullets,yes,D,D,D,D,D,A,D,D,D,B,D,D,D,D,D
ID0449,jama,yes,C,C,C,C,C,C,C,B,C,C,C,,,C,C
ID0453,jama,yes,D,D,D,D,D,D,D,D,D,A,D,,,D,D
ID0455,medxpert,yes,E,E,E,E,E,J,J,E,,B,E,,,E,E
ID0458,medxpert,yes,F,F,F,F,F,F,F,F,F,C,F,,,F,F
ID0463,jama,yes,D,D,D,D,D,D,A,D,D,C,D,,,D,D
ID0466,jama,yes,D,D,D,D,D,D,D,,D,C,D,,,D,D
ID0467,jama,yes,C,C,C,C,C,C,B,C,C,C,C,,B,C,C
ID0468,medbullets,yes,C,C,C,C,C,C,C,D,C,C,C,,C,C,C
ID0469,jama,yes,A,A,A,D,A,A,A,A,,D,A,,,A,A
ID0470,medbullets,yes,C,C,C,C,C,D,C,B,D,D,B,,D,C,C
ID0471,jama,yes,D,D,D,D,D,D,C,D,D,D,D,,,D,D
ID0472,jama,yes,D,D,D,D,D,B,C,D,D,A,D,,,B,D
ID0473,medbullets,yes,A,A,A,A,A,D,A,A,A,A,A,A,A,A,A
ID0478,jama,yes,A,B,A,A,C,B,A,A,A,D,A,,,A,C
ID0483,jama,yes,A,A,A,B,B,,B,,,C,B,,,A,B
ID0488,jama,yes,C,C,C,C,C,A,A,A,A,C,A,,C,A,A
ID0490,jama,yes,B,B,B,B,B,B,B,B,B,B,B,,B,D,C
ID0491,medxpert,yes,A,I,I,,A,D,D,F,,B,F,,A,A,A
ID0492,jama,yes,C,C,C,A,C,B,B,B,B,B,B,,,B,C
ID0494,jama,yes,C,C,A,A,A,C,C,C,C,A,C,,B,C,C
ID0495,medbullets,yes,B,B,B,B,B,B,B,B,B,C,B,,B,B,B
ID0496,medbullets,yes,C,C,C,C,C,A,A,A,A,A,C,A,,C,C
ID0500,jama,yes,B,B,B,B,B,B,A,A,A,D,B,,B,B,B
ID0504,medxpert,yes,B,B,B,,B,H,E,E,,A,E,H,,B,B
ID0506,medxpert,yes,D,D,D,,D,D,D,D,D,B,D,,A,D,D
ID0508,jama,yes,B,B,B,A,B,A,B,C,,B,B,,,B,A
ID0509,medxpert,yes,J,J,J,G,G,G,G,C,C,D,C,C,,J,J
ID0510,mmlu,yes,B,B,B,B,B,B,B,B,B,D,B,B,B,B,B
ID0514,medxpert,yes,I,I,I,I,I,I,I,,I,B,I,,,I,I
ID0519,medxpert,yes,I,I,I,I,I,D,D,D,D,B,D,,I,I,A
ID0520,mmlu,yes,B,B,B,B,B,B,B,B,B,D,B,,,B,B
ID0521,medxpert,yes,H,H,H,H,H,I,I,F,I,A,I,,H,F,J
ID0522,jama,yes,C,C,C,C,C,A,C,A,C,C,C,,C,B,C
ID0523,medxpert,yes,D,E,E,,E,E,E,E,E,B,E,E,E,E,E
ID0526,medbullets,yes,D,A,D,D,D,A,A,A,A,B,A,,,A,C
ID0528,jama,yes,B,B,B,B,B,B,B,B,B,C,B,,,B,B
ID0529,medbullets,yes,D,D,D,D,B,D,C,C,C,B,C,,,D,D
ID0532,medxpert,yes,B,B,B,B,B,G,G,B,B,B,B,,,B,D
ID0533,jama,yes,C,C,C,C,C,C,C,,,D,C,,C,C,C
ID0534,jama,yes,B,B,B,B,B,B,B,B,B,B,B,,,B,B
ID0535,medbullets,yes,C,C,C,C,C,C,C,C,C,B,C,C,C,C,C
ID0541,jama,yes,B,B,B,B,B,B,B,B,,A,B,,,B,B
ID0542,mmlu,yes,D,D,D,D,D,D,D,D,D,B,D,D,D,D,D
ID0543,mmlu,yes,D,D,D,D,D,D,D,,D,C,D,,,D,D
ID0546,medbullets,yes,D,D,D,D,D,D,D,D,D,C,D,,D,D,D
ID0552,jama,yes,C,C,C,C,C,D,C,C,C,C,C,,,C,C
ID0553,jama,yes,C,D,D,D,D,C,B,C,D,B,D,C,D,C,D
ID0554,mmlu,yes,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ID0561,jama,yes,D,D,D,A,A,A,A,A,A,C,A,D,A,D,A
ID0564,medbullets,yes,D,D,D,D,D,B,B,D,,D,D,D,,D,D
ID0566,mmlu,yes,B,B,B,B,B,B,B,B,,A,B,,,B,B
ID0567,medxpert,yes,C,C,C,,D,C,D,D,D,C,D,,,D,C
ID0569,mmlu,yes,D,D,D,D,D,B,D,D,B,C,B,,,D,D
ID0572,medxpert,yes,C,C,C,,C,,C,,G,D,C,,,C,C
ID0574,medxpert,yes,H,H,H,,E,I,I,G,,D,I,,,H,I
ID0576,mmlu,yes,C,C,C,C,C,A,C,,C,C,C,C,C,C,C
ID0577,jama,yes,C,C,C,C,C,D,D,D,D,C,D,,,C,C
ID0578,mmlu,yes,D,D,D,D,D,D,D,D,D,C,D,D,,D,D
ID0581,medxpert,yes,B,B,B,C,C,C,C,J,J,B,J,,C,B,B
ID0584,jama,yes,C,C,C,C,C,B,C,C,,B,C,,,C,C
ID0587,medxpert,yes,E,E,E,E,E,E,E,E,E,A,E,E,E,E,E
ID0589,jama,yes,C,C,C,C,C,C,C,D,C,C,C,,C,C,C
ID0590,jama,yes,D,D,D,D,D,A,D,D,B,C,B,,,B,D
ID0591,medxpert,yes,C,C,C,G,G,G,G,G,G,B,G,,,C,E
ID0594,medxpert,yes,G,G,G,G,G,D,D,G,G,C,G,,,G,G
ID0595,medxpert,yes,J,J,J,J,J,,H,H,J,A,J,,H,J,J
ID0596,jama,yes,A,A,A,A,A,C,B,C,C,B,B,,A,C,B
ID0598,medxpert,yes,C,C,C,C,C,D,D,,I,D,I,,,D,D
ID0599,medbullets,yes,A,A,A,C,C,C,C,C,C,C,C,C,C,A,A
ID0600,medbullets,yes,B,B,B,B,B,C,D,B,,C,B,D,D,B,B
ID0601,medbullets,yes,A,A,A,D,A,D,D,D,D,D,D,D,D,D,A
ID0602,jama,yes,D,D,D,D,C,C,B,D,C,A,C,A,,D,C
ID0604,mmlu,yes,C,C,C,C,C,C,C,C,C,B,C,C,C,C,C
ID0605,medxpert,yes,E,F,E,,E,E,E,A,E,A,E,E,E,F,E
ID0607,mmlu,yes,A,A,A,A,A,A,D,A,A,C,A,A,A,A,A
ID0609,jama,yes,D,D,D,C,D,D,C,C,C,B,C,,,D,D
ID0614,medxpert,yes,A,A,A,J,A,D,A,G,D,D,D,A,A,A,A
ID0616,medxpert,yes,I,A,I,E,I,D,D,E,E,D,E,,,I,E
ID0617,mmlu,yes,D,D,D,D,D,D,D,D,,C,D,D,D,D,D
ID0618,mmlu,yes,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ID0619,medbullets,yes,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
ID0621,medxpert,yes,C,C,C,C,C,B,B,B,C,D,B,,,B,C
ID0622,mmlu,yes,D,D,D,D,D,D,D,D,D,C,D,,,D,D
ID0623,medbullets,yes,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A
ID0625,medxpert,yes,I,I,I,I,I,I,I,I,I,A,I,I,I,B,B
ID0626,medxpert,yes,D,D,D,,F,C,J,D,D,B,D,A,A,D,D
ID0627,medxpert,yes,J,J,J,J,D,D,D,D,D,B,D,,,J,D
ID0628,mmlu,yes,C,C,C,C,C,D,D,D,C,D,C,C,,C,C
ID0634,mmlu,yes,B,B,B,B,B,B,B,B,,B,B,B,B,B,B
ID0635,jama,yes,D,D,D,D,D,A,D,D,D,B,D,D,D,D,D
ID0636,jama,yes,C,A,A,C,B,C,B,C,B,C,B,,C,C,C
ID0647,jama,yes,C,C,C,C,C,C,D,,C,B,C,,C,B,C
ID0651,medxpert,yes,C,C,C,C,C,G,G,G,G,D,G,,A,A,A
ID0652,mmlu,yes,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A
ID0653,mmlu,yes,D,D,D,D,D,D,D,D,D,D,D,D,,D,D
ID0654,mmlu,yes,C,C,C,C,C,C,C,C,C,B,C,C,C,C,C
ID0655,medxpert,yes,E,D,G,,E,D,D,E,E,C,E,E,D,E,G
ID0656,jama,yes,A,A,A,A,A,C,A,C,A,C,A,,,A,A
ID0658,medxpert,yes,D,J,J,J,H,C,J,H,I,B,H,H,H,D,J
ID0660,jama,yes,C,C,C,C,C,C,C,C,C,C,C,,C,C,C
ID0662,medbullets,yes,A,A,A,A,A,A,A,A,A,C,A,A,A,A,A
ID0665,mmlu,yes,C,C,C,C,C,C,C,C,C,B,C,,C,C,C
ID0668,medxpert,yes,H,C,C,,C,E,E,C,C,B,C,,C,C,C
ID0669,jama,yes,D,D,D,D,D,D,D,D,D,A,D,,,D,D
ID0671,jama,yes,D,D,D,D,D,D,D,D,D,B,D,,D,D,D
ID0672,medxpert,yes,G,G,G,,D,B,G,B,G,C,G,,G,G,B
ID0673,medbullets,yes,A,A,B,B,B,C,C,A,A,D,A,A,A,B,B
ID0675,jama,yes,A,A,A,A,A,D,C,A,A,D,A,,,A,A
ID0680,medxpert,yes,A,A,A,A,G,G,G,I,G,B,G,,,A,A
ID0682,mmlu,yes,C,C,C,C,C,C,C,C,C,C,C,,C,C,C
ID0683,jama,yes,D,D,D,D,D,D,D,D,D,C,D,,,D,D
ID0684,medxpert,yes,J,I,J,I,J,I,I,I,I,B,I,I,E,J,I
ID0692,jama,yes,B,B,B,B,B,B,B,B,B,C,B,,B,A,A
ID0693,medbullets,yes,D,D,D,D,D,D,D,D,D,A,D,,,D,D
ID0695,mmlu,yes,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
ID0698,medxpert,yes,A,A,A,I,C,G,C,,H,C,H,,C,C,G
ID0699,jama,yes,C,C,C,C,C,C,C,C,C,C,C,,C,C,A
ID0701,medxpert,yes,H,G,H,H,H,G,G,H,,A,H,H,E,H,G
ID0702,medxpert,yes,A,A,D,D,D,C,C,,,B,A,,,A,C
ID0703,jama,yes,B,B,B,B,B,B,B,B,B,C,B,B,,B,B
ID0708,jama,yes,C,C,C,C,C,C,D,,C,C,C,,,C,C
ID0710,jama,yes,D,D,D,D,D,D,D,D,D,C,D,,,D,C
ID0712,mmlu,yes,A,A,A,A,A,A,A,A,A,C,A,A,A,A,A
ID0713,medbullets,yes,B,B,B,B,B,B,B,B,B,C,B,,,B,B
ID0715,medbullets,yes,B,B,B,C,C,C,C,C,C,C,C,,C,B,C
ID0716,jama,yes,D,D,A,D,B,D,D,D,D,B,D,,B,D,A
ID0717,medxpert,yes,B,J,J,J,F,F,J,J,,A,J,,J,B,J
ID0718,jama,yes,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B
ID0721,jama,yes,A,A,A,A,A,C,C,C,A,D,A,C,C,C,A
ID0723,jama,yes,B,A,B,B,B,B,B,,B,A,B,,,A,B
ID0726,jama,yes,B,A,A,B,B,B,A,D,D,D,D,C,C,B,D
ID0731,jama,yes,C,C,C,C,C,C,D,C,C,B,C,,C,C,C
ID0732,medbullets,yes,C,C,C,C,C,C,C,C,C,C,C,,,C,C
ID0733,jama,yes,D,D,D,B,B,D,D,D,D,C,D,,A,D,B
ID0735,mmlu,yes,B,B,B,B,B,B,B,,,D,B,B,B,D,B
ID0737,medxpert,yes,J,F,F,,F,I,I,F,F,D,F,,,F,F
ID0740,jama,yes,C,C,C,B,D,D,B,D,D,C,D,,,C,D
ID0746,jama,yes,C,C,C,C,C,C,A,C,,B,C,,,C,B
ID0747,jama,yes,D,A,D,A,A,A,D,D,,D,C,,,D,C
ID0752,mmlu,yes,A,A,A,A,A,A,A,A,A,C,A,A,A,A,A
ID0753,medxpert,yes,G,C,C,C,C,G,F,B,,C,A,,,C,C
ID0754,jama,yes,B,B,A,B,C,D,C,C,C,B,C,,C,B,B
ID0757,mmlu,yes,B,B,C,B,B,B,C,B,,C,B,,B,B,C
ID0758,medxpert,yes,D,D,D,D,D,J,H,D,D,B,D,,D,D,D
ID0759,medbullets,yes,B,B,B,B,B,D,B,B,B,A,B,B,B,B,B
ID0761,medxpert,yes,D,H,H,J,J,B,H,D,D,C,D,H,H,D,D
ID0764,medxpert,yes,B,B,B,D,B,B,F,,,A,B,,,J,B
ID0765,medxpert,yes,J,I,J,B,B,B,B,B,,B,B,,,J,B
