Origin,Sentence 1,Sentence 2,Sentence 3,Sentence 4,Sentence 5,Sentence 6,Sentence 7,Sentence 8,Sentence 9,Sentence 10,Sentence 11,Sentence 12,Sentence 13,Sentence 14,Sentence 15,Sentence 16,Sentence 17,Sentence 18,Sentence 19,Sentence 20,Sentence 21,data_source_corr,IRR,high%,Clinician_Student_MJ_High_Sentences,answerable
ID0054,1.0,1.0,1.0,0.6666666666666666,0.5,0.3333333333333333,1.0,0.3333333333333333,1.0,0.5,1.0,,,,,,,,,,,jama,0.6842105263157895,63.6,"1. A 24-year-old woman who worked on a farm in Connecticut developed fever, chills, vomiting, and a truncal maculopapular rash 3 weeks before presentation. | 2. One week after symptom onset, she remained febrile (maximum temperature, 39.6°C [103.2°F]) and the rash spread to her palms and soles, with some progression to pustules (Figure, left panel). | 3. She developed right knee pain, followed by pain in other joints. | 4. Two weeks after symptom onset, she presented to a local emergency department, reporting inability to stand due to severe joint pain. | 5. Results of tests for sexually transmitted infections and respiratory viruses were negative. | 7. Approximately 3 weeks after symptom onset, she presented to the emergency department again with persistent fever, worsening arthralgia, back pain, and progressive purpuric and pustular rash. | 9. White blood cell count was 12 100/μL (reference range, 4000/μL-10 000/μL), with 84% neutrophils. | 10. Urinalysis results and levels of serum electrolytes and liver enzymes were within normal limits. | 11. Gram stain of blood culture is shown in the Figure (right panel).",no
ID0055,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,,,,,,,,,,medbullets,0.3076923076923078,66.7,"1. A 54-year-old man is brought to the emergency department following a skiing accident. | 3. He lost consciousness for about 30 seconds. | 4. When he woke up, he was mildly confused but able to ski down the rest of the mountain. | 6. The paramedics report that at the scene the patient had a Glasgow Coma Score (GCS) of 15. | 7. During the ride, he became gradually more somnolent. | 8. His medical history is significant for hypertension, hyperlipidemia, coronary artery disease, and a prior transient ischemic attack. | 11. He is difficult to arouse with a GCS of 7. | 12. A head CT is performed and can be seen in Figure A.",no
ID0064,1.0,1.0,0.4,0.4,0.4,,,,,,,,,,,,,,,,,mmlu,0.5177304964539007,40.0,"1. A 24-year-old man comes to the office because of a 2-day history of a red, itchy rash on his buttocks and legs. | 2. Four days ago, he returned from a cruise to the Caribbean, during which he swam in the ship’s pool and used the hot tub.",no
ID0072,0.875,0.25,0.625,0.25,0.5,0.5,0.5,1.0,0.5,0.75,0.5,0.5,0.625,,,,,,,,,jama,-0.0323529411764706,38.5,"1. A man in his late 20s with a history of Alport syndrome presented on referral for a bilateral retina problem after experiencing right-sided herpes zoster ophthalmicus. | 3. He had completed treatment for keratouveitis and reported some residual blurring of his vision in the right eye. | 5. His uncorrected visual acuity was 20/60 OD and 20/40 OS. | 6. Pupillary responses, confrontation visual fields, motility, external examination, and intraocular pressure were normal. | 7. Slitlamp examination revealed superficial keratitis and anterior stromal haze in the right eye but otherwise was normal. | 8. Fundus examination (Figure, A) revealed a poor foveal light reflex with an irregular-shaped area of red discoloration in the fovea and surrounding subtle flecking of the retina in both eyes. | 9. No other abnormalities were found on ophthalmoscopic examination. | 10. Spectral-domain optical coherence tomography (Figure, B) showed an irregular foveal contour with trace epiretinal membrane formation, with no evidence of foveoschisis or outer retinal changes. | 11. Fundus autofluorescence was normal.A, Color fundus photograph demonstrating pseudohole formation with pigment mottling, right eye. | 12. B, Spectral-domain optical coherence tomography revealing distortion of foveal contour without epiretinal membrane formation, right eye. | 13. Similar examination and optical coherence tomographic findings were present in the left eye.",no
ID0076,1.0,0.75,0.25,0.25,0.25,0.5,0.75,0.5,0.25,,,,,,,,,,,,,jama,0.25,33.3,"1. A 20-year-old otherwise healthy woman presented to the emergency department after a motor vehicle crash in which computed tomographic images of the abdomen were obtained as part of the trauma evaluation. | 2. Small free fluid within the pelvis and 2 large mesenteric masses were discovered adjacent to the liver, pancreas, and stomach (Figure 1). | 6. During the trauma workup after a motor vehicle crash, 2 large peritoneal tumors were identified in her upper abdomen. | 7. A, An exophilic mass in segment 3 of the liver invading the distal stomach. | 8. B, A mass in the lessor sac attaching to the body of pancreas.",no
ID0078,1.0,0.6,0.5,0.7,0.5,0.5,0.6,0.7,0.6,0.7,1.0,1.0,0.3333333333333333,,,,,,,,,medbullets,0.3676253687315634,69.2,"1. A 3-day-old boy is evaluated in the neonatal intensive care unit for failure to pass meconium. | 2. The patient is otherwise doing well and feeding every 2 hours. | 3. He is urinating 8-10 times per day. | 4. The patient has had 2 episodes of vomiting that were described as green in color. | 5. He was born at 39 weeks gestation to a 38-year-old G3P3 mother. | 6. The pregnancy was uncomplicated, and the patient’s mother received routine prenatal care. | 7. She declined prenatal testing. | 8. One of the patient’s older siblings has Down syndrome. | 9. The patient's temperature is 98.2°F (36.8°C), blood pressure is 48/32 mmHg, pulse is 164/min, and respirations are 48/min. | 10. On physical exam, the patient is in no acute distress. | 11. His abdomen is firm, non-tender, and distended with hypoactive bowel sounds. | 12. A digital rectal exam fails to relieve the obstruction.",no
ID0079,0.8333333333333334,0.8333333333333334,0.5,0.5,0.5,1.0,1.0,1.0,0.6666666666666666,0.8333333333333334,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.0,,,,,,,jama,0.0274314214463842,73.3,"1. A woman in her early 70s was referred to the dermatology department for evaluation of a solitary, asymptomatic lump on her scalp. | 2. She was born with the lesion but noticed some growth following a minor local trauma a couple of months prior to seeking medical evaluation. | 3. The patient denied local inflammation, purulent discharge, and systemic symptoms. | 4. Her medical history was unremarkable apart from an allegedly benign breast nodule resection in her teenage years. | 5. In addition, her father died of metastatic cutaneous melanoma at 83 years old. | 6. Clinically, there was an ill-defined, infiltrated plaque with a normochromic, exophytic nodule on her scalp vertex measuring 4.2 × 3.8 cm (Figure, A). | 7. It had a waxy surface with irregular transverse furrows and overlying alopecia. | 8. Dermoscopic evaluation findings revealed a homogeneous yellow hue with no visible vascular or pigmented structures and absence of follicular ostia. | 9. The lesion was firm and mildly tender to the touch and seemed adherent to the underlying bone. | 10. There were no palpable lymph nodes. | 12. A, Clinical image of the lesion on the scalp. | 13. B, Paramedian sagittal gadolinium-enhanced T1-weighted brain magnetic resonance imaging (MRI). | 14. C, Cellular infiltration in the reticular dermis (hematoxylin-eosin, original magnification ×100). | 15. D, Monomorphic cells in a syncytial configuration surrounding collagen bundles (hematoxylin-eosin, original magnification ×400).",no
ID0081,1.0,0.75,0.75,0.625,0.5,0.875,0.625,,,,,,,,,,,,,,,jama,0.0277777777777779,85.7,"1. A 57-year-old woman with a medical history of recurrent biliary colic was admitted with symptoms consistent with mild gallstone pancreatitis. | 2. Routine laboratory test results showed total bilirubin of 4.74 mg/dL (to convert to millimoles per liter, multiply by 17.104) and amylase of 1.041 U/L (to convert to microkatals per liter, multiply by 0.0167). | 3. An abdominal ultrasonography scan demonstrated gallstones and a mildly dilated common bile duct (CBD). | 4. Magnetic resonance imaging of the abdomen confirmed these results and revealed cholelithiasis. | 5. The patient consequently underwent urgent laparoscopic cholecystectomy with intraoperative cholangiography (Figure, A). | 6. Intraoperative cholangiography revealed an unusual anatomical variant and subsequent transcystic choledochoscopy was performed, which demonstrated a double lumen at the distal CBD (Figure, B). | 7. Multiple gallstones were found within a dilated region of cystic duct.",no
ID0088,1.0,0.9,0.5,0.8,0.5,0.5,0.7,0.4,0.4,0.7,0.7,0.2,0.3,0.4,1.0,1.0,,,,,,jama,0.4060324825986079,50.0,"1. A man in his 30s, employed as a painter, presented with multiple painless nodules on his right cheek of 4 years’ duration. | 2. He reported episodic breathlessness, cough, and wheezing with expectoration of brownish sputum, exacerbated with exposure to hay dust, in the past 5 years. | 3. He also reported recent-onset headache while reading. | 4. Physical examination revealed a depressed plaque measuring 6 × 4 cm in the right infraorbital region, surrounded by multiple nodules of sizes ranging from 1 × 1 cm to 5 × 1 cm (Figure, A). | 5. The nodules were firm, mobile, and nontender on palpation. | 6. Local temperature was normal. | 7. There was proptosis of the right eye with mild restriction of extraocular movements on lateral gaze. | 10. Respiratory system examination revealed occasional polyphonic wheeze. | 11. Chest radiography imaging showed nodular opacities in right upper zone and bronchiectasis. | 15. C, High-power view showing epithelioid cell granulomas and fungal profiles within giant cells (arrowheads). | 16. D, Periodic acid–Schiff stain highlighting septate fungal hyphae with acute-angled branching within giant cells.",no
ID0089,1.0,0.625,0.875,0.625,1.0,0.875,1.0,0.75,1.0,0.875,1.0,0.875,0.5,,,,,,,,,jama,0.022142857142857,92.3,"1. A man in his early 30s presented with 4 days of acute, monocular, painless vision loss. | 2. His visual acuity was 20/200 OD and 20/20 OS. | 3. There was no afferent pupillary defect, his color vision was intact bilaterally, and his intraocular pressures were normal. | 4. No anterior chamber or vitreal inflammation was present. | 5. Ophthalmoscopic examination of the right macula revealed a 2–disc diameter area of heterogeneous yellow retinal pigment epithelial (RPE) discoloration with overlying neurosensory retinal detachment and several small retinal hemorrhages (Figure 1A). | 6. The optic disc and retinal vessels were unremarkable, and ophthalmoscopic examination of the left eye revealed no abnormalities.A, Fundus photography of the right eye shows retinal pigment epithelial discoloration and retinal hemorrhages. | 7. B, Optical coherence tomography demonstrates neurosensory retinal detachment overlying irregular retinal pigment epithelium and thickened choroid.The patient denied recent corticosteroid use, joint pain, weight loss, myalgias, or cardiovascular, neurologic, or gastrointestinal symptoms. | 8. He had fevers and mild upper respiratory tract symptoms 2 weeks before his presentation, closely followed by a rash on his hands and thighs. | 9. A young family member had similar symptoms.Spectral-domain optical coherence tomography (SD-OCT) revealed a fovea-involving neurosensory retinal detachment, outer photoreceptor thickening, and an intact external limiting membrane overlying a zone of mildly thickened, irregular RPE. | 10. The submacular choroid was relatively thick bilaterally on enhanced depth imaging OCT (Figure 1B). | 11. Combined fluorescein and indocyanine green angiography demonstrated mottled early hyperfluorescence with late staining and minimal pooling. | 12. There was no leakage from the retinal vessels or optic discs bilaterally, and uninvolved areas of RPE and choroidal vasculature were unremarkable. | 13. A test for rapid plasma reagin was negative.Observe; follow up in 4 to 6 weeks with SD-OCTTreat with intravitreal antivascular endothelial growth factor injection",no
ID0097,1.0,0.6,0.6,0.8,0.9,0.7,0.5,0.1,0.1,,,,,,,,,,,,,jama,0.5975609756097561,66.7,"1. A man in his 30s presented with reticulate hyperpigmentation, progressive since early childhood, overlying the trunk and extremities (Figure, A and B). | 2. Physical examination revealed normal fingernails and toenails, dermatoglyphics, and dentition. | 3. Additionally, there was no evidence of alopecia or keratoderma. | 4. Review of systems was remarkable for hypohidrosis, photophobia, and a history of recurrent sinopulmonary infections, including pneumonia, requiring hospitalization. | 5. Family history was notable for similarly affected men on the patient’s mother’s side. | 6. A punch biopsy specimen was obtained (Figure, C and D).A, Reticulate hyperpigmentation involving the lower and upper distal extremities, including the dorsal surface of the hand. | 7. B, Diffuse reticulate hyperpigmentation of the trunk and flexures, including the posterior neck and axilla.",no
ID0101,0.9,0.9,1.0,0.7,0.9,0.2,,,,,,,,,,,,,,,,medbullets,0.5818815331010452,83.3,"1. A 24-year-old woman with no significant medical history presents to the emergency department for progressive shortness of breath. | 2. She endorses decreased exercise tolerance as well as intermittent palpitations. | 3. She returned from a recent missionary trip to South America 12 months prior where she endorsed eating a local delicacy as well as a period of fevers and eyelid swelling during her stay. | 4. Her temperature is 99.1°F (37.3°C), pulse is 95/min, blood pressure is 130/85 mmHg, respirations are 15/min, and oxygen saturation is 97% on room air. | 5. Physical exam is notable for a laterally displaced point of maximal impulse as well as a 2/6 diastolic murmur radiating to the axilla.",no
ID0102,0.5,0.5,0.5,0.5,0.5,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,0.8333333333333334,0.3333333333333333,,,,,,,,,,medbullets,0.2970711297071129,41.7,"1. A newborn boy is evaluated 30 minutes after birth. | 2. He was born at 39 weeks gestation to a 27-year-old primigravid mother via cesarean section for cervical insufficiency. | 3. The pregnancy was complicated by gestational diabetes and the amniotic fluid was clear. | 4. Upon delivery, the patient had strong respiratory effort and a strong cry. | 5. His Apgar scores at 1 and 5 minutes were 7 and 8, respectively. | 6. The patient now is exhibiting increased work of breathing and is progressively more tachypneic. | 8. His temperature is 99.0°F (37.2°C), blood pressure is 60/44 mmHg, pulse is 146/min, and respirations are 72/min. | 9. On physical exam, the patient is grunting with nasal flaring and subcostal retractions. | 10. Breath sounds are decreased at the bases bilaterally. | 11. The patient has central cyanosis.",no
ID0106,1.0,0.75,0.75,0.75,0.5,0.625,1.0,1.0,,,,,,,,,,,,,,medbullets,0.2120472120472117,87.5,"1. A 25-year-old woman presents to her primary care physician with joint and muscle pain. | 2. She has a general aching/pain in her joints that lasts all day. | 3. The pain is constant and is not relieved by rest or activity. | 4. She also has pain in her hands at times and occasionally notices trouble swallowing when she is eating. | 5. She has a medical history of anxiety and is not currently taking any medications. | 6. Her temperature is 98.6°F (37°C), blood pressure is 115/72 mmHg, pulse is 74/min, and respirations are 11/min. | 7. On physical exam, the patient is a healthy young woman with a sunburn. | 8. Her hands are mildly edematous with the findings in Figure A.",no
ID0108,1.0,1.0,0.5,0.5,0.75,0.5,0.875,0.875,0.875,0.75,0.625,0.625,1.0,1.0,1.0,1.0,,,,,,jama,0.3681350114416474,81.2,"1. A woman in her 60s presented to the hospital because she felt abdominal pain and increasing asthenia during the previous 4 months. | 2. She reported a weight loss of 40 kg during the previous 12 months concomitant with depression. | 3. The patient had a history of cardiac arrhythmia, hypertension, and sigmoidectomy for diverticulitis. | 4. Medications included lasilix, amlodipine, amiodarone, and atenolol. | 5. On examination, the patient appeared well. | 6. Her vital signs were normal. | 7. The abdomen was soft without distension. | 8. A positive Murphy sign was observed. | 9. Her white blood cell count was 11400/μL (to convert to ×109/L, multiply by 0.001), her hemoglobin level was 11.5 g/dL (to convert to g/L, multiply by 10.0), and her platelet count was 233 ×103/μL (to convert to ×109/L, multiply by 1.0). | 10. The C-reaction protein level was elevated to 41 mg/L (to convert to nmol/L, multiply by 9.524). | 11. The results of renal and liver function, coagulation, blood level of electrolytes, total protein, albumin, antigen carcino embryonnaire, carbohydrate antigen 19-9, carbohydrate antigen 125, and β2 microglobulin tests were normal. | 12. The patient had a normal esophagogastroduodenoscopy and colonoscopy. | 13. Ultrasonography revealed a 10 × 8-m mass in the right hypochondrium. | 14. Abdominal computed tomography scan revealed a thickened gallbladder wall infiltrating the liver parenchyma. | 15. There were 3 perihepatic lymph nodes. | 16. Magnetic resonance imaging showed a greatly enlarged gallbladder with a thickened wall without invading adjacent structures, a continuous mucosal line, and a hypoattenuated intramural nodule (Figure 1).",no
ID0109,1.0,0.875,0.75,0.875,0.625,0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.25,0.25,,,,,,,,jama,0.3479948253557569,64.3,"1. A woman in her 70s presented with a 1-year history of a facial cutaneous eruption initially affecting malar cheeks and eyebrows. | 2. Subsequently it spread to involve nose, chin, upper trunk, and extremities. | 3. The lesions were mildly pruritic. | 4. Her medical history included a cadaveric renal transplant 2 years earlier for end-stage renal failure. | 5. Immunosuppressant medications included mycophenolate mofetil, 200 mg, twice daily and tacrolimus, 8 mg, twice daily. | 6. Tacrolimus levels were therapeutic. | 7. Physical examination revealed multiple 1-mm flesh-colored follicular papules and keratin spines against a diffuse erythematous background affecting the face (Figure, A and B) and upper trunk. | 8. Her scalp and eyebrow hairs were unremarkable. | 9. Serology results were unremarkable. | 10. Results of skin biopsy from the right ear demonstrated dilatation and keratotic plugging of the hair infundibula with marked dystrophy and expansion of the inner root sheath. | 11. The inner root sheath cells were enlarged with irregular trichohyaline granules and apoptotic cells with abrupt cornification without formation of a granular layer (Figure, C). | 12. Immunohistochemical analysis for SV40 polyomavirus was positive (Figure, D).Photographs of (A) forehead and (B) nose depicting multiple follicular papules and keratin spines against a diffuse erythematous background.",no
ID0119,1.0,0.7,1.0,0.7,0.6,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,jama,0.8333333333333334,50.0,"1. A 59-year-old man who had been taking warfarin for 16 years for recurrent deep vein thrombosis and a left ventricular thrombosis presented to the anticoagulation management service for a follow-up visit. | 2. His warfarin had been managed via point-of-care (POC) testing for the past 4 years with a goal international normalized ratio (INR) of 2.0 to 3.0. | 3. On presentation, his POC INR was 3.7. | 4. He reported no extra warfarin doses, medication changes, dietary nonadherence, or bleeding. | 5. His warfarin dosage was 36 mg/wk (3 mg every Wednesday and Saturday and 6 mg all other days) for the past year.",no
ID0124,1.0,0.625,0.625,0.5,0.75,0.5,1.0,0.25,0.6666666666666666,0.625,0.25,0.875,1.0,1.0,,,,,,,,jama,0.3435102301790281,71.4,"1. A 62-year-old man presented with subacute, painless vision loss in the right eye that developed over the course of 1 week. | 2. He had a history of well-controlled type 2 diabetes and diffuse large B-cell lymphoma that was diagnosed 3 years earlier. | 3. The lymphoma was initially treated with chemotherapy, followed by a relapse that required additional chemotherapy and ultimately autologous bone marrow transplant 3 months before presentation. | 4. At the time of presentation, he was taking no immunosuppressive medications and was taking prophylactic acyclovir, 800 mg twice daily, and sulfamethoxazole/trimethoprim (800 mg/160 mg) 3 times weekly.Snellen visual acuity measured 20/40 OD and 20/20 OS. | 5. Intraocular pressure (IOP) measured 24 mm Hg OD and 12 mm Hg OS. | 6. There was no afferent pupillary defect. | 7. Right eye examination results revealed 1+ anterior chamber inflammation, iris neovascularization, keratic precipitates, vitritis, and a granular necrotizing retinitis (Figure, A). | 9. Fluorescein angiography of the right eye demonstrated panretinal occlusive vasculopathy with severe peripheral nonperfusion (Figure, B). | 10. His white blood cell count was moderately low at 3.1 kilos/μL (to convert to ×109/L, multiply by 0.001; reference range, 4.0-10.0 kilos/μL); a complete blood count and serum chemistry panel were otherwise normal. | 12. An aqueous tap was performed and sent for culture and polymerase chain reaction.A, Wide-field fundus photograph demonstrating vitreous haze, vascular attenuation, macular cotton wool-spots, diffuse intraretinal hemorrhages, and superior granular necrotizing retinitis. | 13. B, Late-phase fluorescein angiogram demonstrating disc leakage and marked peripheral nonperfusion.",no
