Origin,data_source,Round 1,Round 2,Ground_Truth_Answer
ID0363,medbullets,A,B,B
ID0364,jama,B,B,A
ID0365,jama,C,A,A
ID0366,jama,B,D,B
ID0367,medxpert,C,D,D
ID0368,jama,D,C,C
ID0371,medxpert,H,D,D
ID0373,jama,C,A,C
ID0376,medxpert,A,D,D
ID0377,jama,C,C,C
ID0379,medxpert,E,D,B
ID0382,medbullets,C,NONE,B
ID0385,medxpert,D,A,C
ID0387,jama,C,B,B
ID0388,medxpert,B,C,C
ID0389,jama,C,A,C
ID0391,medxpert,C,B,B
ID0393,jama,B,D,D
ID0395,jama,D,B,B
ID0396,medbullets,A,B,D
ID0397,medxpert,G,D,A
ID0399,jama,B,C,B
ID0400,jama,B,A,C
ID0402,jama,B,D,C
ID0403,medbullets,B,C,C
ID0404,jama,D,C,B
ID0405,jama,A,A,A
ID0406,mmlu,D,D,C
ID0407,medxpert,G,A,A
ID0409,mmlu,D,B,C
ID0412,jama,A,A,C
ID0415,jama,A,A,A
ID0416,medxpert,F,C,D
ID0417,jama,D,NONE,B
ID0418,jama,B,D,B
ID0421,jama,A,C,C
ID0422,jama,C,B,A
ID0425,medxpert,D,B,B
ID0426,medxpert,C,B,C
ID0428,mmlu,D,A,D
ID0429,mmlu,C,C,D
ID0431,jama,B,C,B
ID0433,medxpert,A,B,B
ID0435,medxpert,A,A,A
ID0437,mmlu,C,C,C
ID0438,medbullets,B,A,A
ID0440,medxpert,H,B,C
ID0442,jama,C,C,B
ID0444,jama,B,C,C
ID0446,jama,C,A,A
ID0447,medbullets,D,B,B
ID0449,jama,C,C,B
ID0451,jama,A,B,B
ID0453,jama,A,A,A
ID0455,medxpert,H,B,B
ID0458,medxpert,J,A,C
ID0459,medxpert,A,D,B
ID0460,jama,B,B,B
ID0461,jama,C,A,C
ID0462,jama,C,D,D
ID0463,jama,D,C,D
ID0465,jama,C,D,B
ID0466,jama,D,B,C
ID0467,jama,B,C,C
ID0468,medbullets,C,C,C
ID0469,jama,A,D,D
ID0470,medbullets,C,A,D
ID0471,jama,C,D,C
ID0472,jama,C,A,B
ID0473,medbullets,A,A,A
ID0476,jama,A,C,C
ID0477,jama,A,A,C
ID0478,jama,B,B,C
ID0479,jama,B,C,D
ID0483,jama,B,B,C
ID0484,jama,A,C,C
ID0487,jama,C,B,C
ID0488,jama,C,C,C
ID0490,jama,C,B,C
ID0491,medxpert,C,B,B
ID0492,jama,B,B,B
ID0494,jama,B,A,A
ID0495,medbullets,B,C,C
ID0496,medbullets,A,A,A
ID0498,jama,C,C,D
ID0500,jama,D,D,C
ID0502,jama,B,D,D
ID0503,medbullets,C,B,C
ID0504,medxpert,E,A,A
ID0506,medxpert,C,D,B
ID0508,jama,C,B,B
ID0509,medxpert,G,B,B
ID0510,mmlu,B,C,D
ID0511,jama,B,D,D
ID0513,jama,D,B,B
ID0514,medxpert,G,B,C
ID0517,medbullets,B,A,C
ID0519,medxpert,D,B,B
ID0520,mmlu,C,D,D
ID0521,medxpert,I,A,B
ID0522,jama,C,B,C
ID0523,medxpert,E,B,B
ID0524,jama,B,C,C
ID0525,jama,B,C,C
ID0526,medbullets,A,B,B
ID0528,jama,B,C,C
ID0529,medbullets,C,B,A
ID0532,medxpert,A,B,B
ID0533,jama,B,D,C
ID0534,jama,A,B,B
ID0535,medbullets,C,B,B
ID0536,medxpert,A,A,D
ID0539,jama,D,C,A
ID0541,jama,B,A,A
ID0542,mmlu,D,D,B
ID0543,mmlu,A,C,C
ID0546,medbullets,D,C,B
ID0551,jama,C,D,C
ID0552,jama,C,C,C
ID0553,jama,A,B,B
ID0554,mmlu,A,A,A
ID0555,jama,D,C,A
ID0559,jama,C,C,C
ID0561,jama,A,C,C
ID0564,medbullets,B,D,D
ID0566,mmlu,C,A,A
ID0567,medxpert,E,B,C
ID0568,medbullets,A,C,C
ID0569,mmlu,B,NONE,C
ID0572,medxpert,G,A,D
ID0574,medxpert,G,B,D
ID0575,jama,D,A,D
ID0576,mmlu,C,C,C
ID0577,jama,C,C,A
ID0578,mmlu,D,C,D
ID0581,medxpert,C,D,B
ID0584,jama,C,B,C
ID0585,medbullets,C,A,D
ID0586,jama,D,A,C
ID0587,medxpert,E,C,C
ID0589,jama,C,C,A
ID0590,jama,D,D,C
ID0591,medxpert,G,B,B
ID0592,jama,B,C,B
ID0594,medxpert,D,C,C
ID0595,medxpert,H,A,D
ID0596,jama,C,B,B
ID0598,medxpert,D,D,B
ID0599,medbullets,C,C,C
ID0600,medbullets,C,D,C
ID0601,medbullets,D,D,D
ID0602,jama,C,A,D
ID0603,jama,C,B,B
ID0604,mmlu,C,A,D
ID0605,medxpert,A,C,C
ID0607,mmlu,A,C,C
ID0609,jama,C,B,B
ID0613,medbullets,C,C,C
ID0614,medxpert,C,A,D
ID0616,medxpert,D,C,D
ID0617,mmlu,D,C,C
ID0618,mmlu,A,A,A
ID0619,medbullets,D,C,C
ID0621,medxpert,F,D,A
ID0622,mmlu,D,B,C
ID0623,medbullets,D,B,B
ID0625,medxpert,I,B,D
ID0626,medxpert,C,B,B
ID0627,medxpert,C,A,D
ID0628,mmlu,D,B,B
ID0629,jama,A,B,D
ID0631,jama,A,D,D
ID0633,jama,C,B,C
ID0634,mmlu,C,B,B
ID0635,jama,A,B,B
ID0636,jama,C,C,C
ID0639,jama,C,D,D
ID0641,medxpert,C,C,C
ID0642,jama,C,C,C
ID0643,jama,C,A,A
ID0647,jama,C,B,B
ID0648,jama,B,C,C
ID0651,medxpert,G,D,B
ID0652,mmlu,A,D,B
ID0653,mmlu,D,D,C
ID0654,mmlu,C,A,D
ID0655,medxpert,C,C,C
ID0656,jama,C,C,C
ID0658,medxpert,H,B,D
ID0659,jama,B,B,A
ID0660,jama,C,C,C
ID0661,jama,C,C,C
ID0662,medbullets,A,C,C
ID0664,jama,B,C,C
ID0665,mmlu,C,B,B
ID0668,medxpert,E,B,B
ID0669,jama,D,B,A
ID0670,jama,B,D,C
ID0671,jama,D,B,C
ID0672,medxpert,G,C,C
ID0673,medbullets,A,D,D
ID0675,jama,A,D,D
ID0676,jama,D,NONE,B
ID0679,medbullets,A,C,B
ID0680,medxpert,G,NONE,C
ID0682,mmlu,C,C,C
ID0683,jama,C,C,C
ID0684,medxpert,B,B,C
ID0691,jama,A,C,C
ID0692,jama,B,D,D
ID0693,medbullets,A,A,A
ID0695,mmlu,A,B,B
ID0696,medxpert,F,B,B
ID0697,jama,B,B,C
ID0698,medxpert,F,NONE,C
ID0699,jama,C,C,C
ID0700,jama,D,D,D
ID0701,medxpert,E,D,B
ID0702,medxpert,C,A,A
ID0703,jama,A,C,D
ID0708,jama,C,C,C
ID0709,jama,B,D,B
ID0710,jama,D,C,A
ID0711,medbullets,B,D,D
ID0712,mmlu,A,C,C
ID0713,medbullets,B,C,C
ID0715,medbullets,C,C,C
ID0716,jama,A,B,B
ID0717,medxpert,J,A,D
ID0718,jama,B,A,C
ID0719,jama,C,B,B
ID0721,jama,C,D,D
ID0723,jama,B,D,B
ID0726,jama,C,D,D
ID0728,medbullets,C,C,C
ID0731,jama,C,B,B
ID0732,medbullets,,C,C
ID0733,jama,D,C,A
ID0734,jama,A,D,D
ID0735,mmlu,D,D,D
ID0737,medxpert,A,B,B
ID0739,jama,C,C,D
ID0740,jama,B,C,C
ID0743,jama,B,NONE,A
ID0744,jama,A,NONE,B
ID0745,jama,A,A,B
ID0746,jama,C,B,B
ID0747,jama,D,D,D
ID0752,mmlu,A,C,C
ID0753,medxpert,F,C,C
ID0754,jama,C,B,B
ID0756,jama,C,B,B
ID0757,mmlu,A,C,C
ID0758,medxpert,A,B,A
ID0759,medbullets,B,A,B
ID0761,medxpert,G,B,D
ID0762,jama,D,NONE,D
ID0764,medxpert,C,D,C
ID0765,medxpert,B,B,B
ID0766,mmlu,C,C,C
ID0769,jama,B,A,A
ID0770,medxpert,G,C,A
ID0773,mmlu,D,A,C
ID0775,jama,B,A,C
ID0776,jama,A,C,C
ID0777,medxpert,A,C,C
ID0778,medxpert,F,B,C
ID0779,jama,B,A,B
ID0780,jama,C,B,C
ID0781,jama,A,A,B
ID0782,jama,A,C,C
ID0783,jama,C,D,D
ID0784,medbullets,B,D,B
ID0785,jama,C,B,D
ID0786,medxpert,A,B,B
ID0788,medbullets,D,A,D
ID0789,mmlu,A,B,C
ID0790,medbullets,B,C,C
ID0792,medxpert,A,D,D
ID0796,medbullets,C,C,C
ID0797,jama,B,D,D
ID0798,medxpert,F,D,D
ID0799,mmlu,D,B,B
ID0800,jama,B,B,B
ID0801,medbullets,C,D,D
ID0802,mmlu,A,C,C
ID0803,jama,C,C,D
ID0805,medxpert,G,B,C
ID0809,jama,D,C,C
ID0810,medbullets,C,B,B
ID0811,medxpert,F,C,D
ID0813,medxpert,C,C,B
ID0814,jama,D,C,C
ID0815,medxpert,B,D,B
ID0816,medxpert,C,C,C
ID0819,mmlu,C,D,B
ID0821,medxpert,C,D,C
ID0824,medbullets,A,B,D
ID0825,medbullets,B,B,B
ID0826,jama,C,NONE,C
ID0827,medxpert,H,C,C
ID0828,medxpert,B,C,B
ID0830,medbullets,A,B,B
ID0831,medxpert,F,B,B
ID0832,jama,C,D,C
ID0833,medbullets,C,B,D
ID0834,jama,C,D,B
ID0835,medbullets,A,B,B
ID0836,medbullets,C,B,C
ID0837,jama,B,B,D
ID0840,mmlu,A,C,B
ID0841,medbullets,C,D,A
ID0842,medbullets,A,D,D
ID0843,medxpert,C,C,C
ID0844,medbullets,B,A,B
ID0845,medbullets,C,B,C
ID0846,jama,C,A,D
ID0847,jama,D,B,A
ID0850,jama,D,C,C
ID0851,mmlu,A,A,B
ID0852,medbullets,D,B,C
ID0853,medbullets,D,C,D
ID0854,jama,D,A,A
ID0855,jama,A,B,B
ID0856,medxpert,J,A,A
ID0858,jama,C,B,B
ID0859,jama,A,D,C
ID0860,medxpert,B,B,B
ID0861,medbullets,C,D,C
ID0862,jama,A,B,B
ID0864,mmlu,B,B,B
ID0866,jama,D,C,C
ID0867,jama,B,C,C
ID0869,jama,B,C,B
ID0870,medxpert,C,B,C
ID0871,jama,C,D,C
ID0872,medxpert,D,D,D
ID0876,jama,A,NONE,B
ID0878,jama,A,A,D
ID0879,jama,A,C,C
ID0880,medxpert,F,C,C
ID0883,medxpert,G,B,B
ID0884,mmlu,C,C,A
ID0885,medbullets,A,D,C
ID0887,medbullets,B,D,B
ID0889,jama,A,B,B
ID0893,medbullets,C,A,B
ID0894,jama,B,D,D
ID0895,jama,C,B,D
ID0899,jama,C,C,D
ID0900,jama,C,D,C
ID0901,medbullets,B,A,B
ID0902,medxpert,C,C,B
ID0904,jama,A,C,C
ID0905,jama,C,C,D
ID0907,medxpert,E,C,C
ID0908,jama,B,B,B
ID0909,mmlu,A,B,B
ID0910,mmlu,C,NONE,C
ID0911,mmlu,D,C,D
ID0912,medxpert,F,A,C
ID0915,jama,C,C,C
ID0916,jama,D,B,C
ID0918,mmlu,D,C,C
ID0919,medxpert,F,B,B
ID0922,medxpert,F,B,B
ID0923,medbullets,A,B,B
ID0924,medbullets,A,NONE,C
ID0925,jama,A,B,B
ID0926,medxpert,A,B,C
ID0927,jama,B,D,D
ID0928,medbullets,C,A,A
ID0934,medxpert,G,B,B
ID0935,jama,D,B,C
ID0937,jama,A,A,D
ID0939,jama,A,D,D
ID0941,medxpert,C,B,B
ID0942,medxpert,G,B,B
ID0944,mmlu,C,C,C
ID0948,medxpert,G,D,D
ID0949,medbullets,C,D,B
ID0951,mmlu,A,A,D
ID0953,mmlu,B,A,C
ID0954,jama,B,C,C
ID0957,medxpert,B,C,C
ID0961,jama,A,D,D
ID0962,jama,C,C,C
ID0963,mmlu,C,D,B
ID0965,medxpert,C,C,C
ID0967,medbullets,C,D,C
ID0968,jama,C,B,B
ID0969,jama,C,A,B
ID0970,medbullets,C,B,A
ID0972,medxpert,A,C,C
ID0973,jama,C,B,B
ID0974,medbullets,A,C,B
ID0976,jama,B,C,D
ID0977,jama,A,C,C
ID0979,medxpert,B,B,B
ID0981,jama,D,D,D
ID0982,jama,C,D,B
ID0987,medbullets,C,C,C
ID0990,jama,D,B,B
ID0991,jama,A,B,C
ID0992,medxpert,E,C,C
ID0993,jama,B,A,B
ID0994,medxpert,A,B,C
ID0996,jama,C,B,B
ID0998,jama,B,D,D
ID0999,mmlu,D,C,C
ID1001,jama,C,A,C
ID1002,jama,C,C,C
ID1005,jama,C,D,D
ID1006,jama,C,B,B
ID1009,medxpert,D,C,D
ID1011,jama,A,B,B
ID1013,mmlu,D,C,C
ID1014,jama,B,C,C
ID1015,jama,D,D,D
ID1016,jama,A,D,A
ID1017,jama,D,D,C
ID1019,jama,A,B,B
ID1020,jama,C,C,C
ID1021,jama,A,B,B
ID1022,jama,D,B,C
ID1024,medbullets,A,A,D
ID1025,mmlu,A,B,B
ID1026,medxpert,F,D,D
ID1028,medbullets,A,D,D
ID1029,medxpert,C,D,B
ID1031,medxpert,A,C,B
ID1032,jama,C,D,D
ID1035,jama,C,A,A
ID1037,jama,B,B,C
ID1038,jama,A,B,B
ID1040,jama,A,A,C
ID1044,mmlu,C,D,B
ID1047,jama,B,B,B
ID1048,jama,C,B,A
ID1049,jama,C,C,C
ID1051,medbullets,C,B,D
ID1055,medxpert,F,A,B
ID1058,medxpert,H,C,C
ID1059,mmlu,C,A,A
ID1060,jama,D,C,D
ID1062,medxpert,A,C,C
ID1063,mmlu,B,C,C
ID1064,mmlu,C,B,C
ID1065,medxpert,E,C,B
ID1066,medxpert,G,B,B
ID1067,medxpert,A,C,B
ID1068,jama,A,A,B
ID1070,jama,C,B,C
ID1071,jama,B,A,C
ID1072,medxpert,F,D,B
ID1073,jama,D,B,B
ID1074,medxpert,B,A,B
ID1075,jama,A,B,C
ID1076,jama,B,D,D
ID1077,jama,D,A,A
ID1079,jama,C,D,B
ID1080,jama,B,B,B
ID1081,medbullets,D,D,D
ID1082,mmlu,D,B,B
ID1084,jama,A,D,C
ID1085,medxpert,B,B,B
ID1087,jama,B,D,C
ID1088,mmlu,B,D,B
ID1089,jama,B,D,C
ID1090,jama,D,B,C
ID1093,medbullets,C,A,D
ID1098,jama,A,C,C
ID1099,jama,B,D,A
ID1101,jama,B,A,B
ID1102,medxpert,B,B,B
ID1108,medxpert,B,D,C
ID1110,jama,A,B,B
ID1112,mmlu,A,B,B
ID1113,jama,C,A,A
ID1114,mmlu,C,A,C
ID1116,medbullets,B,B,B
ID1117,medxpert,E,B,B
ID1118,jama,A,C,C
ID1119,jama,B,A,A
ID1121,jama,C,D,C
ID1123,jama,C,B,B
ID1125,medxpert,G,B,B
ID1127,jama,B,C,C
ID1129,medbullets,C,A,B
ID1130,medbullets,A,B,B
ID1131,jama,B,D,A
ID1132,jama,B,C,C
ID1135,jama,B,C,B
ID1137,medbullets,A,D,D
ID1138,jama,C,A,A
ID1139,jama,B,C,A
ID1140,jama,D,D,B
ID1141,medxpert,F,A,D
ID1142,medbullets,D,B,A
ID1146,jama,B,B,B
ID1147,medxpert,G,D,A
ID1148,jama,B,B,B
ID1149,jama,C,C,A
ID1150,jama,A,C,C
ID1151,medxpert,C,B,C
ID1152,mmlu,D,C,C
ID1153,medbullets,A,B,B
ID1154,medxpert,A,D,D
ID1155,medxpert,A,B,C
ID1157,medbullets,C,B,C
ID1158,medbullets,C,B,C
ID1160,jama,A,D,B
ID1161,medxpert,G,C,C
ID1162,jama,C,B,C
ID1163,mmlu,D,C,A
ID1164,jama,B,B,B
ID1166,jama,B,B,B
ID1167,jama,A,C,C
ID1170,jama,C,B,B
ID1171,jama,C,C,C
ID1172,medxpert,C,C,C
ID1174,jama,D,B,B
ID1175,jama,A,D,C
ID1176,medxpert,C,A,C
ID1178,jama,C,A,D
ID1179,medxpert,F,C,B
ID1180,mmlu,D,A,A
ID1181,mmlu,D,B,A
ID1182,mmlu,B,B,A
ID1183,jama,C,D,C
ID1184,medxpert,C,D,C
ID1185,jama,C,C,C
ID1187,mmlu,B,B,B
ID1189,medxpert,D,A,A
ID1190,medxpert,A,C,C
ID1193,jama,B,D,D
ID1194,medxpert,F,C,C
ID1197,jama,A,C,C
ID1198,jama,A,C,C
ID1199,medxpert,A,D,C
ID1200,medbullets,C,A,C
ID1201,jama,C,C,C
ID1202,medbullets,A,B,B
ID1204,jama,C,B,D
ID1206,mmlu,D,D,C
ID1207,jama,D,B,B
ID1208,medxpert,A,C,C
ID1209,mmlu,A,B,C
ID1212,medxpert,C,A,A
ID1214,jama,B,B,C
ID1215,jama,B,B,B
ID1216,jama,A,D,B
ID1217,jama,D,C,C
ID1218,medbullets,C,D,B
ID1219,jama,A,C,A
ID1221,medbullets,D,A,B
ID1223,mmlu,D,C,C
ID1224,jama,B,B,D
ID1226,medxpert,F,C,C
ID1227,mmlu,C,B,B
ID1228,medbullets,B,B,B
ID1229,jama,B,D,C
ID1230,jama,A,B,B
ID1232,medbullets,B,A,C
ID1233,jama,C,A,A
ID1234,jama,A,A,C
ID1236,jama,A,NONE,D
ID1239,mmlu,C,D,D
ID1240,mmlu,D,A,C
ID1242,jama,C,B,B
ID1244,jama,C,A,C
ID1245,medbullets,B,NONE,A
ID1246,medbullets,A,B,D
ID1247,jama,B,D,C
ID1248,mmlu,C,C,D
ID1249,medbullets,C,A,C
ID1251,medxpert,E,C,D
ID1252,medxpert,B,C,D
ID1254,medxpert,E,B,B
ID1255,medxpert,H,C,C
ID1256,medxpert,F,D,D
ID1258,mmlu,C,D,D
ID1260,jama,C,B,D
ID1261,mmlu,B,D,D
ID1262,medbullets,B,A,C
ID1264,jama,C,B,B
ID1266,jama,D,A,D
ID1267,jama,A,B,C
ID1268,mmlu,D,A,C
ID1269,medbullets,C,B,C
ID1270,medxpert,H,C,D
ID1271,medbullets,A,A,C
ID1272,mmlu,C,D,C
ID1273,jama,A,A,A
ID1275,jama,C,C,B
ID1276,jama,C,C,D
ID1277,mmlu,D,B,D
ID1278,medbullets,B,B,C
ID1279,medbullets,C,D,A
ID1280,medxpert,A,D,C
ID1281,jama,B,A,A
ID1284,medxpert,C,C,C
ID1285,jama,B,NONE,C
ID1286,jama,C,D,D
ID1287,mmlu,D,C,B
ID1288,jama,C,D,D
ID1289,jama,B,C,C
ID1290,jama,A,B,B
ID1291,medxpert,E,D,C
ID1294,medxpert,E,A,B
ID1296,mmlu,A,A,D
ID1297,mmlu,B,B,A
ID1298,medxpert,A,D,D
ID1299,medxpert,A,B,D
ID1301,jama,B,B,A
ID1302,mmlu,D,NONE,B
ID1303,jama,C,B,D
ID1307,medbullets,D,D,C
ID1308,jama,B,D,D
ID1309,medxpert,D,B,B
ID1310,mmlu,D,C,C
ID1311,medxpert,A,C,A
ID1312,medxpert,D,C,C
ID1313,medbullets,D,A,B
ID1314,jama,B,C,C
ID1315,medbullets,C,C,C
ID1316,mmlu,D,NONE,B
ID1318,jama,C,D,B
ID1320,jama,C,B,B
ID1321,jama,B,D,D
ID1324,medxpert,C,C,B
ID1328,medxpert,A,C,C
ID1329,medbullets,B,B,C
ID1330,mmlu,C,C,D
ID1331,mmlu,B,A,B
ID1332,jama,B,B,B
ID1333,medxpert,C,A,B
ID1334,jama,C,B,B
ID1335,mmlu,D,B,B
ID1336,mmlu,B,D,D
ID1337,medbullets,C,D,A
ID1338,medbullets,D,D,C
ID1339,mmlu,C,B,B
ID1340,medxpert,H,C,B
ID1343,medbullets,C,A,B
ID1345,medbullets,C,B,B
ID1346,jama,C,C,D
ID1347,jama,B,A,D
ID1348,jama,C,B,D
ID1349,jama,D,A,C
ID1350,jama,A,B,C
ID1352,jama,B,B,D
ID1353,jama,C,B,C
ID1354,jama,C,A,C
ID1355,mmlu,D,D,D
ID1356,medxpert,C,A,C
ID1357,medxpert,C,C,B
ID1359,jama,A,B,B
ID1360,jama,B,B,B
ID1362,medbullets,B,C,C
ID1366,jama,B,A,C
ID1368,jama,A,C,B
ID1369,medxpert,F,C,D
ID1371,medbullets,C,B,D
ID1373,jama,B,A,A
ID1374,jama,D,D,D
ID1376,jama,C,B,C
ID1377,jama,C,D,B
ID1378,medbullets,A,C,D
ID1380,medxpert,B,C,C
ID1381,jama,B,D,B
ID1382,jama,A,D,C
ID1383,mmlu,A,D,C
ID1384,medbullets,C,D,C
ID1385,medxpert,B,C,C
ID1387,jama,C,A,B
ID1388,jama,C,A,B
ID1389,medxpert,B,B,D
ID1391,jama,B,NONE,C
ID1392,medxpert,E,C,B
ID1394,medbullets,B,C,C
ID1395,medxpert,F,B,B
ID1396,medxpert,G,C,C
ID1397,medbullets,C,C,C
ID1398,jama,B,D,D
ID1399,medxpert,C,C,B
ID1401,jama,B,NONE,A
ID1402,jama,C,C,C
ID1403,jama,B,C,C
ID1405,mmlu,D,C,C
ID1409,medxpert,G,B,B
ID1411,medbullets,D,C,C
ID1413,medbullets,C,B,C
ID1414,medxpert,J,B,B
ID1416,jama,B,C,A
ID1418,mmlu,A,A,B
ID1419,jama,D,B,B
ID1421,mmlu,A,D,C
ID1422,medbullets,A,D,D
ID1423,medxpert,F,C,B
ID1425,mmlu,D,D,D
