Origin,GPT4o_Round1,GPT4o_Round2,Ground_Truth,Qwen72B_Round1,Qwen72B_Round2,data_source,Qwen14B_Round1,Qwen14B_Round2,Llama70B_Round1,Llama70B_Round2
ID0189,A,A,A,A,A,mmlu,C,A,D,A
ID0190,A,A,A,C,C,mmlu,C,C,C,C
ID0191,C,C,C,D,D,jama,A,D,C,D
ID0192,D,D,D,A,A,jama,A,D,A,A
ID0193,E,E,E,E,E,medxpert,A,E,A,E
ID0195,B,B,C,B,A,jama,D,B,C,B
ID0198,A,A,A,A,A,medbullets,C,A,C,A
ID0199,A,C,C,B,A,jama,A,A,A,B
ID0200,I,I,J,A,G,medxpert,D,B,D,A
ID0202,D,D,D,D,D,jama,D,D,D,D
ID0206,D,D,D,D,D,jama,C,C,C,D
ID0207,G,G,J,D,D,medxpert,C,D,C,D
ID0209,D,D,D,D,D,mmlu,B,C,B,D
ID0211,A,A,A,A,A,medxpert,C,F,C,A
ID0213,C,C,C,C,C,jama,B,C,B,C
ID0215,B,D,B,B,B,jama,D,B,D,B
ID0216,I,I,A,B,B,medxpert,B,A,C,B
ID0217,C,C,C,C,C,mmlu,B,C,B,C
ID0219,B,B,B,B,B,jama,C,A,C,B
ID0220,B,B,B,B,B,mmlu,B,A,B,B
ID0221,A,A,A,A,A,medbullets,B,C,B,A
ID0222,B,B,D,B,B,jama,C,B,B,B
ID0229,A,A,A,A,A,medxpert,C,C,C,A
ID0230,C,C,C,C,C,jama,A,C,C,C
ID0232,B,B,B,B,B,jama,A,C,D,B
ID0233,<answer>Option (A)</answer>,A,B,B,B,medxpert,A,B,C,B
ID0235,<answer>Option (B)</answer>,B,B,H,H,medxpert,D,B,D,H
ID0236,C,C,C,C,B,jama,C,C,D,C
ID0237,A,A,A,A,A,mmlu,B,A,B,A
ID0238,A,D,D,A,A,medbullets,C,A,C,A
ID0240,A,C,A,C,A,jama,B,C,B,C
ID0241,A,A,A,C,C,jama,D,C,D,C
ID0242,G,G,A,G,G,medxpert,D,G,D,G
ID0243,C,C,C,C,C,jama,B,A,B,C
ID0244,C,C,C,C,C,medbullets,D,C,D,C
ID0246,C,C,C,D,C,jama,B,D,B,D
ID0247,C,C,C,C,B,medbullets,B,C,C,C
ID0248,<answer>Option (C)</answer>,A,C,A,A,medxpert,A,A,D,A
ID0249,C,C,C,A,A,medbullets,C,C,C,A
ID0251,D,D,D,D,D,mmlu,B,C,B,D
ID0253,D,D,D,B,D,mmlu,NONE,D,B,B
ID0254,D,D,D,D,D,jama,B,B,B,D
ID0256,C,D,D,D,D,mmlu,B,D,B,D
ID0257,B,B,B,C,C,jama,B,A,A,C
ID0258,C,C,C,C,C,jama,A,C,D,C
ID0262,C,C,H,C,C,medxpert,C,C,C,C
ID0265,C,C,C,C,C,mmlu,B,A,B,C
ID0268,D,C,C,D,D,jama,C,C,C,D
ID0270,D,D,D,D,D,mmlu,D,D,D,D
ID0275,I,I,C,A,A,medxpert,A,A,A,A
ID0277,B,B,B,B,B,jama,B,B,B,B
ID0278,C,C,C,C,C,jama,C,C,C,C
ID0280,B,B,B,B,B,jama,D,C,A,B
ID0281,I,J,A,J,E,medxpert,B,J,A,J
ID0283,A,B,B,A,A,jama,C,B,C,A
ID0284,I,J,I,F,D,medxpert,C,B,C,F
ID0286,C,C,C,C,C,jama,C,C,C,C
ID0287,C,C,C,C,C,jama,C,C,C,C
ID0289,B,B,B,B,B,jama,B,B,B,B
ID0291,H,H,D,E,E,medxpert,A,E,B,E
ID0292,J,J,G,B,B,medxpert,D,B,D,B
ID0293,D,B,B,F,F,medxpert,D,C,C,F
ID0295,D,A,A,A,A,jama,D,A,D,A
ID0296,B,B,C,B,B,jama,C,B,B,B
ID0297,B,B,B,B,B,jama,C,B,C,B
ID0298,H,B,H,H,H,medxpert,B,A,B,H
ID0300,C,C,C,C,C,jama,A,C,A,C
ID0301,A,A,A,B,B,jama,A,A,C,B
ID0302,B,C,C,C,C,jama,A,A,A,C
ID0303,F,F,F,F,E,medxpert,C,C,C,F
ID0304,I,I,I,C,C,medxpert,C,H,A,C
ID0305,B,B,B,C,C,medbullets,C,C,B,C
ID0307,D,D,D,D,D,mmlu,C,B,C,D
ID0309,B,A,A,B,B,medbullets,A,D,B,B
ID0310,D,D,C,A,A,jama,A,C,C,A
ID0313,A,A,A,A,A,mmlu,NONE,A,C,A
ID0314,C,C,C,C,C,medbullets,C,B,C,C
ID0315,C,C,C,C,C,mmlu,D,C,D,C
ID0317,E,E,F,A,B,medxpert,D,A,D,A
ID0320,<answer>Option (F)</answer>,F,A,F,F,medxpert,C,A,C,F
ID0321,B,B,B,B,B,jama,B,A,A,B
ID0323,D,D,D,D,D,jama,C,D,C,D
ID0324,C,C,C,C,C,jama,B,C,A,C
ID0325,B,B,B,C,B,medbullets,D,C,B,C
ID0326,B,B,B,B,B,jama,D,B,A,B
ID0327,<answer>Option (E)</answer>,E,C,D,I,medxpert,A,C,D,D
ID0328,A,B,A,B,C,jama,D,B,A,B
ID0330,C,C,C,C,C,medbullets,D,A,C,C
ID0331,C,C,C,C,C,jama,B,C,C,C
ID0332,C,C,C,C,C,jama,B,D,B,C
ID0334,C,C,C,B,D,jama,A,C,C,B
ID0336,A,A,E,A,A,medxpert,C,A,E,A
ID0337,B,D,C,D,B,jama,A,A,A,D
ID0339,B,B,B,B,B,mmlu,C,B,C,B
ID0342,B,B,B,B,A,jama,D,A,D,B
ID0345,A,A,A,A,A,jama,B,A,B,A
ID0349,F,C,C,F,F,medxpert,C,F,C,F
ID0351,D,D,D,A,A,jama,A,A,D,A
ID0352,A,A,A,A,A,jama,C,A,A,A
ID0353,A,A,H,J,J,medxpert,D,J,H,J
ID0356,C,C,A,C,C,jama,A,C,A,C
ID0357,B,B,B,B,B,medxpert,C,B,C,B
ID0359,D,A,A,H,H,medxpert,C,C,D,H
ID0360,A,A,A,A,A,mmlu,C,B,A,A
ID0362,B,C,C,A,A,jama,C,C,C,A
ID0363,A,A,A,A,A,medbullets,B,A,A,A
ID0364,B,B,B,B,B,jama,B,B,A,B
ID0365,C,C,C,B,C,jama,A,C,A,B
ID0366,C,C,B,D,D,jama,D,B,D,D
ID0367,<answer>Option (F)</answer>,I,F,C,G,medxpert,D,C,D,C
ID0368,D,D,D,D,A,jama,C,D,C,D
ID0371,F,F,F,F,F,medxpert,D,H,D,F
ID0373,C,C,C,C,C,jama,A,C,A,C
ID0376,<answer>Option (A)</answer>,G,A,B,B,medxpert,D,A,D,B
ID0377,C,C,A,C,D,jama,C,C,A,C
ID0379,<answer>Option (C)</answer>,C,C,H,A,medxpert,D,E,D,H
ID0382,C,C,C,C,C,medbullets,NONE,C,B,C
ID0385,I,I,I,H,H,medxpert,A,D,B,H
ID0387,C,C,C,C,C,jama,B,C,B,C
ID0388,<answer>Option (F)</answer>,F,F,B,B,medxpert,C,B,C,B
ID0389,C,C,C,C,C,jama,A,C,B,C
ID0391,A,A,A,A,A,medxpert,B,C,B,A
ID0393,D,D,D,D,B,jama,D,B,A,D
ID0395,A,A,C,D,D,jama,B,D,B,D
ID0396,B,B,B,B,B,medbullets,B,A,B,B
ID0397,F,F,B,F,F,medxpert,D,G,A,F
ID0399,C,C,C,C,C,jama,C,B,C,C
ID0400,B,B,B,B,B,jama,A,B,A,B
ID0402,B,B,B,B,B,jama,D,B,D,B
ID0403,B,B,B,B,B,medbullets,C,B,A,B
ID0404,C,C,D,A,A,jama,C,D,B,A
ID0405,B,D,B,B,B,jama,A,A,C,B
ID0406,D,D,D,D,D,mmlu,D,D,B,D
ID0407,A,C,G,A,A,medxpert,A,G,A,A
ID0409,D,D,D,D,D,mmlu,B,D,C,D
ID0412,B,D,D,D,B,jama,A,A,A,D
ID0415,B,B,B,B,B,jama,A,A,A,B
ID0416,D,D,I,E,F,medxpert,C,F,D,E
ID0417,D,D,D,D,D,jama,NONE,D,B,D
ID0418,B,A,B,A,B,jama,D,B,D,A
ID0421,D,D,D,D,D,jama,C,A,C,D
ID0422,C,C,C,C,C,jama,B,C,B,C
ID0425,D,D,F,D,D,medxpert,B,D,B,D
ID0426,<answer>Option (B)</answer>,B,D,J,J,medxpert,B,C,C,J
ID0428,D,D,D,D,D,mmlu,A,D,B,D
ID0429,B,B,B,B,B,mmlu,C,C,D,B
ID0431,C,C,C,A,C,jama,C,B,B,A
ID0433,E,D,E,E,E,medxpert,B,A,B,E
ID0435,D,I,I,I,I,medxpert,A,A,C,I
ID0437,C,C,C,C,C,mmlu,C,C,C,C
ID0438,B,B,B,B,B,medbullets,A,B,A,B
ID0440,<answer>Option (B)</answer>,B,B,J,D,medxpert,B,H,C,J
ID0442,D,D,D,C,D,jama,C,C,C,C
ID0444,C,B,C,B,B,jama,C,B,C,B
ID0446,C,C,C,C,C,jama,A,C,D,C
ID0447,D,D,D,D,D,medbullets,B,D,B,D
ID0449,C,C,C,C,C,jama,C,C,C,C
ID0451,B,B,B,B,B,jama,B,A,D,B
ID0453,D,D,D,D,D,jama,A,A,A,D
ID0455,E,E,E,E,E,medxpert,B,H,B,E
ID0458,F,F,F,F,F,medxpert,A,J,C,F
ID0459,<answer>Option (A)</answer>,A,F,B,C,medxpert,D,A,D,B
ID0460,C,C,C,C,A,jama,B,B,B,C
ID0461,B,C,C,C,B,jama,A,C,A,C
ID0462,C,C,C,C,C,jama,D,C,A,C
ID0463,D,D,D,D,D,jama,C,D,C,D
ID0465,C,C,B,C,B,jama,D,C,D,C
ID0466,D,D,D,D,D,jama,B,D,C,D
ID0467,C,C,C,C,C,jama,C,B,C,C
ID0468,C,C,C,C,C,medbullets,C,C,C,C
ID0469,D,A,A,A,A,jama,D,A,D,A
ID0470,C,C,C,B,B,medbullets,A,C,D,B
ID0471,D,D,D,D,D,jama,D,C,D,D
ID0472,D,D,D,D,D,jama,A,C,A,D
ID0473,A,A,A,A,A,medbullets,A,A,A,A
ID0476,A,C,C,A,A,jama,C,A,C,A
ID0477,C,A,C,C,A,jama,A,A,C,C
ID0478,A,C,A,A,A,jama,B,B,D,A
ID0479,B,B,B,B,B,jama,C,B,C,B
ID0483,B,B,A,B,B,jama,B,B,C,B
ID0484,C,C,C,C,C,jama,C,A,A,C
ID0487,C,C,C,C,C,jama,B,C,B,C
ID0488,C,C,C,A,A,jama,C,C,C,A
ID0490,B,B,B,B,B,jama,B,C,B,B
ID0491,<answer>Option (D)</answer>,A,A,F,F,medxpert,B,C,B,F
ID0492,A,C,C,B,B,jama,B,B,B,B
ID0494,A,A,C,C,C,jama,A,B,A,C
ID0495,B,B,B,B,B,medbullets,C,B,C,B
ID0496,C,C,C,C,A,medbullets,A,A,A,C
ID0498,C,C,C,B,B,jama,C,C,C,B
ID0500,B,B,B,B,D,jama,D,D,D,B
ID0502,B,B,C,B,B,jama,D,B,D,B
ID0503,A,A,A,C,C,medbullets,B,C,C,C
ID0504,<answer>Option (H)</answer>,B,B,E,H,medxpert,A,E,A,E
ID0506,<answer>Option (E)</answer>,D,D,D,D,medxpert,D,C,B,D
ID0508,A,B,B,B,A,jama,B,C,B,B
ID0509,G,G,J,C,C,medxpert,B,G,D,C
ID0510,B,B,B,B,B,mmlu,C,B,D,B
ID0511,B,B,B,B,B,jama,D,B,D,B
ID0513,B,B,B,B,B,jama,B,D,B,B
ID0514,I,I,I,I,I,medxpert,B,G,B,I
ID0517,A,A,A,A,A,medbullets,A,B,A,A
ID0519,I,I,I,D,D,medxpert,B,D,B,D
ID0520,B,B,B,B,B,mmlu,D,C,D,B
ID0521,H,H,H,I,I,medxpert,A,I,A,I
ID0522,C,C,C,C,C,jama,B,C,C,C
ID0523,<answer>Option (E)</answer>,E,D,E,E,medxpert,B,E,B,E
ID0524,B,B,B,B,B,jama,C,B,C,B
ID0525,B,B,B,B,B,jama,C,B,C,B
ID0526,D,D,D,A,A,medbullets,B,A,B,A
ID0528,B,B,B,B,B,jama,C,B,C,B
ID0529,D,B,D,C,C,medbullets,B,C,B,C
ID0532,B,B,B,B,B,medxpert,B,A,B,B
ID0533,C,C,C,C,C,jama,D,B,D,C
ID0534,B,B,B,B,B,jama,B,A,B,B
ID0535,C,C,C,C,C,medbullets,B,C,B,C
ID0536,I,I,J,F,E,medxpert,A,A,D,F
ID0539,C,C,C,C,C,jama,C,D,C,C
ID0541,B,B,B,B,B,jama,A,B,A,B
ID0542,D,D,D,D,D,mmlu,D,D,B,D
ID0543,D,D,D,D,D,mmlu,C,A,C,D
ID0546,D,D,D,D,D,medbullets,C,D,C,D
ID0551,C,C,B,C,C,jama,D,C,D,C
ID0552,C,C,C,C,C,jama,C,C,C,C
ID0553,D,D,C,D,C,jama,B,A,B,D
ID0554,A,A,A,A,A,mmlu,A,A,A,A
ID0555,D,D,D,C,C,jama,C,D,A,C
ID0559,B,B,B,D,D,jama,C,C,C,D
ID0561,A,A,D,A,A,jama,C,A,C,A
ID0564,D,D,D,D,D,medbullets,D,B,D,D
ID0566,B,B,B,B,B,mmlu,A,C,A,B
ID0567,<answer>Option (D)</answer>,D,C,D,E,medxpert,B,E,C,D
ID0568,C,B,C,C,C,medbullets,C,A,C,C
ID0569,D,D,D,B,D,mmlu,NONE,B,C,B
ID0572,<answer>Option (C)</answer>,C,C,C,G,medxpert,A,G,D,C
ID0574,<answer>Option (E)</answer>,E,H,I,G,medxpert,B,G,D,I
ID0575,C,D,D,C,C,jama,A,D,A,C
ID0576,C,C,C,C,C,mmlu,C,C,C,C
ID0577,C,C,C,D,C,jama,C,C,C,D
ID0578,D,D,D,D,D,mmlu,C,D,C,D
ID0581,C,C,B,J,J,medxpert,D,C,B,J
ID0584,C,C,C,C,C,jama,B,C,B,C
ID0585,C,B,B,B,C,medbullets,A,C,A,B
ID0586,B,B,B,B,B,jama,A,D,D,B
ID0587,E,E,E,E,E,medxpert,C,E,A,E
ID0589,C,C,C,C,C,jama,C,C,C,C
ID0590,D,D,D,B,D,jama,D,D,C,B
ID0591,G,G,C,G,G,medxpert,B,G,B,G
ID0592,C,C,C,C,C,jama,C,B,C,C
ID0594,G,G,G,G,G,medxpert,C,D,C,G
ID0595,J,J,J,J,J,medxpert,A,H,A,J
ID0596,A,A,A,B,B,jama,B,C,B,B
ID0598,C,C,C,I,C,medxpert,D,D,D,I
ID0599,C,C,A,C,C,medbullets,C,C,C,C
ID0600,B,B,B,B,B,medbullets,D,C,C,B
ID0601,D,A,A,D,D,medbullets,D,D,D,D
ID0602,D,C,D,C,D,jama,A,C,A,C
ID0603,C,C,C,A,C,jama,B,C,B,A
ID0604,C,C,C,C,C,mmlu,A,C,B,C
ID0605,<answer>Option (H)</answer>,E,E,E,A,medxpert,C,A,A,E
ID0607,A,A,A,A,A,mmlu,C,A,C,A
ID0609,C,D,D,C,C,jama,B,C,B,C
ID0613,C,C,C,C,C,medbullets,C,C,C,C
ID0614,<answer>Option [J]</answer>,A,A,D,D,medxpert,A,C,D,D
ID0616,E,I,I,E,E,medxpert,C,D,D,E
ID0617,D,D,D,D,D,mmlu,C,D,C,D
ID0618,A,A,A,A,A,mmlu,A,A,A,A
ID0619,C,C,C,C,C,medbullets,C,D,C,C
ID0621,C,C,C,B,B,medxpert,D,F,D,B
ID0622,D,D,D,D,D,mmlu,B,D,C,D
ID0623,A,A,A,A,A,medbullets,B,D,B,A
ID0625,I,I,I,I,I,medxpert,B,I,A,I
ID0626,<answer>Option (D)</answer>,F,D,D,D,medxpert,B,C,B,D
ID0627,J,D,J,D,D,medxpert,A,C,B,D
ID0628,C,C,C,C,C,mmlu,B,D,D,C
ID0629,C,C,C,A,D,jama,B,A,B,A
ID0631,A,A,A,A,A,jama,D,A,D,A
ID0633,B,B,B,B,B,jama,B,C,B,B
ID0634,B,B,B,B,B,mmlu,B,C,B,B
ID0635,D,D,D,D,D,jama,B,A,D,D
ID0636,C,B,C,B,C,jama,C,C,C,B
ID0639,B,B,B,D,B,jama,D,C,D,D
ID0641,F,F,F,J,F,medxpert,C,C,F,J
ID0642,B,C,C,B,B,jama,C,C,C,B
ID0643,C,D,C,C,C,jama,A,C,A,C
ID0647,C,C,C,C,C,jama,B,C,C,C
ID0648,B,B,B,B,B,jama,C,B,C,B
ID0651,C,C,C,G,G,medxpert,D,G,C,G
ID0652,A,A,A,A,A,mmlu,D,A,B,A
ID0653,D,D,D,D,D,mmlu,D,D,D,D
ID0654,C,C,C,C,C,mmlu,A,C,C,C
ID0655,<answer>Option (E)</answer>,E,E,E,E,medxpert,C,C,E,E
ID0656,A,A,A,A,C,jama,C,C,C,A
ID0658,J,H,D,H,I,medxpert,B,H,B,H
ID0659,B,B,B,B,B,jama,B,B,B,B
ID0660,C,C,C,C,C,jama,C,C,C,C
ID0661,C,C,A,C,C,jama,C,C,B,C
ID0662,A,A,A,A,A,medbullets,C,A,C,A
ID0664,B,B,B,B,B,jama,C,B,C,B
ID0665,C,C,C,C,C,mmlu,B,C,C,C
ID0668,<answer>Option (H)</answer>,C,H,C,C,medxpert,B,E,B,C
ID0669,D,D,D,D,D,jama,B,D,B,D
ID0670,B,B,B,B,B,jama,D,B,C,B
ID0671,D,D,D,D,D,jama,B,D,B,D
ID0672,<answer>Option (H)</answer>,D,G,G,G,medxpert,C,G,C,G
ID0673,B,B,A,A,A,medbullets,D,A,D,A
ID0675,A,A,A,A,A,jama,D,A,D,A
ID0676,C,C,C,C,C,jama,NONE,D,D,C
ID0679,B,B,A,A,A,medbullets,C,A,D,A
ID0680,A,G,A,G,G,medxpert,NONE,G,B,G
ID0682,C,C,C,C,C,mmlu,C,C,C,C
ID0683,D,D,D,D,D,jama,C,C,C,D
ID0684,I,J,J,I,I,medxpert,B,B,B,I
ID0691,C,D,D,D,D,jama,C,A,C,D
ID0692,B,B,B,B,B,jama,D,B,C,B
ID0693,D,D,D,D,D,medbullets,A,A,D,D
ID0695,D,D,D,D,D,mmlu,B,A,D,D
ID0696,<answer>Option (F)</answer>,G,I,F,F,medxpert,B,F,A,F
ID0697,B,A,B,B,B,jama,B,B,B,B
ID0698,I,C,A,H,H,medxpert,NONE,F,C,H
ID0699,C,C,C,C,C,jama,C,C,C,C
ID0700,C,C,C,D,D,jama,D,D,D,D
ID0701,H,H,H,H,H,medxpert,D,E,A,H
ID0702,D,D,A,A,D,medxpert,A,C,B,A
ID0703,B,B,B,B,B,jama,C,A,C,B
ID0708,C,C,C,C,C,jama,C,C,C,C
ID0709,B,B,B,B,B,jama,D,B,A,B
ID0710,D,D,D,D,D,jama,C,D,C,D
ID0711,B,B,B,D,D,medbullets,D,B,D,D
ID0712,A,A,A,A,A,mmlu,C,A,C,A
ID0713,B,B,B,B,B,medbullets,C,B,C,B
ID0715,C,C,B,C,C,medbullets,C,C,C,C
ID0716,D,B,D,D,D,jama,B,A,B,D
ID0717,J,F,B,J,J,medxpert,A,J,A,J
ID0718,B,B,B,B,B,jama,A,B,A,B
ID0719,C,C,C,C,C,jama,B,C,B,C
ID0721,A,A,A,A,A,jama,D,C,D,A
ID0723,B,B,B,B,A,jama,D,B,A,B
ID0726,B,B,B,D,D,jama,D,C,D,D
ID0728,C,C,C,C,C,medbullets,C,C,C,C
ID0731,C,C,C,C,C,jama,B,C,C,C
ID0732,C,C,C,C,C,medbullets,C,,C,C
ID0733,B,B,D,D,D,jama,C,D,C,D
ID0734,D,D,D,A,B,jama,D,A,D,A
ID0735,B,B,B,B,B,mmlu,D,D,D,B
ID0737,<answer>Option (F)</answer>,F,J,F,F,medxpert,B,A,D,F
ID0739,C,C,C,C,C,jama,C,C,D,C
ID0740,B,D,C,D,D,jama,C,B,C,D
ID0743,C,C,B,B,B,jama,NONE,B,D,B
ID0744,B,B,B,D,D,jama,NONE,A,B,D
ID0745,C,A,D,A,D,jama,A,A,A,A
ID0746,C,C,C,C,C,jama,B,C,B,C
ID0747,A,A,D,C,D,jama,D,D,D,C
ID0752,A,A,A,A,A,mmlu,C,A,C,A
ID0753,C,C,G,A,F,medxpert,C,F,C,A
ID0754,B,C,B,C,B,jama,B,C,B,C
ID0756,B,B,A,B,B,jama,B,C,B,B
ID0757,B,B,B,B,B,mmlu,C,A,C,B
ID0758,D,D,D,D,D,medxpert,B,A,B,D
ID0759,B,B,B,B,B,medbullets,A,B,A,B
ID0761,J,J,D,D,H,medxpert,B,G,C,D
ID0762,C,C,C,C,C,jama,NONE,D,D,C
ID0764,D,B,B,B,B,medxpert,D,C,A,B
ID0765,B,B,J,B,B,medxpert,B,B,B,B
ID0766,D,D,D,D,D,mmlu,C,C,C,D
ID0769,B,B,B,B,B,jama,A,B,A,B
ID0770,E,E,E,D,E,medxpert,C,G,C,D
ID0773,D,D,D,D,D,mmlu,A,D,D,D
ID0775,B,D,D,A,A,jama,A,B,C,A
ID0776,C,C,B,D,D,jama,C,A,C,D
ID0777,I,I,A,D,D,medxpert,C,A,C,D
ID0778,G,G,G,G,D,medxpert,B,F,B,G
ID0779,C,C,C,C,C,jama,A,B,A,C
ID0780,D,D,C,B,B,jama,B,C,A,B
ID0781,C,C,C,D,C,jama,A,A,A,D
ID0782,D,D,D,C,A,jama,C,A,C,C
ID0783,C,C,C,C,C,jama,D,C,D,C
